"","Invsimpson","Site"
"S01_C1A17",4.14540013177331,"Chanaral"
"S02_C1F18",8.68861899669909,"Chanaral"
"S03_C1A18",5.63589068781615,"Chanaral"
"S04_C2A17",7.09922840559918,"Chanaral"
"S05_C2F18",8.63003944424867,"Chanaral"
"S06_C2A18",9.02035129674954,"Chanaral"
"S07_C3A17",2.35786175474064,"Chanaral"
"S08_C3F18",5.8512582393978,"Chanaral"
"S09_C3A18",33.2614123496587,"Chanaral"
"S10_C4A17",9.88446958827812,"Chanaral"
"S11_C4F18",8.70759760372986,"Chanaral"
"S12_C4A18",22.051569853044,"Chanaral"
"S13_F1A17",15.3545730920988,"Flamenco"
"S14_F1F18",2.1680636917743,"Flamenco"
"S15_F1A18",7.96958415144609,"Flamenco"
"S16_F2A17",14.2890808737097,"Flamenco"
"S17_F2F18",4.08410172289064,"Flamenco"
"S18_F2A18",3.25196668622044,"Flamenco"
"S19_F3A17",9.37493921248412,"Flamenco"
"S20_F3F18",21.4031685245796,"Flamenco"
"S21_F3A18",9.35659487074336,"Flamenco"
"S22_F4A17",10.4961553280954,"Flamenco"
"S23_F4F18",18.7607620027688,"Flamenco"
"S24_F4A18",6.74280147313601,"Flamenco"
"S25_H1A17",2.98909727585912,"Huasco"
"S26_H1F18",2.17767984462626,"Huasco"
"S27_H1A18",2.66437726370465,"Huasco"
"S28_H2A17",2.31869044747165,"Huasco"
"S29_H2F18",2.89013375518043,"Huasco"
"S30_H2A18",3.05058524528529,"Huasco"
"S31_H3A17",2.51870039633858,"Huasco"
"S32_H3F18",2.58324012974294,"Huasco"
"S33_H3A18",2.55355248531406,"Huasco"
"S34_H4A17",4.29275649247289,"Huasco"
"S35_H4F18",2.55789995790581,"Huasco"
"S36_H4A18",3.91020212786154,"Huasco"
"S39_P1F18",5.28475567674957,"Pta_Choros"
"S40_P1A18",11.2460164872673,"Pta_Choros"
"S41_P2F18",6.74776110305392,"Pta_Choros"
"S42_P3F18",5.91880249790344,"Pta_Choros"
"S43_P4F18",5.9372925685831,"Pta_Choros"
"S44_Q1A17",9.49137842912129,"Quintero"
"S45_Q1F18",4.73465754909624,"Quintero"
"S46_Q2A17",21.2200136398635,"Quintero"
"S47_Q2F18",6.15400411872074,"Quintero"
"S48_Q3A17",20.2022423048368,"Quintero"
"S49_Q3F18",7.93201253421136,"Quintero"
"S50_Q3A18",15.4601605171775,"Quintero"
"S51_Q4A17",14.6347565990636,"Quintero"
"S52_Q4F18",9.92063191882291,"Quintero"
"S53_Q4A18",6.12550398226007,"Quintero"
"S54_L1A17",2.99106548864574,"Las_Cruces"
"S55_L1F18",8.79991294622034,"Las_Cruces"
"S56_L1A18",7.6412162156688,"Las_Cruces"
"S57_L2A17",5.74970730164792,"Las_Cruces"
"S58_L2F18",7.36066988756495,"Las_Cruces"
"S59_L2A18",5.30361294918638,"Las_Cruces"
"S60_L3A17",5.89680229610675,"Las_Cruces"
"S61_L3F18",3.23259445971223,"Las_Cruces"
"S62_L3A18",6.55400895190365,"Las_Cruces"
"S63_L4A17",3.94813404898223,"Las_Cruces"
"S64_L4F18",3.34809800933783,"Las_Cruces"
"S65_L4A18",4.06235627094378,"Las_Cruces"
