"","Simpson","Site"
"S01_C1A17",0.758768763397462,"Chanaral"
"S02_C1F18",0.884906910939482,"Chanaral"
"S03_C1A18",0.822565756613798,"Chanaral"
"S04_C2A17",0.859139621538124,"Chanaral"
"S05_C2F18",0.884125674458367,"Chanaral"
"S06_C2A18",0.889139572606186,"Chanaral"
"S07_C3A17",0.575886924672563,"Chanaral"
"S08_C3F18",0.829096587590891,"Chanaral"
"S09_C3A18",0.969935131151752,"Chanaral"
"S10_C4A17",0.898831192602799,"Chanaral"
"S11_C4F18",0.88515776158838,"Chanaral"
"S12_C4A18",0.954651754652199,"Chanaral"
"S13_F1A17",0.934872822969296,"Flamenco"
"S14_F1F18",0.538758937851305,"Flamenco"
"S15_F1A18",0.874522938587888,"Flamenco"
"S16_F2A17",0.930016492394561,"Flamenco"
"S17_F2F18",0.755148116317675,"Flamenco"
"S18_F2A18",0.692493774847909,"Flamenco"
"S19_F3A17",0.893332641702001,"Flamenco"
"S20_F3F18",0.953277945793325,"Flamenco"
"S21_F3A18",0.893123511938425,"Flamenco"
"S22_F4A17",0.904727019680886,"Flamenco"
"S23_F4F18",0.946697261025303,"Flamenco"
"S24_F4A18",0.851693690822116,"Flamenco"
"S25_H1A17",0.665450834244736,"Huasco"
"S26_H1F18",0.540795676431665,"Huasco"
"S27_H1A18",0.62467777607081,"Huasco"
"S28_H2A17",0.568722077114511,"Huasco"
"S29_H2F18",0.653995252570043,"Huasco"
"S30_H2A18",0.672194048159936,"Huasco"
"S31_H3A17",0.60296984847674,"Huasco"
"S32_H3F18",0.612889259311905,"Huasco"
"S33_H3A18",0.60838870328643,"Huasco"
"S34_H4A17",0.767049446724164,"Huasco"
"S35_H4F18",0.609054295923789,"Huasco"
"S36_H4A18",0.744258744867777,"Huasco"
"S39_P1F18",0.810776493528447,"Pta_Choros"
"S40_P1A18",0.911079625293792,"Pta_Choros"
"S41_P2F18",0.851802696519974,"Pta_Choros"
"S42_P3F18",0.83104690512072,"Pta_Choros"
"S43_P4F18",0.831573063235682,"Pta_Choros"
"S44_Q1A17",0.894641225458695,"Quintero"
"S45_Q1F18",0.788791482883301,"Quintero"
"S46_Q2A17",0.952874676851224,"Quintero"
"S47_Q2F18",0.837504171152899,"Quintero"
"S48_Q3A17",0.950500544201443,"Quintero"
"S49_Q3F18",0.873928590545347,"Quintero"
"S50_Q3A18",0.935317618540317,"Quintero"
"S51_Q4A17",0.931669516111803,"Quintero"
"S52_Q4F18",0.89919996949966,"Quintero"
"S53_Q4A18",0.836748126701725,"Quintero"
"S54_L1A17",0.665670977851852,"Las_Cruces"
"S55_L1F18",0.886362512207634,"Las_Cruces"
"S56_L1A18",0.869130780784682,"Las_Cruces"
"S57_L2A17",0.826078103190855,"Las_Cruces"
"S58_L2F18",0.864142800142499,"Las_Cruces"
"S59_L2A18",0.811449287574161,"Las_Cruces"
"S60_L3A17",0.830416563115872,"Las_Cruces"
"S61_L3F18",0.690650957779275,"Las_Cruces"
"S62_L3A18",0.84742163043437,"Las_Cruces"
"S63_L4A17",0.74671579343721,"Las_Cruces"
"S64_L4F18",0.701322960913627,"Las_Cruces"
"S65_L4A18",0.753837444747879,"Las_Cruces"
