"","Simpson","Site"
"S01_C1A17",0.772359080319661,"Chanaral"
"S02_C1F18",0.83330370888935,"Chanaral"
"S03_C1A18",0.797141352951185,"Chanaral"
"S04_C2A17",0.868771927342689,"Chanaral"
"S05_C2F18",0.897457727960189,"Chanaral"
"S06_C2A18",0.863078234550602,"Chanaral"
"S07_C3A17",0.635021705905307,"Chanaral"
"S08_C3F18",0.802890580944466,"Chanaral"
"S09_C3A18",0.960891124291567,"Chanaral"
"S10_C4A17",0.876961918546138,"Chanaral"
"S11_C4F18",0.868956506787711,"Chanaral"
"S12_C4A18",0.943640887738786,"Chanaral"
"S13_F1A17",0.90939599565754,"Flamenco"
"S14_F1F18",0.460632212380976,"Flamenco"
"S15_F1A18",0.862478853415538,"Flamenco"
"S16_F2A17",0.925373060830699,"Flamenco"
"S17_F2F18",0.682033305926495,"Flamenco"
"S18_F2A18",0.655488065571966,"Flamenco"
"S19_F3A17",0.894976258920431,"Flamenco"
"S20_F3F18",0.919313842358417,"Flamenco"
"S21_F3A18",0.882796354328925,"Flamenco"
"S22_F4A17",0.8997348214948,"Flamenco"
"S23_F4F18",0.907388317816409,"Flamenco"
"S24_F4A18",0.819697498584364,"Flamenco"
"S25_H1A17",0.607158225713357,"Huasco"
"S26_H1F18",0.481358045215668,"Huasco"
"S27_H1A18",0.550620020065845,"Huasco"
"S28_H2A17",0.483940351140109,"Huasco"
"S29_H2F18",0.537032763160942,"Huasco"
"S30_H2A18",0.573019001596902,"Huasco"
"S31_H3A17",0.572043338765941,"Huasco"
"S32_H3F18",0.546159813931818,"Huasco"
"S33_H3A18",0.535780137960318,"Huasco"
"S34_H4A17",0.738211542704499,"Huasco"
"S35_H4F18",0.527364239504437,"Huasco"
"S36_H4A18",0.728442364635607,"Huasco"
"S39_P1F18",0.776423462478381,"Pta_Choros"
"S40_P1A18",0.857666521580489,"Pta_Choros"
"S41_P2F18",0.814549523643083,"Pta_Choros"
"S42_P3F18",0.801336151630686,"Pta_Choros"
"S43_P4F18",0.782185344985102,"Pta_Choros"
"S44_Q1A17",0.958604485582058,"Quintero"
"S45_Q1F18",0.819439185462352,"Quintero"
"S46_Q2A17",0.921731744099846,"Quintero"
"S47_Q2F18",0.787706778348034,"Quintero"
"S48_Q3A17",0.932763798780526,"Quintero"
"S49_Q3F18",0.825853829699028,"Quintero"
"S50_Q3A18",0.867657250111011,"Quintero"
"S51_Q4A17",0.937882337829831,"Quintero"
"S52_Q4F18",0.909205956365388,"Quintero"
"S53_Q4A18",0.751172341554006,"Quintero"
"S54_L1A17",0.632609834644386,"Las_Cruces"
"S55_L1F18",0.787569501616103,"Las_Cruces"
"S56_L1A18",0.812297409457367,"Las_Cruces"
"S57_L2A17",0.790485549179072,"Las_Cruces"
"S58_L2F18",0.800076678641615,"Las_Cruces"
"S59_L2A18",0.694685019929335,"Las_Cruces"
"S60_L3A17",0.732554978996556,"Las_Cruces"
"S61_L3F18",0.6727269449105,"Las_Cruces"
"S62_L3A18",0.7782448299762,"Las_Cruces"
"S63_L4A17",0.697273534802247,"Las_Cruces"
"S64_L4F18",0.665193466125707,"Las_Cruces"
"S65_L4A18",0.636343595994501,"Las_Cruces"
