"","Unbiased","Site"
"S01_C1A17",0.772405166547128,"Chanaral"
"S02_C1F18",0.833338181388198,"Chanaral"
"S03_C1A18",0.797173160993563,"Chanaral"
"S04_C2A17",0.869928747485613,"Chanaral"
"S05_C2F18",0.89750521752148,"Chanaral"
"S06_C2A18",0.863115159263503,"Chanaral"
"S07_C3A17",0.635092840856117,"Chanaral"
"S08_C3F18",0.802911001377103,"Chanaral"
"S09_C3A18",0.960932461831995,"Chanaral"
"S10_C4A17",0.8775052654597,"Chanaral"
"S11_C4F18",0.868986296178012,"Chanaral"
"S12_C4A18",0.943679474567765,"Chanaral"
"S13_F1A17",0.909452197128349,"Flamenco"
"S14_F1F18",0.460648606736557,"Flamenco"
"S15_F1A18",0.862514200910039,"Flamenco"
"S16_F2A17",0.925452519276311,"Flamenco"
"S17_F2F18",0.682065130540125,"Flamenco"
"S18_F2A18",0.65550915117201,"Flamenco"
"S19_F3A17",0.895171583289453,"Flamenco"
"S20_F3F18",0.919370762290784,"Flamenco"
"S21_F3A18",0.882836929608108,"Flamenco"
"S22_F4A17",0.900072179883056,"Flamenco"
"S23_F4F18",0.907444874056337,"Flamenco"
"S24_F4A18",0.819732051444798,"Flamenco"
"S25_H1A17",0.607176047663951,"Huasco"
"S26_H1F18",0.481368309807728,"Huasco"
"S27_H1A18",0.550634289639599,"Huasco"
"S28_H2A17",0.483956400633256,"Huasco"
"S29_H2F18",0.537045951912731,"Huasco"
"S30_H2A18",0.573034707632146,"Huasco"
"S31_H3A17",0.572061388283167,"Huasco"
"S32_H3F18",0.54616930130911,"Huasco"
"S33_H3A18",0.53579627688854,"Huasco"
"S34_H4A17",0.738231383900676,"Huasco"
"S35_H4F18",0.527374895910349,"Huasco"
"S36_H4A18",0.728458670004549,"Huasco"
"S39_P1F18",0.77644656481893,"Pta_Choros"
"S40_P1A18",0.857707351177853,"Pta_Choros"
"S41_P2F18",0.814574076755583,"Pta_Choros"
"S42_P3F18",0.801356922934634,"Pta_Choros"
"S43_P4F18",0.782208649974449,"Pta_Choros"
"S44_Q1A17",0.958785388485792,"Quintero"
"S45_Q1F18",0.820072446038482,"Quintero"
"S46_Q2A17",0.921818048570267,"Quintero"
"S47_Q2F18",0.787804158342817,"Quintero"
"S48_Q3A17",0.932865329617254,"Quintero"
"S49_Q3F18",0.825919498737713,"Quintero"
"S50_Q3A18",0.867687797119988,"Quintero"
"S51_Q4A17",0.937997698511112,"Quintero"
"S52_Q4F18",0.909468050904436,"Quintero"
"S53_Q4A18",0.751192912600657,"Quintero"
"S54_L1A17",0.632639505383799,"Las_Cruces"
"S55_L1F18",0.787635390472489,"Las_Cruces"
"S56_L1A18",0.812320938623754,"Las_Cruces"
"S57_L2A17",0.79051666575731,"Las_Cruces"
"S58_L2F18",0.800103505246986,"Las_Cruces"
"S59_L2A18",0.694709068290706,"Las_Cruces"
"S60_L3A17",0.732583932594129,"Las_Cruces"
"S61_L3F18",0.672797661503254,"Las_Cruces"
"S62_L3A18",0.778264327529044,"Las_Cruces"
"S63_L4A17",0.697299931680321,"Las_Cruces"
"S64_L4F18",0.665222093835207,"Las_Cruces"
"S65_L4A18",0.6363631133416,"Las_Cruces"
