"";"Bathycoccaceae";"Ustilaginomycetes";"Dino-Group-I-Clade-1";"Maxillopoda";"Unassigned";"Rhizosoleniaceae";"Mamiellaceae";"Exobasidiomycetes";"Chlorellales_X";"Cryptomonadales_X";"Chlorodendraceae";"Strombidiidae";"Annelida_XX";"Chloropicaceae";"Phaeocystaceae";"Pelagomonadaceae";"Gymnodiniaceae";"Strobilidiidae";"Phaeophyceae_XX";"Oligotrichida_X";"Thalassiosiraceae";"Picozoa_XXXX";"Dino-Group-III_X";"Pycnococcaceae";"Chaetocerotaceae";"Cymatosiraceae";"Pelagomonadales_clade_B";"MAST-7";"Dino-Group-II-Clade-10-and-11";"Hydrozoa";"Heterocapsaceae";"unclassified_Dino-Group-II";"Tontoniidae";"CONThreeP_XX";"unclassified_Oligotrichida";"unclassified_Gymnodiniales";"Dino-Group-II-Clade-6";"Dino-Group-II-Clade-29";"MAST-4";"Microbotryomycetes";"Ulvales-relatives_X";"Suctoria_X";"Cryptomonadales_X:nucl";"Kathablepharidida_X";"Dino-Group-II-Clade-23";"unclassified_Pucciniomycotina";"Dino-Group-II-Clade-7";"Dino-Group-II-Clade-44";"Ephelotidae";"MAST-12";"Ochromonadaceae";"Thraustochytriaceae";"unclassified_Peridiniales";"MAST-3";"Hemiaulaceae";"TIN_05";"Crustomastigaceae";"Labyrinthulaceae";"Prasinodermaceae";"Demospongiae";"Filosa-Thecofilosea_XX";"Prorocentraceae";"Anthozoa";"Dino-Group-II-Clade-13";"Warnowiaceae";"Ctenophora_XX";"Dino-Group-II-Clade-22";"Saccharomycetales";"Choreotrichida_X";"Corallinales_X";"Pyrenomonadaceae:nucl";"Sordariomycetes";"MAST-2";"Dino-Group-II-Clade-8";"Bacillariaceae";"Dino-Group-II-Clade-3";"Thoracosphaeraceae";"Chrysophyceae_Clade-EC2H_X";"Paraphysomonadaceae";"Chrysochromulinaceae";"Telonemia-Group-1";"Dino-Group-II_X";"Anoecales_X";"Pyramimonadaceae";"Kareniaceae";"Pedinellales";"Parmales_env_3";"MAST-9";"Dino-Group-II-Clade-16";"Prymnesiaceae";"Bicoecaceae";"Thigmophryidae";"Ebriidae";"Cryothecomonas-lineage";"Telonemia_XXXX";"Pseudocohnilembidae";"Calcarea";"Pirsoniales_XX";"MAST-1";"Suessiaceae";"Dictyochales";"Dino-Group-II-Clade-17";"Caecitellaceae";"Labyrinthulomycetes_LAB14";"Dino-Group-I-Clade-5";"Dinophyceae_XX";"Dino-Group-II-Clade-12";"Florenciellales";"Appendicularia";"Ceramiaceae";"Dino-Group-II-Clade-1";"Chytriodiniaceae";"Dino-Group-II-Clade-32";"Dinophyta_XXX";"Pterocystida_XX";"MOCH-3_XX";"Tintinnidae";"Dino-Group-II-Clade-15";"Chrysophyceae_Clade-EC2I_X";"Torodiniaceae";"Triparmaceae";"Dino-Group-II-Clade-46";"MAST-8";"Echinodermata_XX";"MAST-11";"TIN_11";"Protosteliida_X";"unclassified_Telonemia_XXX";"Dino-Group-II-Clade-4";"Mytiloida";"Dino-Group-II-Clade-18";"Minorisa-lineage";"unclassified_Pezizomycotina";"Noelaerhabdaceae";"Stephanoecidae_Group_H";"Dino-Group-II-Clade-50";"Protoperidiniaceae";"unclassified_Ochromonadales";"Rotifera_XX";"unclassified_Acanthoecida";"Flamella-lineage";"Eurotiomycetes";"NPK2-lineage";"Haptophyta_Clade_HAP3_XX";"RAD-B_X_Group-IVe";"Eutintinnidae";"MAST-10";"Dino-Group-II-Clade-42";"Stephanoecidae";"Acinetidae_1";"Embryophyceae_XX";"Dino-Group-I-Clade-4";"Dino-Group-II-Clade-39";"Novel-clade-2";"Vetigastropoda";"unclassified_Syracosphaerales";"Tremellomycetes";"Dino-Group-II-Clade-20";"Prymnesiophyceae_Clade_D_X";"Stramenopiles_XXXX";"Cystobasidiomycetes";"MOCH-1_XX";"Dino-Group-II-Clade-26";"Dino-Group-II-Clade-5";"Thaumatomonadida_X";"unclassified_Cryomonadida";"Filosa-Imbricatea_XX";"Thaumatomonadidae";"Philasterida";"Urotrichidae";"Monosigidae_Group_B";"Dino-Group-IV-Syndinium-Group";"Thalassomycetaceae";"Prymnesiophyceae_Clade_B4";"LC104-lineage";"Macrostomorpha";"Teleostei";"MAST-6";"Pleurostomatida";"Telonemia-Group-2";"Chrysophyceae_env_clade-II_X";"Cafeteriaceae";"Parmales_env_2";"Diplopsalidaceae";"Ventricleftida_X";"Novel-Clade-4";"Caenogastropoda";"Leptocylindraceae";"Litostomatea_XX";"RAD-A_Xb";"Chlorarachnida_X";"Prasino-Clade-9_XX";"Dino-Group-V_X";"Protaspa-lineage";"Asterionellopsidaceae";"Monosigidae_Group_A";"Mataza-lineage";"Prymnesiophyceae_Clade_E_X";"Apicomplexa_XXX";"Apusomonadidae_Group-2B";"Paraphysomonadales_Clade-EC1Ga";"Lauderiaceae";"Abeoformidae_Group_MAIP_2";"Chlamydomonadales_X";"MOCH-2_XX";"Lepidochromonadaceae";"PHYLL_4";"Nolandellidae";"unclassified_Peronosporomycetes_X";"Stramenopiles_X-Group-2_XX";"Parmales_X";"Nemertea_XX";"Ancyromonadida_Group-1";"Labyrinthulomycetes_LAB7";"CCW10-lineage";"Stephanoecidae_Group_E";"Dysteriidae";"OLIGO5_X";"Ceratiaceae";"Discotrichidae";"MOCH-5_XX";"Sessilida";"Dino-Group-II-Clade-47";"unclassified_Vampyrellida";"Abeoformidae_Group_MAIP_1";"Blastodiniaceae";"RAD-A_Xf";"unclassified_Dictyochophyceae_X";"Strombidinopsidae";"Marimonadida_X";"unclassified_Ebriacea";"Acanthoecidae_Group_G";"TAGIRI1-lineage";"Botuliformidae";"Prymnesiophyceae_Clade_B5";"Hemidiscaceae";"Pelagomonadales_clade_A";"unclassified_Choreotrichida";"Pleurosigmataceae";"Asterolampraceae";"Colpodellaceae";"Oblongichytridiaceae";"Naviculaceae";"Dictyochophyceae_XX";"Bacillariophyceae_XX";"Grammatophoraceae";"Entoprocta_XX";"Coscinodiscaceae";"Heteroconchia";"MOCH-4_XX";"Flabellulidae";"Gregarinomorphea_XX";"Caviomonadidae";"Ulnariaceae";"Malacostraca";"Apusomonadidae_Group-1_X";"Labyrinthulomycetes_LAB1/6/8";"Dino-Group-II-Clade-14";"Bicoecea_XX";"unclassified_RAD-A_X";"Lingulodiniaceae";"unclassified_Euamoebida";"Dinophysiaceae";"Haptophyta_Clade_HAP5_XX";"Rozellomycota_XX";"Dictyocystidae"
"S01_C1A17";0;17768;2259;19;359;261;954;5932;24;0;0;5093;0;0;7403;0;11;4;23;0;4786;5;0;24;390;6;0;0;247;0;0;0;0;0;0;0;0;0;0;26;0;0;0;6;8;161;0;0;0;585;707;203;0;0;0;676;13;86;0;0;37;0;0;0;0;0;0;634;0;0;0;10;668;0;34;0;119;20;78;236;123;0;0;72;0;399;0;6;0;45;0;0;59;0;0;0;0;673;0;34;0;0;48;0;0;0;5;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;529;0;0;6;0;0;548;0;0;0;0;133;110;0;418;27;0;0;0;0;0;0;0;8;0;0;0;47;0;0;350;0;0;95;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;12;0;0;0;0;104;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;49;0;0;0;55;0;0;0;0;0;0;10;0;0;0;61;0;0;0;0;0;0;16;0;0;0;0;0;7;0;0;0;8;4;0;0;0;0;0;29;0;5;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0
"S02_C1F18";10495;5240;12523;452;4761;1416;1547;59;9;796;81;1245;406;1302;409;252;997;219;0;0;401;250;367;2634;648;246;23;770;727;0;0;1464;4;56;23;61;887;1193;990;0;0;0;62;754;114;0;166;169;0;307;41;1479;185;1062;76;40;35;333;153;6;479;99;43;172;0;76;188;0;9;0;61;0;27;179;69;329;23;594;272;198;45;605;0;15;387;353;133;22;68;22;301;0;0;253;37;19;0;10;346;0;0;0;42;125;37;18;148;16;23;0;77;176;96;82;97;0;10;146;208;0;15;0;29;0;14;0;0;21;58;0;91;15;0;32;81;0;0;84;21;15;0;36;30;0;0;0;0;16;0;0;0;0;22;105;0;0;0;0;0;56;0;16;0;95;38;74;0;24;19;21;35;13;0;0;0;14;0;0;10;88;0;0;0;16;48;38;0;0;8;0;40;0;0;59;0;0;10;0;0;0;0;0;16;0;16;0;9;0;8;5;0;0;10;6;80;0;0;10;0;0;0;0;12;0;0;0;0;0;0;34;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0
"S03_C1A18";12840;3090;6918;699;1334;0;436;0;91;1573;0;2221;0;3482;272;2858;379;171;0;178;37;123;404;34;14;26;1159;40;2593;6;56;272;110;113;94;175;274;165;266;0;0;0;90;644;33;0;20;17;0;291;6;29;153;106;0;80;26;7;107;0;0;33;0;61;0;0;0;0;28;0;0;0;21;55;23;40;162;142;0;142;437;31;0;309;9;53;41;43;74;62;0;0;0;13;243;0;0;17;123;31;35;0;0;3;124;0;24;73;11;0;65;3;0;0;25;0;0;7;26;116;21;9;44;0;11;0;0;22;3;0;0;0;0;0;6;0;0;0;0;10;0;0;6;24;0;0;0;0;3;0;0;0;0;0;0;10;0;13;28;8;3;0;82;35;0;0;6;0;0;8;0;5;3;3;0;0;8;0;7;46;0;0;0;0;0;0;0;0;0;0;0;29;0;4;0;0;0;17;0;0;15;0;0;0;41;0;5;0;0;0;0;0;0;30;0;8;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S04_C2A17";0;44730;1577;9;142;27;25;268;33;0;0;294;9;23;90;0;16;0;10;0;325;0;0;27;68;0;0;0;11;0;0;0;0;0;0;0;0;0;0;6113;0;0;0;6;17;92;0;0;0;8;23;13;0;0;0;32;0;28;0;0;0;0;0;0;0;0;0;786;0;0;0;0;34;0;0;0;0;12;0;0;34;0;17;0;0;19;0;0;0;0;0;0;17;0;3;18;0;34;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;7;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;22;0;0;5;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0
"S05_C2F18";1687;1233;7797;772;15351;5105;239;0;0;721;123;1547;13;305;304;304;1147;366;22;0;1829;171;219;1005;4776;71;0;378;636;19;47;811;8;27;38;173;425;644;577;0;0;0;84;260;90;0;69;52;0;217;18;1360;142;556;1061;16;12;574;87;4;164;43;121;49;0;41;226;0;0;3;126;0;5;202;111;202;29;254;179;124;22;406;0;32;707;195;35;0;54;12;375;6;0;245;0;46;18;0;272;18;6;0;44;109;56;11;98;0;19;4;54;155;22;40;43;7;32;172;79;0;7;3;0;0;0;15;0;9;65;11;61;10;0;26;56;0;78;52;14;0;0;0;0;0;0;0;0;22;0;0;9;0;18;57;0;0;0;0;0;13;0;9;8;87;0;42;0;0;13;32;37;13;0;0;0;97;0;0;0;33;0;13;0;0;16;28;8;7;19;0;6;0;0;79;0;0;24;0;0;0;0;0;25;0;0;0;0;0;9;0;0;0;9;0;0;0;0;0;0;0;4;0;7;0;0;10;0;0;0;0;14;0;53;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S06_C2A18";8723;6268;14764;949;2449;16;324;1156;134;1139;62;1807;0;7684;139;2048;315;163;0;216;334;78;311;87;27;42;666;33;1284;0;0;251;53;99;132;192;162;151;174;0;0;19;40;240;136;0;9;11;0;135;0;136;192;89;0;27;18;21;382;3;0;53;0;57;58;31;3;0;19;0;0;11;11;39;224;17;97;46;0;175;145;19;0;141;0;58;22;87;98;33;0;0;58;0;37;0;0;0;100;41;66;0;0;0;101;19;21;24;3;0;43;0;3;0;12;10;9;10;9;89;15;18;25;0;0;0;0;0;0;0;0;0;0;0;11;0;3;12;5;0;64;7;9;16;8;4;0;0;7;0;0;11;0;0;0;0;0;14;31;0;0;9;62;0;0;0;0;0;0;0;0;0;0;8;0;32;30;0;0;25;0;0;0;0;0;0;0;0;0;11;0;70;7;11;0;0;5;16;0;0;9;0;8;0;20;0;0;0;0;0;0;0;0;11;0;0;0;0;19;0;0;0;0;0;0;0;39;15;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;2;0;0;0;0;0;0;13;0;0;0;0;0;0
"S07_C3A17";0;46286;4000;32;1439;5294;41;1384;122;8;30;221;0;84;57;0;41;53;46;0;996;0;0;292;154;9;0;0;101;0;0;0;0;4;0;0;0;0;0;651;7;0;0;18;22;372;0;0;0;27;219;207;0;0;72;31;0;207;8;0;11;0;0;2;0;0;0;493;0;0;0;0;40;0;6;0;100;0;10;19;16;0;8;18;0;125;0;11;11;0;0;0;903;0;0;69;2;15;27;147;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;9;0;0;0;0;5;9;0;0;27;0;0;0;0;0;0;0;0;0;14;0;53;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;12;6;0;0;0;0;4;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S08_C3F18";117;4845;4820;1619;1927;17481;422;204;0;178;17;5176;191;105;798;26;406;1071;8;0;8231;5;4;613;6992;91;13;9;1440;66;13;36;0;0;0;0;14;89;19;0;14;13;24;77;105;25;0;0;0;271;58;1124;12;152;1709;1313;0;796;25;0;654;16;23;0;0;0;0;0;0;11;111;0;390;0;124;13;416;110;1156;337;111;17;0;434;7;200;13;16;0;171;237;0;0;73;13;25;14;102;37;199;2;0;19;0;0;0;8;47;63;0;24;37;0;0;8;0;0;27;0;0;0;0;0;2;0;0;0;0;0;18;0;0;0;32;20;0;42;207;413;0;0;0;0;0;0;0;0;0;0;0;5;0;0;236;0;0;0;0;0;124;0;7;0;0;56;32;148;18;0;0;37;0;0;0;0;22;0;0;0;130;0;0;0;25;0;0;0;27;0;0;87;0;0;8;0;29;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;11;0;0;12;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S09_C3A18";3667;383;4396;5341;4618;81;781;0;50;1550;29;2205;0;1567;608;2610;1616;831;27;173;4562;54;148;34;663;77;1634;47;1545;70;0;151;259;187;141;254;66;170;127;0;2;30;69;645;13;0;5;0;18;1181;17;259;263;170;11;214;77;39;315;3;0;18;0;13;117;23;0;0;32;7;0;0;47;47;394;38;455;145;38;360;386;19;0;945;23;259;70;22;66;108;0;4;29;37;128;0;0;178;390;384;304;4;0;3;109;14;18;85;0;0;52;28;0;0;80;12;35;0;43;0;20;0;42;0;0;25;20;11;0;5;3;0;0;88;60;14;13;6;36;30;0;0;16;14;11;0;15;0;7;275;0;0;0;10;0;49;0;0;30;13;0;29;41;0;0;7;6;0;0;23;0;0;0;38;0;20;42;6;0;73;0;0;14;44;0;0;0;9;8;0;0;16;0;0;14;0;0;26;22;23;0;0;0;7;103;0;2;0;0;0;0;4;0;13;0;0;9;0;68;0;0;28;0;0;0;0;0;17;0;0;0;0;0;0;0;14;8;7;0;11;0;38;0;0;0;0;0;0;0;0;7;0;0;10;2;0;7;0;0;0;9;0;11;11;0;0
"S10_C4A17";26;34725;1974;38;188;147;0;6240;42;6;12;223;3;19;58;0;32;8;283;0;637;0;5;88;48;15;0;0;33;0;0;0;0;0;0;0;0;0;0;11;67;17;0;0;3;887;0;0;0;38;36;41;0;7;0;72;0;71;0;0;0;0;0;0;0;0;0;3244;0;0;0;2707;38;0;0;0;42;0;0;0;10;0;5;7;0;74;0;5;0;0;0;0;209;0;0;129;0;10;0;73;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;78;0;0;0;0;0;0;0;0;0;0;0;20;3;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;10;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
