"";"Bathycoccaceae";"Ustilaginomycetes";"Dino-Group-I-Clade-1";"Maxillopoda";"Unassigned";"Rhizosoleniaceae";"Mamiellaceae";"Exobasidiomycetes";"Chlorellales_X";"Cryptomonadales_X";"Chlorodendraceae";"Strombidiidae";"Annelida_XX";"Chloropicaceae";"Phaeocystaceae";"Pelagomonadaceae";"Dino-Group-II-Clade-4";"Gymnodiniaceae";"Strobilidiidae";"Phaeophyceae_XX";"Oligotrichida_X";"Thalassiosiraceae";"Picozoa_XXXX";"Dino-Group-III_X";"Pycnococcaceae";"Chaetocerotaceae";"Cymatosiraceae";"Pelagomonadales_clade_B";"MAST-7";"Dino-Group-II-Clade-10-and-11";"Hydrozoa";"Heterocapsaceae";"unclassified_Dino-Group-II";"Tontoniidae";"CONThreeP_XX";"unclassified_Oligotrichida";"unclassified_Gymnodiniales";"Dino-Group-II-Clade-6";"Dino-Group-II-Clade-29";"MAST-4";"Ulvales-relatives_X";"Suctoria_X";"Cryptomonadales_X:nucl";"Kathablepharidida_X";"Dino-Group-II-Clade-23";"unclassified_Pucciniomycotina";"Dino-Group-II-Clade-7";"Dino-Group-II-Clade-44";"Ephelotidae";"MAST-12";"Ochromonadaceae";"Thraustochytriaceae";"unclassified_Peridiniales";"MAST-3";"Hemiaulaceae";"TIN_05";"Crustomastigaceae";"Labyrinthulaceae";"Prasinodermaceae";"Demospongiae";"Filosa-Thecofilosea_XX";"Prorocentraceae";"Anthozoa";"Dino-Group-II-Clade-13";"Ctenophora_XX";"Dino-Group-II-Clade-22";"Saccharomycetales";"Choreotrichida_X";"Pyrenomonadaceae:nucl";"MAST-2";"Dino-Group-II-Clade-8";"Bacillariaceae";"Dino-Group-II-Clade-3";"Thoracosphaeraceae";"Chrysophyceae_Clade-EC2H_X";"Paraphysomonadaceae";"Chrysochromulinaceae";"Telonemia-Group-1";"Dino-Group-II_X";"Anoecales_X";"Pyramimonadaceae";"Kareniaceae";"Pedinellales";"Parmales_env_3";"MAST-9";"Dino-Group-II-Clade-16";"Prymnesiaceae";"Bicoecaceae";"Cryothecomonas-lineage";"Telonemia_XXXX";"Pseudocohnilembidae";"Nemertea_XX";"MAST-1";"Dino-Group-II-Clade-1";"Suessiaceae";"Dictyochales";"Dino-Group-II-Clade-17";"Caecitellaceae";"Labyrinthulomycetes_LAB14";"Gelidiales_X";"Dino-Group-I-Clade-5";"Dinophyceae_XX";"Dino-Group-II-Clade-12";"Florenciellales";"Appendicularia";"Chytriodiniaceae";"Dino-Group-II-Clade-32";"Dinophyta_XXX";"Pterocystida_XX";"MOCH-3_XX";"Tintinnidae";"Dino-Group-II-Clade-15";"Calcarea";"Chrysophyceae_Clade-EC2I_X";"Torodiniaceae";"Triparmaceae";"Dino-Group-II-Clade-46";"MAST-8";"Echinodermata_XX";"MAST-11";"TIN_11";"Protosteliida_X";"unclassified_Telonemia_XXX";"Mytiloida";"Dino-Group-II-Clade-18";"Corallinales_X";"Minorisa-lineage";"unclassified_Pezizomycotina";"Noelaerhabdaceae";"Stephanoecidae_Group_H";"Dino-Group-II-Clade-50";"Protoperidiniaceae";"Rotifera_XX";"unclassified_Acanthoecida";"Eurotiomycetes";"NPK2-lineage";"Haptophyta_Clade_HAP3_XX";"RAD-B_X_Group-IVe";"Eutintinnidae";"MAST-10";"Dino-Group-II-Clade-42";"Stephanoecidae";"Acinetidae_1";"Dino-Group-I-Clade-4";"Dino-Group-II-Clade-39";"Novel-clade-2";"unclassified_Syracosphaerales";"Bryozoa_XX";"Litostomatea_XX";"Dino-Group-II-Clade-20";"Prymnesiophyceae_Clade_D_X";"Cystobasidiomycetes";"MOCH-1_XX";"Dino-Group-II-Clade-26";"Telonemia-Group-2";"Dino-Group-II-Clade-5";"Dothideomycetes";"Thaumatomonadida_X";"unclassified_Cryomonadida";"Urotrichidae";"Monosigidae_Group_B";"Dino-Group-IV-Syndinium-Group";"Ellobiopsidae_XX";"Thalassomycetaceae";"Prymnesiophyceae_Clade_B4";"LC104-lineage";"Macrostomorpha";"unclassified_Prymnesiales";"Teleostei";"MAST-6";"Pleurostomatida";"Monosigidae_Group_A";"Pirsoniales_XX";"Sordariomycetes";"Pyrenomonadaceae";"Dino-Group-II-Clade-30";"Abeoformidae_Group_MAIP_1";"Embryophyceae_XX";"Ventricleftida_X";"Novel-Clade-4";"Nolandellidae";"RAD-A_Xb";"Labyrinthulomycetes_LAB4";"unclassified_Craniata_X";"Crypthecodiniaceae";"Prasino-Clade-9_XX";"Discotrichidae";"Dino-Group-V_X";"Stramenopiles_XXXX";"Chlorarachnida_X";"Bicoecea_XX";"Mataza-lineage";"unclassified_Pyramimonadales";"Dino-Group-II-Clade-28";"Protaspa-lineage";"Apicomplexa_XXX";"Paraphysomonadales_Clade-EC1Ga";"Dolichomastigaceae";"Abeoformidae_Group_MAIP_2";"unclassified_Peronosporomycetes_X";"Chlamydomonadales_X";"MOCH-2_XX";"Xcellidae";"PHYLL_4";"Dino-Group-II-Clade-14";"Stramenopiles_X-Group-2_XX";"Parmales_X";"Ancyromonadida_Group-1";"Labyrinthulomycetes_LAB7";"Corethraceae";"Stephanoecidae_Group_E";"OLIGO5_X";"Choanoflagellatea_XX";"Labyrinthulomycetes_LAB1/6/8";"Peronosporomycetes_XX";"Stephanoecidae_Group_D";"MOCH-4_XX";"Heteroconchia";"Ceratiaceae";"unclassified_Pyrenomonadales";"unclassified_Paraphysomonadales";"MOCH-5_XX";"Dino-Group-II-Clade-47";"Taxopodida";"RAD-A_Xf";"unclassified_Ebriacea";"Naviculaceae";"Stephanoecidae_New_Choanos_8";"Prymnesiophyceae_XX";"Cafeteriaceae";"TAGIRI1-lineage";"Prymnesiophyceae_Clade_B5";"Blastodiniaceae";"Acanthoecidae_Group_G";"Apusomonadidae_Group-2B";"Pelagomonadales_clade_A";"Philasterida";"unclassified_Choreotrichida";"Pleurosigmataceae";"Apusomonadidae_Group-1_X";"Asterolampraceae";"Haptophyta_Clade_HAP5_XX";"Malacostraca";"Sessilida";"Cannobotryidae";"Dictyochophyceae_XX";"MAST-25";"Grammatophoraceae";"Entoprocta_XX";"Acanthoecida_X";"Warnowiaceae";"Prymnesiophyceae_Clade_B3";"Labyrinthulomycetes_LAB13";"Gigartinales_X";"Vermamoebidae";"Marimonadida_X";"Dino-Group-I-Clade-2";"Ceratoperidiniaceae";"Choanoflagellata_XX_Clade-3";"Prasiolales_X";"Chilodonellidae";"Dino-Group-II-Clade-21"
"S13_F1A17";2268;6673;3480;906;3555;0;1656;154;5;7393;19;6601;129;0;998;77;0;1725;2053;23;141;456;2458;186;56;293;22;12;823;297;180;96;105;717;157;993;151;52;233;233;0;14;301;302;0;143;55;3;0;240;105;10;126;1371;0;6;0;7;7;21;0;0;7;0;135;20;164;25;0;31;24;11;0;140;57;39;325;0;67;7;58;0;293;102;0;16;23;0;13;107;0;20;695;15;55;27;0;5;69;0;102;11;65;49;0;0;0;0;118;0;0;0;26;26;0;40;0;25;0;0;0;0;14;0;0;16;40;0;0;51;0;10;0;49;36;23;2;0;0;14;0;5;0;38;0;59;0;0;115;0;0;0;28;0;24;11;0;0;0;0;0;0;0;0;11;5;0;0;0;107;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;94;0;0;0;0;74;0;0;0;0;0;12;0;0;21;0;0;0;8;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;12;22;12;0;0;6;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
"S14_F1F18";766;5940;2775;1021;3060;21106;86;10;9;246;4;252;86;273;72;63;94;430;23;225;0;437;110;178;351;2915;16;0;729;279;9;67;872;0;15;14;19;265;238;475;0;0;33;186;53;0;23;130;0;53;0;592;147;245;55;61;0;210;62;44;31;28;5;110;0;193;3;53;41;0;61;50;135;19;151;62;82;0;0;0;12;47;106;12;0;76;0;851;56;0;20;0;67;64;44;0;0;77;101;2;73;3;81;0;53;30;61;51;9;0;10;11;0;76;0;11;0;13;4;3;0;0;0;10;38;8;11;0;10;21;0;20;7;0;0;11;0;0;7;5;12;0;0;0;0;7;0;0;0;14;0;0;0;0;32;12;0;0;0;0;0;0;0;0;0;7;0;0;0;0;4;4;0;0;0;0;0;4;7;5;0;0;0;0;0;0;8;0;0;13;0;20;0;0;0;0;0;0;30;12;0;0;0;0;10;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;6;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S15_F1A18";9169;2234;22314;451;934;8;558;1458;2705;1999;15;296;19;6513;53;455;0;243;13;13;65;204;201;295;575;0;124;150;154;2077;45;129;283;27;41;16;144;81;131;371;0;24;58;49;338;121;12;15;0;53;16;233;35;133;0;13;29;12;418;136;0;0;6;14;0;0;6;0;0;15;42;8;21;96;169;131;155;29;7;0;227;0;96;48;72;160;0;0;0;13;0;0;60;0;0;33;14;9;4;0;51;9;30;36;0;0;0;0;23;42;6;0;5;54;0;15;19;0;0;11;38;0;0;0;6;11;0;0;0;14;0;0;10;17;102;15;8;5;0;6;0;13;0;0;0;11;14;0;0;0;0;0;15;26;16;13;0;0;0;0;0;0;0;0;0;0;9;0;5;0;0;0;0;0;0;0;4;3;0;0;0;6;0;0;8;11;0;6;0;0;45;0;0;0;28;11;0;0;0;3;0;12;0;0;0;0;0;0;0;0;0;6;7;0;0;0;0;0;0;0;0;29;0;0;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6;0
"S16_F2A17";2726;16821;9122;225;691;0;2213;1007;229;1836;0;292;655;105;811;307;8;311;31;62;0;107;2860;105;888;40;46;35;875;606;226;0;68;0;14;35;22;168;353;328;55;0;66;85;27;119;77;0;17;453;253;84;57;1154;0;0;0;51;13;318;0;0;64;7;60;34;701;28;0;26;0;11;6;21;50;24;263;0;41;390;26;0;155;184;36;82;12;0;0;75;17;13;168;5;0;0;0;88;80;0;210;0;83;72;0;0;0;0;279;15;0;0;126;55;0;36;0;47;0;0;0;80;0;0;0;14;54;5;0;25;0;0;0;102;39;12;12;13;0;26;0;4;0;43;0;90;0;13;0;11;0;0;231;0;37;15;0;0;14;17;24;0;6;11;6;31;0;0;5;31;26;0;6;0;0;0;16;0;13;0;0;16;0;0;0;3;12;10;17;0;0;6;28;0;26;0;0;114;0;0;0;0;9;0;0;0;52;0;8;0;0;11;0;6;0;0;11;0;2;18;0;0;0;0;0;0;0;0;11;4;0;0;0;0;0;0;5;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0
"S17_F2F18";2333;10386;4992;3907;3284;11930;191;0;7;361;14;217;157;632;93;138;100;682;0;196;0;251;204;111;501;2309;47;0;1320;438;38;102;1600;6;0;0;34;524;116;953;0;0;47;222;80;0;45;410;0;87;0;596;145;415;11;0;0;133;95;240;19;45;16;266;0;189;0;62;48;9;219;39;201;22;666;47;113;10;0;0;9;41;185;76;6;129;8;580;46;4;0;0;131;169;110;0;6;178;105;3;21;3;155;11;80;31;289;55;12;0;10;28;0;185;0;30;0;18;0;23;39;0;23;10;26;37;13;0;23;16;0;68;0;0;0;16;5;0;9;12;30;0;0;0;0;22;0;30;0;87;0;0;0;0;21;32;0;14;0;0;17;6;0;0;0;20;0;0;0;0;0;29;0;0;0;0;0;2;0;13;0;0;7;0;0;0;19;0;0;28;0;14;0;19;39;23;0;0;16;4;0;0;0;0;8;15;0;8;0;0;0;0;0;0;0;0;4;13;0;0;0;0;0;0;0;13;0;0;0;0;10;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0
"S18_F2A18";21643;1053;13963;495;1545;0;1089;0;773;1661;0;1065;2;2117;48;908;31;352;76;5;245;163;281;326;152;21;57;385;646;1418;21;114;408;2401;119;181;282;333;179;1426;0;15;80;69;85;4;25;67;3;105;0;72;76;233;0;17;23;13;106;73;0;68;0;68;4;0;0;17;0;26;119;18;51;77;558;51;125;37;33;0;141;0;76;151;38;148;11;0;0;12;0;0;56;59;17;21;28;0;9;0;106;0;37;38;96;23;5;0;20;0;19;4;0;183;28;45;30;16;0;52;20;0;12;0;22;0;0;0;0;7;11;0;7;16;0;30;25;0;0;15;0;25;3;0;6;10;0;2;7;19;10;0;16;56;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;6;0;0;7;6;0;0;30;0;11;0;0;0;28;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S19_F3A17";1224;24213;9351;109;193;0;945;5132;322;546;6;265;0;73;255;74;0;48;150;4;9;36;640;18;496;0;9;28;308;121;58;0;0;0;0;59;0;23;88;82;0;7;18;46;17;985;9;0;0;129;0;54;0;443;0;0;0;12;0;32;0;0;0;11;1755;0;241;16;0;19;8;0;6;0;31;21;88;0;16;0;7;0;57;39;35;17;7;0;0;14;0;22;56;4;0;1;0;0;35;0;69;0;37;14;0;0;0;0;108;0;0;0;0;6;0;4;0;26;6;0;0;0;0;0;0;0;46;0;0;7;0;0;0;19;254;0;4;0;0;0;0;0;0;0;0;30;0;0;10;0;0;100;54;0;0;0;0;0;0;4;5;0;0;0;0;0;23;0;0;14;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;5;0;13;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;9;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S20_F3F18";4014;2325;6605;2373;6813;2444;436;121;16;1816;22;637;2519;384;205;353;403;837;0;698;0;35;917;1407;462;287;56;48;2648;730;35;156;4459;0;37;34;121;1280;933;2050;0;0;106;704;76;0;125;638;0;170;0;668;478;990;0;0;0;186;90;717;18;167;64;466;0;1102;0;198;23;21;389;37;1038;14;1094;101;285;12;57;0;42;285;449;236;5;336;39;622;179;0;14;0;296;603;45;0;12;297;221;0;314;12;639;12;111;174;305;131;7;0;0;115;46;350;0;41;17;112;0;74;19;0;12;45;129;10;8;0;0;81;0;19;0;7;0;31;0;0;15;16;139;0;0;0;15;45;21;64;19;10;0;0;0;5;55;116;0;18;0;10;83;16;0;8;0;35;0;23;27;4;6;88;0;0;0;0;0;5;27;31;0;0;9;0;0;0;13;27;13;34;0;15;0;17;17;0;0;0;9;19;0;0;3;7;43;33;0;16;20;0;18;4;14;0;0;6;6;0;0;0;0;0;9;0;0;0;0;0;4;0;0;0;0;30;9;0;0;0;0;0;0;17;15;4;0;0;0;0;14;3;0;0;28;5;2;0;0;12;3;0;0;0
"S21_F3A18";4280;8315;25618;178;861;0;367;810;4626;853;16;241;38;8600;20;281;14;230;17;16;41;173;105;152;891;0;89;53;58;3079;42;70;554;162;48;33;96;25;56;179;2;9;52;27;454;70;8;15;0;10;0;319;13;57;0;0;11;32;692;143;0;10;5;16;0;0;0;4;0;8;43;6;18;32;101;71;73;9;12;6;101;0;38;18;119;202;0;0;0;0;0;0;30;0;0;8;7;0;0;0;37;0;32;19;0;3;0;0;5;51;0;3;0;28;0;7;30;0;2;4;14;5;0;0;10;62;0;151;0;0;0;0;0;0;32;7;8;5;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;8;0;21;0;16;0;0;0;0;15;0;0;0;22;13;0;0;0;0;24;8;0;0;0;0;0;0;0;7;0;8;0;0;0;0;0;0;0;0;0;20;0;0;10;0;0;0;0;6;11;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"S22_F4A17";323;24916;4615;85;82;0;322;8912;355;605;0;97;15;114;136;34;0;32;21;22;28;35;427;30;532;9;13;0;147;65;0;0;9;10;0;21;0;0;61;46;0;0;0;21;22;1428;14;0;0;29;0;83;29;210;0;3;0;14;13;15;0;0;10;0;24;0;718;10;0;4;0;0;0;0;0;8;45;0;18;0;0;0;12;17;35;0;0;0;15;26;0;0;15;0;0;0;0;0;16;0;19;0;28;0;4;0;0;0;18;0;0;0;7;0;0;0;0;0;0;0;0;0;3;0;0;22;0;222;0;0;0;0;9;11;35;0;0;0;0;0;0;0;0;6;0;8;0;0;0;0;0;129;14;0;13;0;0;0;0;0;3;0;0;0;0;0;12;0;0;16;3;0;0;0;0;0;16;0;0;0;3;20;0;0;0;0;4;0;0;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
