"";"Bathycoccaceae";"Ustilaginomycetes";"Dino-Group-I-Clade-1";"Maxillopoda";"Unassigned";"Rhizosoleniaceae";"Mamiellaceae";"Exobasidiomycetes";"Chlorellales_X";"Cryptomonadales_X";"Chlorodendraceae";"Strombidiidae";"Annelida_XX";"Chloropicaceae";"Phaeocystaceae";"Pelagomonadaceae";"Dino-Group-II-Clade-4";"Gymnodiniaceae";"Strobilidiidae";"Phaeophyceae_XX";"Oligotrichida_X";"Thalassiosiraceae";"Picozoa_XXXX";"Dino-Group-III_X";"Pycnococcaceae";"Chaetocerotaceae";"Cymatosiraceae";"Pelagomonadales_clade_B";"MAST-7";"Dino-Group-II-Clade-10-and-11";"Hydrozoa";"Heterocapsaceae";"unclassified_Dino-Group-II";"Tontoniidae";"CONThreeP_XX";"unclassified_Oligotrichida";"unclassified_Gymnodiniales";"Dino-Group-II-Clade-6";"Dino-Group-II-Clade-29";"MAST-4";"Ulvales-relatives_X";"Cryptomonadales_X:nucl";"Kathablepharidida_X";"Dino-Group-II-Clade-23";"unclassified_Pucciniomycotina";"Dino-Group-II-Clade-7";"Dino-Group-II-Clade-44";"Ephelotidae";"MAST-12";"Ochromonadaceae";"Thraustochytriaceae";"unclassified_Peridiniales";"MAST-3";"Gelidiales_X";"Crustomastigaceae";"Labyrinthulaceae";"Prasinodermaceae";"Demospongiae";"Corallinales_X";"Prorocentraceae";"Anthozoa";"Dino-Group-II-Clade-13";"Warnowiaceae";"Ctenophora_XX";"Dino-Group-II-Clade-22";"Saccharomycetales";"Choreotrichida_X";"Pyrenomonadaceae:nucl";"MAST-2";"Dino-Group-II-Clade-8";"Bacillariaceae";"Dino-Group-II-Clade-3";"Thoracosphaeraceae";"Chrysophyceae_Clade-EC2H_X";"Paraphysomonadaceae";"Chrysochromulinaceae";"Telonemia-Group-1";"Dino-Group-II_X";"Anoecales_X";"Rozellomycota_XX";"Pyramimonadaceae";"Eutintinnidae";"Kareniaceae";"Pedinellales";"Parmales_env_3";"MAST-9";"Dino-Group-II-Clade-16";"Prymnesiaceae";"Bicoecaceae";"Filosa-Thecofilosea_XX";"Telonemia_XXXX";"Pseudocohnilembidae";"Nemertea_XX";"MAST-1";"Dino-Group-II-Clade-1";"Suessiaceae";"Embryophyceae_XX";"Dictyochales";"Dino-Group-II-Clade-17";"Caecitellaceae";"Labyrinthulomycetes_LAB14";"Dino-Group-I-Clade-5";"Dinophyceae_XX";"Dino-Group-II-Clade-12";"Florenciellales";"Polyplacophora_X";"Appendicularia";"Ceramiaceae";"Chytriodiniaceae";"Suessiales_X";"Dino-Group-II-Clade-32";"Cryothecomonas-lineage";"Dinophyta_XXX";"MOCH-3_XX";"Tintinnidae";"Dino-Group-II-Clade-15";"Calcarea";"Chrysophyceae_Clade-EC2I_X";"Torodiniaceae";"Triparmaceae";"Dino-Group-II-Clade-46";"MAST-8";"Echinodermata_XX";"MAST-11";"Gigartinales_X";"TIN_11";"Protosteliida_X";"Hemiaulaceae";"unclassified_Telonemia_XXX";"Agaricostilbomycetes";"Urotrichidae";"Mytiloida";"Dino-Group-II-Clade-18";"Minorisa-lineage";"Stephanoecidae_Group_H";"Dino-Group-II-Clade-50";"Chytridiales_X";"Protoperidiniaceae";"Didiniidae";"Rotifera_XX";"unclassified_Acanthoecida";"Flamella-lineage";"Eurotiomycetes";"Acanthoecida_X";"NPK2-lineage";"Haptophyta_Clade_HAP3_XX";"RAD-B_X_Group-IVe";"MAST-10";"Dino-Group-II-Clade-42";"Stephanoecidae";"Dino-Group-I-Clade-4";"Dino-Group-II-Clade-39";"Vetigastropoda";"unclassified_Syracosphaerales";"Bryozoa_XX";"Litostomatea_XX";"Teleostei";"Dino-Group-II-Clade-20";"Prymnesiophyceae_Clade_D_X";"Cystobasidiomycetes";"Novel-clade-2";"MOCH-1_XX";"Dino-Group-II-Clade-26";"Telonemia-Group-2";"Bonnemaisoniaceae";"Pterocystida_XX";"Dino-Group-II-Clade-5";"Monosigidae_Group_B";"Dino-Group-IV-Syndinium-Group";"Ellobiopsidae_XX";"CONTH_8_XX";"Thalassomycetaceae";"Prymnesiophyceae_Clade_B4";"unclassified_Prymnesiales";"MAST-6";"Pleurostomatida";"Pirsoniales_XX";"Rhodomelaceae";"Colaconematales_X";"Cafeteriaceae";"Hartmannulidae";"Dino-Group-II-Clade-30";"unclassified_Choreotrichida-Tintinnina";"Abeoformidae_Group_MAIP_1";"RAD-A_Xb";"unclassified_Craniata_X";"Discotrichidae";"unclassified_Pelagomonadales";"Dino-Group-V_X";"Asterionellopsidaceae";"Hypocomidae";"Dino-Group-II-Clade-28";"Ulvophyceae_XX";"Labyrinthulomycetes_LAB13";"Oblongichytridiaceae";"Protaspa-lineage";"Apusomonadidae_Group-2B";"Paraphysomonadales_Clade-EC1Ga";"unclassified_Peronosporomycetes_X";"Chlamydomonadales_X";"MOCH-2_XX";"Xcellidae";"Prymnesiophyceae_Clade_B3";"PHYLL_4";"unclassified_Cryomonadida";"Dino-Group-II-Clade-14";"Abeoformidae_Group_MAIP_2";"Acanthoecidae_Group_G";"Ancyromonadida_Group-1";"Labyrinthulomycetes_LAB7";"Chlorarachnida_X";"Carditoida";"Corethraceae";"Stramenopiles_XXXX";"Stephanoecidae_Group_E";"Oltmansiellopsidales_X";"Choanoflagellatea_XX";"Peronosporomycetes_XX";"Ulotrichales_X";"Stephanoecidae_Group_D";"Rhodymeniales_X";"MOCH-4_XX";"Heteroconchia";"Malacostraca";"unclassified_Paraphysomonadales";"Choanoflagellata_XX_Clade-3";"unclassified_Ochromonadales";"Taxopodida";"Mataza-lineage";"RAD-A_Xf";"Prymnesiophyceae_XX";"Nemaliales_X";"Thigmophryidae";"Bicoecea_XX";"Dino-Group-IV-Hematodinium-Group";"Pelagomonadales_clade_A";"Suctoria_X";"Halymeniales_X";"Philasterida";"Cocconeidaceae";"OLIGO5_X";"Holostichidae";"Haliphthorales";"Naviculaceae";"Cannobotryidae";"Labyrinthulomycetes_LAB15";"Dictyochophyceae_XX";"MAST-25";"Coscinodiscaceae";"Amphidiniopsidaceae";"Dino-Group-II-Clade-36";"Tremellomycetes";"Haptophyta_Clade_HAP4_XX";"Gracilariales_X";"Dino-Group-I-Clade-2";"Parmales_env_1";"Dolichomastigaceae";"Bangiaceae";"Dysteriidae";"Aspidiscidae";"Dino-Group-I-Clade-7";"Amphifilaceae";"Endogenida_2";"Prasiolales_X";"Dino-Group-II-Clade-27"
"S25_H1A17";23284;5170;2753;146;1937;8;1347;222;342;751;1295;373;246;134;2530;243;7901;459;35;500;21;143;1171;420;206;10;75;25;991;445;154;412;82;6;153;138;156;33;47;395;303;29;0;41;65;14;26;24;1025;0;28;208;95;128;0;22;125;50;205;0;215;16;0;0;202;138;29;0;119;12;20;412;34;0;46;511;0;0;0;1343;1307;0;0;79;112;58;36;188;0;0;70;0;0;66;21;53;0;29;6;0;11;31;3;47;56;25;4;33;0;0;0;79;0;27;64;0;21;0;0;22;0;31;89;0;169;0;0;0;0;0;0;23;0;14;6;0;22;0;0;6;0;0;12;4;7;0;0;0;17;0;35;0;0;17;13;0;36;8;0;0;0;59;14;23;0;5;12;0;0;0;3;4;41;30;0;0;0;12;0;0;0;0;41;21;29;0;7;0;0;0;0;0;0;6;10;30;0;0;28;0;13;0;0;8;25;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;26;0;33;3;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;6;0;0;0
"S26_H1F18";37699;3052;1449;47;4034;52;4646;0;102;907;47;136;1461;154;49;214;0;867;16;175;12;82;342;409;163;114;81;42;1158;453;25;87;1236;0;73;0;61;281;263;231;154;86;377;28;4;554;143;7;248;0;14;61;29;31;294;41;45;478;47;47;0;211;0;0;9;0;86;46;32;76;86;145;47;59;77;280;7;61;9;0;39;11;32;137;53;15;86;71;52;18;6;151;0;67;297;119;12;16;99;10;11;0;22;56;96;0;0;7;8;6;111;34;68;43;12;7;155;36;0;45;31;32;0;34;13;17;0;4;43;0;0;18;20;69;0;8;0;11;0;0;6;0;0;0;0;0;0;24;7;0;0;51;0;0;71;6;6;0;0;0;4;14;0;33;11;0;24;0;0;0;0;0;0;0;9;0;0;0;172;42;0;0;0;0;0;0;4;20;0;34;0;8;0;0;14;0;29;0;17;0;0;0;0;0;0;0;8;6;16;0;7;80;0;0;0;0;0;0;0;0;23;0;0;0;0;0;19;0;9;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0
"S27_H1A18";29999;399;3818;4014;2393;0;1609;48;103;1436;0;1426;949;685;177;1109;130;912;877;315;138;187;595;760;44;16;47;633;636;2307;817;126;588;232;78;324;277;845;1015;1084;75;178;26;26;0;364;41;22;229;17;105;590;238;39;154;10;49;280;65;215;7;112;0;63;84;0;197;0;36;169;22;376;24;99;20;323;47;74;0;0;45;0;44;85;124;8;768;24;0;0;11;0;0;133;293;0;0;23;0;6;32;361;0;188;89;33;130;0;16;0;0;53;0;108;0;0;22;22;58;33;34;28;4;19;45;0;65;0;0;0;25;21;0;9;10;96;0;22;0;0;11;0;0;0;7;27;195;28;0;0;99;13;0;11;33;24;13;70;40;0;35;0;38;50;5;8;75;16;13;85;0;87;10;0;0;9;0;0;7;0;0;71;0;0;0;0;15;0;0;0;3;0;0;0;10;9;0;13;0;0;12;0;0;7;0;19;0;0;0;7;0;6;7;0;18;0;0;5;0;0;0;20;0;10;0;5;0;18;7;12;0;0;0;0;10;0;0;4;0;5;31;0;0;0;19;0;0;8;6;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
"S28_H2A17";23894;3451;1282;66;1091;0;1533;923;91;613;0;276;105;37;1679;182;11005;164;30;24;28;78;1144;334;40;0;10;24;968;261;44;287;116;17;20;164;94;42;58;334;1525;32;7;11;7;15;18;34;600;0;40;149;93;3;0;9;18;0;0;0;0;22;0;0;264;86;45;0;66;0;4;285;0;6;53;355;0;0;205;617;676;3;0;50;185;62;23;59;0;0;61;0;76;87;0;0;0;40;0;171;0;28;0;15;29;0;0;0;0;0;0;50;0;31;19;0;0;0;0;38;0;15;17;0;0;0;0;0;0;0;0;0;0;14;0;0;16;0;0;0;0;0;2;0;5;4;0;7;15;0;0;0;0;12;0;50;0;0;0;0;0;38;0;22;0;0;0;0;0;0;0;0;8;27;0;0;14;0;0;0;8;0;51;8;21;60;0;0;0;0;0;0;0;10;0;55;0;0;0;0;0;3;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;7;0;0;0;0;10;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;7;0;0;0;9;0;9;12;0;0
"S29_H2F18";30845;1244;1479;34;4517;19;3996;0;162;1507;471;1815;188;323;71;175;13;2747;634;41;52;22;277;799;199;147;122;17;1614;396;16;107;1212;28;245;28;366;234;315;302;47;142;255;31;3;784;114;3;197;12;32;243;76;0;266;15;41;155;21;125;0;166;86;0;0;0;238;106;35;75;126;120;35;50;85;278;19;109;0;0;110;48;43;168;33;13;81;83;19;7;21;203;0;155;319;139;10;11;77;18;13;0;96;39;143;69;12;0;0;13;85;27;49;28;11;5;49;36;0;67;48;59;0;55;0;51;0;0;52;0;16;11;13;85;13;9;0;18;63;0;0;0;0;0;0;0;0;21;6;0;8;75;0;0;19;42;0;0;0;0;0;0;0;57;0;0;15;3;0;0;9;0;0;0;10;0;0;0;15;18;0;0;0;0;0;0;7;0;0;9;0;0;0;0;0;0;0;0;0;0;6;14;0;0;0;8;15;22;0;0;3;0;0;0;0;0;7;0;0;17;3;0;0;0;0;11;18;0;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
"S30_H2A18";27494;201;3290;2304;3062;12;1491;0;93;1636;0;837;1059;587;187;1378;119;1258;305;306;39;152;475;864;35;6;61;689;528;2292;850;191;595;198;29;187;444;883;1365;826;73;218;28;22;0;455;39;27;192;96;82;803;243;23;173;15;64;269;72;276;16;135;0;0;127;0;140;0;44;214;25;328;30;97;29;336;54;74;0;0;41;0;86;111;104;28;601;0;0;0;17;0;0;144;274;0;0;15;0;10;21;620;0;252;82;44;87;7;40;0;0;73;0;86;7;0;19;16;84;17;49;25;29;8;72;0;0;0;0;0;25;20;0;13;22;113;0;17;0;0;34;0;0;22;0;11;87;27;14;0;129;0;0;16;81;13;15;53;21;0;68;0;50;34;0;5;49;29;20;64;0;60;0;6;0;0;0;0;13;0;0;66;0;0;13;0;18;0;37;0;0;0;0;0;13;0;0;13;0;16;6;8;0;6;0;28;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;17;0;32;0;0;5;18;0;7;0;0;0;29;19;0;0;0;0;0;25;0;0;4;0;16;0;10;0;0;21;0;0;0;10;0;0;0;0;0;11;0;0;2;11
"S31_H3A17";22801;14229;1779;52;815;0;1641;2201;129;1726;28;344;1598;76;559;412;382;255;12;876;33;61;1024;376;126;0;25;45;1095;658;185;262;286;55;0;27;11;407;481;487;1874;77;0;31;41;250;23;7;195;0;44;109;362;0;0;5;64;53;50;68;0;16;0;0;452;193;107;0;28;31;0;383;0;0;68;515;29;4;7;17;40;0;0;38;55;123;108;47;3;0;64;0;58;375;140;0;81;12;0;0;0;230;0;49;66;415;17;7;0;0;0;0;0;30;0;0;88;0;0;0;0;22;161;0;39;0;0;0;39;0;0;0;0;22;20;28;0;0;0;0;6;0;7;0;0;0;0;9;0;0;6;0;0;12;8;0;84;32;0;0;0;50;15;21;0;4;16;0;0;0;0;28;18;27;0;0;7;0;0;0;0;0;0;8;6;0;11;0;0;0;0;0;0;15;0;0;0;0;27;0;16;0;4;2;45;0;0;7;0;0;0;0;0;0;0;0;8;0;5;7;0;7;21;23;9;5;0;0;0;0;0;0;0;0;0;2;4;0;6;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S32_H3F18";43591;2418;1487;91;3661;26;7395;5;241;1510;366;1234;35;343;67;196;0;2691;145;0;0;0;247;441;305;33;735;26;1788;303;8;0;748;10;156;0;270;147;115;377;0;140;230;24;6;311;64;0;124;0;9;130;31;0;290;0;64;54;7;0;0;68;40;0;5;13;18;73;24;79;93;118;33;45;37;440;12;52;4;0;126;30;19;138;23;57;33;132;47;37;0;149;0;102;153;42;1192;8;58;54;11;15;118;16;128;0;19;3;0;9;66;25;0;62;0;35;0;48;0;172;17;28;0;58;0;53;0;3;102;2;14;0;4;76;13;13;0;33;8;0;0;16;0;0;7;0;0;20;0;0;0;16;0;0;0;0;10;0;0;319;11;21;0;94;0;0;4;0;0;0;5;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;13;0;11;0;0;0;0;0;0;33;8;0;0;15;0;0;0;0;0;49;0;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S33_H3A18";25642;986;4916;5557;1763;18;1277;135;108;1761;0;1277;235;886;156;943;65;868;1442;198;84;139;369;665;59;25;45;397;369;1549;550;189;296;258;50;384;289;561;894;753;11;132;50;35;0;292;32;30;143;32;67;413;130;20;140;20;81;150;34;113;28;67;0;119;74;0;138;0;26;103;12;170;0;58;25;183;43;32;0;0;39;0;30;58;42;11;574;10;0;0;10;0;83;137;142;13;0;14;0;0;10;310;0;113;56;9;54;0;9;0;0;29;0;53;9;0;13;17;56;15;16;29;0;7;25;0;0;0;17;0;13;0;0;5;14;60;0;11;0;4;25;5;0;0;2;10;36;18;0;0;44;12;0;0;24;48;16;31;12;0;18;0;25;43;0;11;21;14;31;50;0;41;0;0;0;0;0;4;6;0;0;45;0;4;9;0;15;0;30;0;0;0;0;0;4;0;0;0;0;0;0;11;0;8;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;3;16;0;10;0;0;0;0;0;9;0;0;0;0;7;7;0;0;2;0;0;0;0;0;0;10;5;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
"S34_H4A17";20065;5773;1494;61;1985;0;1978;140;124;1840;0;265;633;113;632;755;180;236;13;2164;11;18;1069;461;177;0;12;94;783;547;71;459;145;26;0;77;24;219;290;289;7283;49;8;11;22;227;8;0;92;59;25;50;196;0;24;18;62;30;112;0;79;16;0;0;228;42;58;0;18;30;6;236;0;12;23;665;0;12;0;4;27;0;11;38;80;64;75;42;0;0;76;0;1194;251;82;41;0;11;0;22;0;175;0;41;79;194;0;0;0;0;0;0;0;47;0;0;70;0;0;13;0;25;174;0;0;0;45;0;44;0;0;0;0;15;11;7;0;0;0;0;0;0;3;0;11;6;0;0;0;0;8;12;5;0;5;0;26;24;16;0;0;38;14;31;0;0;0;0;0;7;0;7;33;37;0;0;0;0;0;15;123;0;0;12;7;0;9;13;0;0;0;0;127;8;25;0;0;0;5;0;20;0;24;0;38;0;0;0;0;0;0;0;0;0;0;83;7;0;92;0;0;0;0;37;0;3;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;12;12;0;3;0;0;0;0
