"";"Bathycoccaceae";"Ustilaginomycetes";"Dino-Group-I-Clade-1";"Maxillopoda";"Unassigned";"Rhizosoleniaceae";"Mamiellaceae";"Exobasidiomycetes";"Chlorellales_X";"Cryptomonadales_X";"Chlorodendraceae";"Strombidiidae";"Annelida_XX";"Chloropicaceae";"Phaeocystaceae";"Pelagomonadaceae";"Dino-Group-II-Clade-4";"Gymnodiniaceae";"Strobilidiidae";"Phaeophyceae_XX";"Oligotrichida_X";"Thalassiosiraceae";"Picozoa_XXXX";"Dino-Group-III_X";"Pycnococcaceae";"Chaetocerotaceae";"Cymatosiraceae";"Pelagomonadales_clade_B";"MAST-7";"Dino-Group-II-Clade-10-and-11";"Hydrozoa";"Heterocapsaceae";"unclassified_Dino-Group-II";"Tontoniidae";"CONThreeP_XX";"unclassified_Oligotrichida";"unclassified_Gymnodiniales";"Dino-Group-II-Clade-6";"Dino-Group-II-Clade-29";"MAST-4";"Microbotryomycetes";"Pelagomonadales_clade_A";"Rozellomycota_XX";"Suctoria_X";"Scyphozoa";"Cryptomonadales_X:nucl";"Kathablepharidida_X";"Dino-Group-II-Clade-23";"Stephanopyxidaceae";"unclassified_Pucciniomycotina";"Dino-Group-II-Clade-7";"Dino-Group-II-Clade-44";"Ephelotidae";"MAST-12";"Ochromonadaceae";"Thraustochytriaceae";"unclassified_Peridiniales";"MAST-3";"Hemiaulaceae";"Gelidiales_X";"Crustomastigaceae";"Labyrinthulaceae";"Prasinodermaceae";"Demospongiae";"Filosa-Thecofilosea_XX";"Prorocentraceae";"Dino-Group-II-Clade-13";"Warnowiaceae";"Ctenophora_XX";"Dino-Group-II-Clade-22";"Saccharomycetales";"Choreotrichida_X";"Didiniidae";"Corallinales_X";"Pyrenomonadaceae:nucl";"MAST-2";"Bacillariaceae";"Dino-Group-II-Clade-3";"Thoracosphaeraceae";"Chrysophyceae_Clade-EC2H_X";"Embryophyceae_XX";"Paraphysomonadaceae";"Chrysochromulinaceae";"Telonemia-Group-1";"Dino-Group-II_X";"Anoecales_X";"Pyramimonadaceae";"Eutintinnidae";"Pedinellales";"Parmales_env_3";"MAST-9";"Prymnesiaceae";"Thigmophryidae";"Bicoecaceae";"Cryothecomonas-lineage";"Telonemia_XXXX";"Calcarea";"Pirsoniales_XX";"Dino-Group-II-Clade-16";"MAST-1";"Suessiaceae";"Dictyochales";"Dino-Group-II-Clade-17";"Caecitellaceae";"Protaspa-lineage";"Labyrinthulomycetes_LAB14";"Ulvales-relatives_X";"Dinophyceae_XX";"Florenciellales";"Polyplacophora_X";"Appendicularia";"Ceramiaceae";"Dino-Group-II-Clade-1";"Chytriodiniaceae";"Suessiales_X";"CONTH_8_XX";"Dasyaceae";"Dino-Group-II-Clade-32";"Dino-Group-II-Clade-8";"Tintinnidae";"Dino-Group-II-Clade-15";"Chrysophyceae_Clade-EC2I_X";"Torodiniaceae";"Eurotiomycetes";"Triparmaceae";"MAST-8";"Echinodermata_XX";"MAST-11";"Gigartinales_X";"TIN_11";"Dino-Group-I-Clade-5";"unclassified_Telonemia_XXX";"Urotrichidae";"Pyramimonadales_X";"Dino-Group-II-Clade-18";"unclassified_Cryomonadida";"Minorisa-lineage";"Noelaerhabdaceae";"Stephanoecidae_Group_H";"Dino-Group-II-Clade-12";"Chytridiales_X";"Protoperidiniaceae";"unclassified_Acanthoecida";"Acanthoecida_X";"NPK2-lineage";"Haptophyta_Clade_HAP3_XX";"RAD-B_X_Group-IVe";"MAST-10";"Mytiloida";"Dino-Group-II-Clade-39";"Novel-clade-2";"unclassified_Syracosphaerales";"unclassified_Peronosporomycetes_X";"Abeoformidae_Group_MAIP_2";"Kareniaceae";"MOCH-1_XX";"Pterocystida_XX";"Dino-Group-II-Clade-5";"Pseudocohnilembidae";"Dino-Group-II-Clade-26";"Thaumatomonadidae";"Philasterida";"Monosigidae_Group_B";"Dino-Group-I-Clade-4";"Dino-Group-IV-Syndinium-Group";"Ellobiopsidae_XX";"Prymnesiophyceae_Clade_B4";"LC104-lineage";"Macrostomorpha";"unclassified_Prymnesiales";"Teleostei";"MAST-6";"Pleurostomatida";"Telonemia-Group-2";"unclassified_Pezizomycotina";"Labyrinthulomycetes_LAB13";"Dino-Group-II-Clade-42";"Cafeteriaceae";"Parmales_env_2";"Skeletonemaceae";"unclassified_Choreotrichida-Tintinnina";"Diplopsalidaceae";"Caenogastropoda";"Leptocylindraceae";"Litostomatea_XX";"MOCH-2_XX";"Labyrinthulomycetes_LAB4";"unclassified_Craniata_X";"Chrysophyceae_env_clade-II_X";"Discotrichidae";"Strombidinopsidae";"Ventricleftida_X";"Asterionellopsidaceae";"Mataza-lineage";"Rotifera_XX";"Archosauria";"Tremellomycetes";"Nemertea_XX";"Protosteliida_X";"Dolichomastigaceae";"Lauderiaceae";"Stramenopiles_XXXX";"Apusomonadidae_Group-2B";"Paraphysomonadales_Clade-EC1Ga";"Bryozoa_XX";"Chlamydomonadales_X";"Prymnesiophyceae_Clade_B3";"PHYLL_4";"Ascidiacea";"Stramenopiles_X-Group-2_XX";"Ancyromonadida_Group-1";"Chlorarachnida_X";"unclassified_Vampyrellida";"Corethraceae";"OLIGO5_X";"Stephanoecidae_Group_D";"Naviculaceae";"Bicoecea_XX";"Ventrifissuridae";"Rhabdosphaeraceae";"MOCH-3_XX";"Heterotrichea_XX";"Rhodomelaceae";"Hemiselmidaceae";"Caviomonadidae";"Dino-Group-II-Clade-47";"Taxopodida";"Nephroselmidales_X";"Abeoformidae_Group_MAIP_1";"Blastodiniaceae";"Klebsormidiophyceae_XX";"unclassified_Ventricleftida";"Marimonadida_X";"Prymnesiophyceae_XX";"unclassified_Ochromonadales";"Amphidiniopsidaceae";"Filosa-Imbricatea_XX";"Hemidiscaceae";"Rhabdonellidae";"Stauroneidaceae";"Dino-Group-II-Clade-46";"TIN_05";"unclassified_Choreotrichida";"Dysteriidae";"Heteroconchia";"unclassified_Ceramiales";"Asterolampraceae";"Dino-Group-II-Clade-14";"Peregriniidae";"Agaricostilbomycetes";"unclassified_Dictyochophyceae_X";"unclassified_Dolichomastigales";"RAD-B_X_Group-II";"Labyrinthulomycetes_LAB9";"Acanthoecidae_Group_G";"Gonyaulacaceae";"Gregarinomorphea_XX";"TAGIRI1-lineage";"Vermamoebidae";"Xystonellidae";"Aspidiscidae";"Opisthokonta_XXXX";"Cercomonadidae";"Cystobasidiomycetes";"Sessilida";"RAD-A_Xf"
"S44_Q1A17";191;7349;93;20069;9992;426;34;2825;14;471;0;955;66;0;21;18;8;2289;309;326;13;496;333;24;0;1056;57;0;81;38;119;45;38;120;39;61;0;0;25;17;0;0;498;0;0;145;149;10;197;24;0;0;53;910;231;53;321;234;297;17;0;74;7;18;202;150;0;0;210;17;243;54;0;244;0;18;48;0;160;30;0;33;22;0;24;0;32;93;19;0;0;17;565;0;143;0;205;40;0;112;39;20;0;2;329;5;0;0;0;0;148;90;15;44;10;0;13;4;0;7;15;19;0;84;0;9;4;0;181;0;0;20;30;16;0;0;0;0;103;0;0;8;0;0;20;8;22;0;0;0;44;0;39;0;0;6;0;12;0;0;89;54;0;0;4;0;0;37;0;0;8;0;8;0;0;0;0;0;17;16;0;0;0;108;35;15;0;0;0;0;29;15;18;14;19;0;0;0;0;17;27;16;0;0;0;0;0;15;0;0;0;0;0;13;8;0;67;0;22;0;0;33;5;0;0;0;0;0;2;0;0;45;0;0;0;15;0;0;9;18;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;14;0;0;0;0
"S45_Q1F18";123;32948;59;8243;6121;513;0;1837;0;108;163;9;0;27;2;2;0;9396;9;11;5;0;16;0;6;9;2;0;6;16;455;0;43;47;0;0;2891;0;0;0;12;0;0;0;0;161;0;38;0;0;0;0;0;17;0;147;534;33;0;0;0;0;0;4;0;0;0;0;307;0;9;0;0;13;45;0;77;0;0;0;44;0;0;0;7;0;4;0;0;0;0;0;0;0;16;2;0;0;0;0;17;0;0;0;11;0;11;0;0;0;5;0;0;0;0;91;0;0;0;0;0;0;0;751;0;8;0;3;0;0;0;0;0;0;0;34;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;30;0;3;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0
"S46_Q2A17";2288;3119;418;2072;6856;383;345;127;19;515;6;2053;44;0;126;78;120;2048;168;49;705;927;3586;45;6;770;157;93;1260;54;82;214;89;780;291;187;195;0;79;126;0;0;1611;0;0;57;79;4;2001;23;0;0;0;2097;505;497;249;232;326;0;77;467;19;35;705;97;0;0;55;123;34;86;10;6;0;50;50;85;85;372;0;76;154;0;10;6;276;1469;66;72;4;40;179;0;200;0;575;41;0;71;29;0;0;12;288;60;0;10;0;0;18;13;49;63;84;0;0;0;0;0;35;166;90;0;0;40;43;0;0;0;16;18;133;66;0;21;0;0;110;0;0;20;0;0;41;10;0;0;13;0;79;0;126;0;0;9;0;11;10;0;44;117;0;0;0;0;0;13;0;17;19;0;0;0;0;59;0;20;56;16;29;0;0;13;0;39;53;0;10;0;49;24;9;4;73;0;0;0;0;29;32;32;15;0;8;0;0;0;0;0;8;0;0;13;10;0;12;4;0;0;0;15;0;16;0;8;2;0;6;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;6;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
"S47_Q2F18";3856;51310;2813;357;1039;297;121;2130;282;351;352;277;0;266;57;41;24;140;205;0;93;25;119;39;55;82;6;21;538;174;391;0;623;662;59;0;366;32;0;131;0;0;0;0;0;554;16;133;0;0;28;0;0;122;0;550;163;552;0;0;0;0;46;12;5;0;26;0;35;0;209;12;0;0;451;0;664;20;0;0;125;0;15;0;9;0;42;0;0;23;0;3;11;0;51;0;0;0;16;0;25;0;0;14;146;6;0;0;0;0;14;0;28;0;0;296;0;14;15;0;0;11;42;17;45;102;0;0;0;0;9;0;0;0;0;43;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0;31;74;0;0;0;0;0;63;0;0;0;0;0;0;12;0;0;36;30;0;7;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;39;0;0;22;0;0;0;0;8;0;0;0;32;6;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0
"S48_Q3A17";1384;2779;320;1078;7136;331;133;0;19;626;0;3667;0;0;206;81;92;1104;625;9;80;591;6508;46;0;1391;67;47;2114;13;149;0;138;1106;517;188;107;0;62;161;92;0;1766;29;0;165;99;8;1678;0;0;0;93;1384;72;387;226;276;274;0;100;407;25;0;764;75;0;0;23;173;50;111;0;11;0;51;29;41;72;399;0;97;213;0;15;11;30;178;12;111;0;52;351;0;246;0;421;22;0;127;31;1;0;0;227;87;6;13;5;0;20;0;38;6;24;0;0;0;0;0;38;185;0;0;25;89;11;0;0;0;6;25;78;0;0;0;4;0;88;19;0;0;0;0;33;8;11;0;0;0;112;0;188;0;16;10;0;0;0;0;49;173;0;2;0;12;8;15;0;21;0;0;13;0;0;65;0;0;26;28;0;0;0;22;0;48;64;0;0;8;24;44;12;0;0;0;0;17;0;64;22;31;15;0;0;0;0;18;0;0;0;0;0;12;11;0;21;17;0;0;0;21;0;15;0;8;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S49_Q3F18";4873;43785;1265;8397;1695;786;131;1690;207;2676;446;371;41;641;71;174;0;838;215;44;54;109;454;97;36;256;49;69;376;184;245;0;296;291;78;0;56;56;46;142;0;0;0;0;43;828;22;199;0;6;34;14;0;249;0;375;161;338;11;0;0;14;51;8;16;0;57;0;0;9;35;22;0;13;406;18;306;23;16;54;26;0;53;6;0;14;40;0;8;17;5;0;0;9;92;0;27;0;25;30;25;3;0;6;152;0;0;3;0;0;9;0;14;0;7;397;0;9;0;0;8;5;32;0;8;50;0;0;0;0;0;0;0;0;0;97;5;0;22;27;0;15;6;0;0;2;0;0;0;0;17;0;0;51;12;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;30;5;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;8;0;0;0;0;0;0;0;0;0;0;55;0;0;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;9;0;0;0;0;0;0;33;0;0;13;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S50_Q3A18";12227;968;3121;640;7148;75;2824;112;1256;1781;267;4316;64;177;309;610;12;5312;731;0;884;1567;58;363;166;103;123;274;353;162;53;221;239;628;315;508;3356;317;296;459;0;2689;0;0;0;88;323;28;0;0;0;52;16;9;0;0;1225;296;0;0;261;46;41;0;14;109;0;296;0;0;0;49;0;0;0;114;364;63;74;0;2355;53;383;58;0;0;187;89;271;58;163;243;0;0;0;0;0;28;130;134;15;171;8;0;28;22;0;159;192;0;137;0;299;0;0;0;0;0;0;216;0;42;0;20;0;53;0;0;0;15;78;83;123;70;0;0;0;60;28;11;25;0;41;36;19;101;0;56;0;27;29;132;0;0;146;29;90;47;0;51;0;0;47;0;0;0;0;0;0;0;0;0;40;50;0;0;0;0;0;0;0;0;0;0;0;45;0;59;0;0;0;0;0;27;0;7;82;0;0;0;0;79;0;8;0;0;0;0;0;0;15;0;19;0;0;25;0;0;0;69;0;0;0;0;0;0;0;21;0;0;0;0;0;17;35;0;0;10;27;0;0;0;0;0;0;0;9;0;0;0;0;19;0;9;0;22;0;12;0;16;0;0;14;0;0;0
"S51_Q4A17";1410;3241;433;1083;6164;254;153;949;31;315;10;1428;18;0;148;110;85;553;142;0;0;690;8988;65;0;647;100;54;2460;83;1649;43;185;355;146;108;14;48;132;204;0;0;2335;13;0;40;41;11;1263;0;13;0;9;1929;330;595;122;302;266;0;95;712;43;0;817;120;0;0;45;220;88;82;6;7;0;65;21;124;113;398;0;83;342;4;14;375;0;60;22;186;6;39;277;0;232;0;513;61;0;173;15;0;0;69;330;71;0;8;16;0;18;4;20;10;9;0;0;0;0;5;25;252;0;5;27;60;9;0;0;0;44;14;42;0;0;17;0;0;95;9;0;20;0;0;26;0;67;0;0;0;124;0;149;0;0;0;0;9;0;0;53;60;0;0;5;19;0;54;0;43;0;0;15;3;0;120;0;0;27;13;0;22;0;10;46;34;46;0;0;0;11;47;13;0;0;0;0;0;0;229;24;34;10;0;0;0;0;11;0;0;0;0;0;9;10;0;0;8;0;0;0;17;0;12;0;0;0;0;3;0;0;0;14;10;5;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0
"S52_Q4F18";773;48239;1312;889;1759;689;42;3253;54;285;158;87;16;297;15;48;0;2379;34;14;9;36;204;0;16;33;0;19;354;76;88;0;495;35;0;0;219;0;7;105;0;0;0;0;12;313;29;97;0;225;14;0;0;162;0;450;237;592;0;0;0;0;0;45;0;34;0;0;0;0;16;0;0;13;235;25;150;0;12;0;11;0;59;0;15;0;14;0;0;8;0;0;0;4;77;0;9;0;0;9;0;0;0;0;143;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;34;0;0;0;0;0;0;3;0;0;92;22;0;0;26;0;13;0;0;0;0;0;0;0;0;0;0;0;17;0;8;7;0;0;0;0;0;0;0;8;0;0;0;3;0;0;0;0;0;40;38;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;4;0;0;16;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;13;6;11
"S53_Q4A18";22532;633;2861;533;5003;0;3660;201;919;1020;563;3828;80;251;193;63;73;2333;812;0;812;396;295;455;151;88;60;296;118;273;88;265;357;143;382;295;1850;462;247;209;0;2842;0;0;0;14;117;80;0;0;39;64;0;10;608;0;584;93;0;0;260;0;6;0;0;214;0;314;0;0;0;190;119;0;0;172;72;129;143;51;46;74;190;5;39;0;452;8;168;79;0;118;0;0;0;0;0;0;143;166;70;37;30;0;46;0;0;300;187;46;69;0;116;0;41;0;0;0;22;32;0;0;0;0;0;0;0;0;0;0;115;0;21;69;9;16;0;0;39;0;0;0;50;0;42;100;0;0;0;8;68;21;0;0;0;0;0;53;0;115;0;0;0;0;0;0;39;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;69;0;26;0;0;0;0;0;0;0;55;0;0;0;0;0;35;0;0;43;0;0;56;0;51;0;0;0;0;0;0;0;0;0;51;0;0;0;33;0;26;0;0;0;34;0;0;0;0;0;0;0;17;0;25;0;24;0;23;0;0;0;0;0;0;0;0;0;0;0
