"";"Bathycoccaceae";"Ustilaginomycetes";"Dino-Group-I-Clade-1";"Maxillopoda";"Unassigned";"Rhizosoleniaceae";"Mamiellaceae";"Exobasidiomycetes";"Chlorellales_X";"Cryptomonadales_X";"Chlorodendraceae";"Strombidiidae";"Annelida_XX";"Chloropicaceae";"Phaeocystaceae";"Pelagomonadaceae";"Dino-Group-II-Clade-4";"Gymnodiniaceae";"Strobilidiidae";"Phaeophyceae_XX";"Oligotrichida_X";"Thalassiosiraceae";"Picozoa_XXXX";"Dino-Group-III_X";"Pycnococcaceae";"Chaetocerotaceae";"Cymatosiraceae";"Pelagomonadales_clade_B";"MAST-7";"Dino-Group-II-Clade-10-and-11";"Hydrozoa";"Heterocapsaceae";"unclassified_Dino-Group-II";"Tontoniidae";"CONThreeP_XX";"unclassified_Oligotrichida";"unclassified_Gymnodiniales";"Dino-Group-II-Clade-6";"Dino-Group-II-Clade-29";"MAST-4";"Microbotryomycetes";"Ulvales-relatives_X";"Pelagomonadales_clade_A";"Rozellomycota_XX";"Suctoria_X";"Scyphozoa";"Cryptomonadales_X:nucl";"Kathablepharidida_X";"Dino-Group-II-Clade-23";"unclassified_Pucciniomycotina";"Dino-Group-II-Clade-7";"Dino-Group-II-Clade-44";"Ephelotidae";"MAST-12";"Ochromonadaceae";"Thraustochytriaceae";"unclassified_Peridiniales";"MAST-3";"Gelidiales_X";"TIN_05";"Crustomastigaceae";"Labyrinthulaceae";"Prasinodermaceae";"Demospongiae";"Corallinales_X";"Prorocentraceae";"Anthozoa";"Dino-Group-II-Clade-13";"Warnowiaceae";"Ctenophora_XX";"Dino-Group-II-Clade-22";"Saccharomycetales";"Choreotrichida_X";"Didiniidae";"Cyclotrichium_like_organism_XX";"Pyrenomonadaceae:nucl";"MAST-2";"Dino-Group-II-Clade-8";"Bacillariaceae";"Dino-Group-II-Clade-3";"Thoracosphaeraceae";"Chrysophyceae_Clade-EC2H_X";"Paraphysomonadaceae";"Chrysochromulinaceae";"Telonemia-Group-1";"Dino-Group-II_X";"Anoecales_X";"Pyramimonadaceae";"Eutintinnidae";"Pedinellales";"Parmales_env_3";"MAST-9";"Strombidinopsidae";"Dino-Group-II-Clade-16";"Prymnesiaceae";"Filosa-Thecofilosea_XX";"Telonemia_XXXX";"Pseudocohnilembidae";"MAST-1";"Dino-Group-II-Clade-1";"Suessiaceae";"Dictyochales";"Dino-Group-II-Clade-17";"Caecitellaceae";"Dino-Group-I-Clade-5";"Dinophyceae_XX";"Florenciellales";"Polyplacophora_X";"Appendicularia";"Ceramiaceae";"Dino-Group-II-Clade-12";"Suessiales_X";"CONTH_8_XX";"Dasyaceae";"Dino-Group-II-Clade-32";"Cryothecomonas-lineage";"Dinophyta_XXX";"MOCH-3_XX";"Tintinnidae";"Calcarea";"Torodiniaceae";"Triparmaceae";"Dino-Group-II-Clade-46";"MAST-8";"Gigartinales_X";"Echinodermata_XX";"MAST-11";"TIN_11";"Protosteliida_X";"Hemiaulaceae";"unclassified_Telonemia_XXX";"Agaricostilbomycetes";"Urotrichidae";"Pyramimonadales_X";"Mytiloida";"Dino-Group-II-Clade-18";"unclassified_Cryomonadida";"Minorisa-lineage";"Noelaerhabdaceae";"Stephanoecidae_Group_H";"Dino-Group-II-Clade-50";"Filosa-Imbricatea_XX";"Chytridiales_X";"Protoperidiniaceae";"unclassified_Acanthoecida";"Acanthoecida_X";"NPK2-lineage";"Haptophyta_Clade_HAP3_XX";"RAD-B_X_Group-IVe";"Paraglomus_family";"MAST-10";"Dino-Group-II-Clade-42";"Stephanoecidae";"Embryophyceae_XX";"Dino-Group-I-Clade-4";"Dino-Group-II-Clade-39";"Chrysophyceae_Clade-EC2I_X";"Novel-clade-2";"Vetigastropoda";"unclassified_Syracosphaerales";"Abeoformidae_Group_MAIP_2";"Teleostei";"Prymnesiophyceae_Clade_D_X";"Stramenopiles_XXXX";"Dino-Group-II-Clade-5";"Dothideomycetes";"Bicoecaceae";"Thaumatomonadida_X";"Leptocylindraceae";"Skeletonemaceae";"Dino-Group-IV-Syndinium-Group";"Ellobiopsidae_XX";"LC104-lineage";"Protaspa-lineage";"Pleurostomatida";"Chrysophyceae_env_clade-II_X";"Telonemia-Group-2";"Agaricomycetes";"Chlorarachnida_X";"Rhodomelaceae";"Pyrenomonadaceae";"Hartmannulidae";"Holostichidae";"Kareniaceae";"Abeoformidae_Group_MAIP_1";"Diplopsalidaceae";"unclassified_Ochromonadales";"Dino-Group-II-Clade-26";"MAST-6";"Xanthophyceae_XX";"Sessilida";"Nolandellidae";"Crypthecodiniaceae";"unclassified_Pelagomonadales";"Ventricleftida_X";"Naviculaceae";"Hypocomidae";"Dino-Group-II-Clade-28";"Oblongichytridiaceae";"Archosauria";"Rotifera_XX";"Stephanoecidae_Group_D";"Tremellomycetes";"Nemertea_XX";"Lauderiaceae";"unclassified_Ceramiales";"Apusomonadidae_Group-2B";"Paraphysomonadales_Clade-EC1Ga";"Bryozoa_XX";"unclassified_Peronosporomycetes_X";"Cryomonadida_X";"Lepidochromonadaceae";"Ascidiacea";"Acanthoecidae_Group_G";"Rhodymeniales_X";"Eurotiomycetes";"Olpidophydiales";"Licmophoraceae";"Dysteriidae";"Choanoflagellatea_XX";"Peronosporomycetes_XX";"MOCH-2_XX";"Ventrifissuridae";"Entoprocta_XX";"CCW10-lineage";"Malacostraca";"unclassified_Pyrenomonadales";"unclassified_Paraphysomonadales";"Choanoflagellata_XX_Clade-3";"Ulnariaceae";"Dino-Group-II-Clade-30";"Dino-Group-II-Clade-33";"Hemiselmidaceae";"Delesseriaceae";"unclassified_Pezizomycotina";"Caviomonadidae";"Vannellidae";"unclassified_Craniata_X";"Haliphthorales";"Nephroselmidales_X";"Achnanthaceae";"Blastodiniaceae";"Mataza-lineage";"unclassified_Peritrichia_2";"Stephanoecidae_New_Choanos_8";"Entomophthoromycotina_X";"Cafeteriaceae";"Thigmophryidae";"Nemaliales_X";"Hemidiscaceae";"Pirsoniales_XX";"Prymnesiophyceae_Clade_B5";"Colaconematales_X";"Heterotrichea_XX";"MOCH-1_XX";"Stauroneidaceae";"Philasterida";"Apusomonadidae_Group-1_X";"Ancyromonadida_Group-1";"Labyrinthulomycetes_LAB9";"Craniata_XX";"Endogenida_2";"unclassified_Hypotrichia";"unclassified_Vampyrellida";"Grammatophoraceae";"Coscinodiscaceae";"Labyrinthulomycetes_LAB13";"Coscinodiscophyceae_XX";"Heteroconchia";"Verrucomonadidae";"Flabellulidae";"Callithamniaceae";"Plocamiales_X";"Vermamoebidae";"Acrochaetiales_X";"Gregarinomorphea_XX";"Cercomonadidae";"Ebriidae";"Chromadorea_X";"Dino-Group-II-Clade-2";"Developea_XX";"unclassified_Spizellomycetales";"Oltmansiellopsidales_X";"Diplonemidae";"Homoscleromorpha";"unclassified_Achnanthales";"Carpediemonadidae";"Amphifilaceae";"Prymnesiophyceae_Clade_B3";"Euplotidae";"Acinetidae_1";"RAD-A_Xf";"Haptophyta_Clade_HAP4_XX";"Chlamydomonadales_X"
"S54_L1A17";15939;18845;4528;304;2030;14;1820;591;427;595;0;1123;3559;14;20;27;75;227;157;862;294;12;12;70;0;0;130;69;0;183;689;303;525;70;194;999;39;566;710;22;56;343;0;0;0;0;45;178;71;23;8;80;444;14;525;55;103;30;0;0;11;99;10;437;394;66;214;33;0;0;26;61;310;0;0;0;10;0;0;171;43;0;62;0;0;59;383;0;0;203;0;0;30;69;0;0;0;31;0;177;0;0;0;191;0;0;0;378;0;0;50;0;0;0;85;0;0;41;7;16;0;0;4;0;6;113;0;0;0;0;0;0;27;0;33;0;17;0;0;0;15;0;0;9;0;0;38;0;0;0;0;28;7;27;4;0;0;13;59;0;5;48;0;0;29;0;0;27;0;0;6;2;0;44;12;0;5;0;0;0;0;0;188;0;0;0;12;13;0;0;0;0;0;0;0;0;0;37;32;0;0;0;0;55;0;0;12;0;13;0;0;18;0;0;0;0;0;0;0;0;24;0;0;11;0;10;0;0;0;14;16;0;0;0;0;15;0;0;0;0;12;0;0;0;14;0;11;0;22;0;0;0;0;16;0;0;0;11;0;14;0;0;0;0;0;0;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;12;0;0;0;0;0
"S55_L1F18";1503;10784;351;8985;8572;72;94;213;848;313;419;119;641;56;0;81;0;1806;0;7237;28;505;32;44;14;235;21;0;27;62;844;0;188;16;8;0;2965;27;33;12;0;89;0;0;0;1847;19;27;318;0;12;7;32;32;0;78;71;50;1861;0;0;43;54;174;1845;0;533;7;96;0;0;32;9;0;4;0;0;0;62;31;161;0;14;12;0;12;0;74;8;9;0;197;0;7;0;0;0;0;19;19;72;6;0;0;0;7;12;0;0;1316;3;16;3;397;3;0;0;0;0;104;0;0;0;11;515;65;0;9;0;17;20;0;0;0;24;0;180;4;0;0;0;0;0;0;12;0;0;0;0;0;0;2;0;0;11;0;0;0;6;0;64;24;0;0;0;0;13;25;8;36;0;0;0;35;0;0;3;0;0;278;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;9;0;0;0;60;3;0;0;0;51;0;0;0;16;0;0;14;21;22;0;15;0;16;0;0;8;0;10;0;6;0;0;0;0;0;0;0;27;0;9;0;0;112;0;55;27;0;46;0;0;0;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;15;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0
"S56_L1A18";14703;487;1984;279;2942;0;1265;667;1660;840;12448;4332;20;471;0;0;17;3469;210;0;2834;936;207;7;0;270;392;0;0;0;779;584;0;69;3;495;908;13;0;140;0;10;145;0;0;0;271;186;0;0;0;0;0;234;0;0;235;0;0;0;0;0;0;0;0;0;0;0;271;0;0;251;0;475;1274;125;0;13;0;0;0;0;143;0;0;0;0;0;0;0;0;0;36;11;0;0;0;0;0;0;0;0;0;0;0;23;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339;0;0;0;522;15;0;0;0;7;0;150;23;0;57;0;0;0;131;7;0;0;194;0;0;0;1150;0;0;0;67;0;0;0;0;0;6;0;290;0;0;0;0;0;0;0;75;10;0;0;272;0;0;185;0;0;0;0;0;0;0;7;175;0;0;0;0;0;0;0;0;0;114;0;22;99;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0
"S57_L2A17";12994;5281;3253;541;1455;0;1389;300;170;1081;0;822;1773;13;44;13;51;771;76;3912;269;26;31;72;14;0;364;49;11;70;9184;583;369;70;149;545;163;381;1027;15;0;291;0;0;40;0;60;303;22;11;0;41;1889;12;3072;27;199;52;0;0;19;12;10;165;325;109;2674;23;0;4;0;64;92;0;0;0;34;0;0;90;29;0;121;0;0;51;155;13;0;1283;0;10;0;41;0;0;0;138;0;108;0;9;6;326;0;0;0;0;2;0;44;0;0;0;66;0;0;19;0;41;0;0;11;0;0;59;0;0;12;0;0;0;22;15;343;0;0;0;0;14;9;13;0;0;9;0;31;11;0;0;0;36;0;0;0;0;0;30;0;0;0;87;0;0;30;0;0;0;0;0;0;0;0;16;0;177;14;0;0;0;0;6;0;0;0;0;4;0;0;0;0;398;0;0;7;0;13;7;0;0;0;8;0;35;0;0;0;0;0;0;0;26;0;0;0;0;0;0;8;0;0;0;0;0;0;8;0;0;0;0;30;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;19;17;6;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
"S58_L2F18";13427;11704;4083;2337;5196;261;1105;236;4385;1009;5747;462;1907;317;0;329;0;2199;29;421;84;59;282;688;98;248;76;11;369;516;988;0;1133;49;40;59;746;385;264;86;33;63;7;0;0;1957;272;75;830;0;243;40;42;195;0;621;185;256;1037;30;40;547;16;503;1700;67;652;127;106;39;0;92;94;0;16;194;23;0;141;270;107;15;78;156;16;90;0;242;66;74;0;299;0;18;51;0;12;0;49;514;46;14;100;4;18;11;43;0;0;59;31;23;50;34;14;25;31;25;0;149;0;0;0;55;338;55;0;20;0;0;23;0;23;0;62;0;285;15;0;13;7;0;0;15;0;0;7;0;0;0;9;62;0;0;15;0;28;15;0;0;37;0;5;0;20;0;64;77;0;53;8;0;0;0;6;0;38;0;29;0;0;24;0;9;0;0;8;0;0;0;0;0;0;0;0;81;29;0;0;0;61;0;0;0;0;0;3;0;18;20;0;0;33;31;22;0;32;42;79;0;15;0;0;12;0;0;0;0;0;0;0;0;0;7;0;42;0;12;22;15;0;0;33;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;12;23;0;0;0;0;0;0;6;0;0;0;0;15;0;0;0;14;0;0;13;0;0;0;12;0;0;0
"S59_L2A18";21210;453;1841;1760;5254;0;1879;122;774;1464;395;3964;128;76;10;0;12;2782;675;0;2252;827;26;0;28;77;222;139;19;11;0;910;55;1118;520;562;869;41;0;0;0;0;215;0;0;0;235;196;0;0;0;0;0;300;0;156;489;0;0;0;0;0;0;0;0;111;0;0;219;0;0;0;9;1258;886;0;9;0;129;0;0;12;105;80;0;0;0;119;0;0;106;0;196;0;33;89;0;0;123;0;0;41;132;0;42;145;0;0;0;0;0;53;48;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;216;45;0;0;27;0;56;105;0;96;0;0;30;0;158;0;0;282;0;0;11;486;6;0;0;43;0;0;0;28;0;0;62;0;0;0;12;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;181;0;0;0;159;0;0;0;0;109;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;40;0;45;0;0;0;0;0;0;5;0;0;0;0;0;47;0;0;0;0;0;0;0;58;19;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;37;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S60_L3A17";16070;4725;1157;79;6416;0;1856;86;78;804;0;616;1732;0;23;6;17;2073;592;1767;255;11;17;143;7;6;162;42;10;149;794;1292;246;815;450;78;552;340;1291;5;0;133;3;3;0;0;44;388;47;30;14;25;1161;58;2752;35;254;52;5;0;14;20;0;180;123;25;93;32;104;0;4;8;119;0;0;0;56;0;0;18;27;0;97;0;0;34;0;179;0;382;0;4;0;6;18;0;0;0;6;25;92;14;51;134;10;58;0;0;0;17;0;513;0;0;8;32;0;29;18;17;0;4;0;0;5;0;0;0;0;0;9;0;19;293;73;0;11;0;0;26;0;0;0;0;10;24;43;0;0;0;0;7;15;0;0;0;0;37;7;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;32;4;0;0;0;0;0;0;0;0;6;0;0;0;0;15;0;16;0;0;17;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;8;0;29;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S61_L3F18";6094;14461;3476;6229;1022;73;398;840;1029;313;133;34;3946;126;15;146;0;119;0;258;0;21;58;144;38;43;12;0;53;443;293;0;435;6;10;0;87;280;48;100;0;35;4;0;22;1309;99;40;677;13;95;44;52;173;0;225;0;93;3186;0;19;354;14;2587;5491;50;411;25;46;0;0;4;10;0;0;33;0;0;23;31;0;9;31;28;11;16;0;61;0;10;0;387;0;9;6;0;10;0;40;54;0;6;15;0;0;0;10;0;0;743;0;0;0;107;10;0;12;14;0;382;0;0;9;26;136;11;22;0;0;0;0;0;0;0;11;0;58;16;0;9;11;0;0;4;10;0;0;0;0;0;0;14;0;0;0;8;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;5;42;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;3;22;0;0;0;0;0;0;73;0;4;11;26;0;0;0;5;43;6;43;7;100;0;14;0;0;11;0;0;0;0;0;0;0;18;0;48;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"S62_L3A18";23444;164;2115;1009;5346;26;1795;317;2227;958;4653;4733;260;453;312;0;22;2549;1732;0;314;1726;32;0;0;638;210;339;259;17;0;677;0;33;12;572;678;0;385;66;0;0;250;0;5682;0;8;227;0;9;0;0;0;0;0;0;565;0;0;0;230;0;27;0;0;580;0;0;239;0;0;0;370;235;0;0;0;0;574;0;0;48;384;12;40;0;0;107;0;136;142;0;227;222;0;91;0;0;0;0;142;0;0;0;10;2;140;0;0;0;0;0;0;0;0;258;0;0;107;0;0;0;0;0;0;0;0;38;0;0;0;159;0;0;0;0;80;0;22;0;0;321;476;0;105;261;67;0;0;0;0;0;0;576;0;0;0;0;0;0;0;0;0;0;9;0;0;0;284;266;0;0;0;296;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;0;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;19;0;51;0;0;0;0;0;20;0;0;105;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;11;0
"S63_L4A17";17473;13091;1179;62;769;0;1956;3932;139;500;0;44;6046;18;21;9;83;614;25;5093;8;7;20;122;6;0;105;25;4;153;606;1310;227;0;50;20;143;250;842;13;0;383;0;0;7;0;22;196;31;25;10;23;3152;50;237;13;89;20;24;0;12;46;6;268;275;0;211;41;0;0;0;106;28;0;0;0;49;0;0;46;42;7;61;32;0;38;441;59;0;32;0;0;0;26;0;0;0;10;0;42;0;6;7;13;12;0;10;702;2;0;20;25;0;0;14;0;0;14;9;48;0;0;9;0;30;4;0;0;0;0;13;0;0;24;162;0;0;0;0;11;13;0;0;10;9;0;23;0;0;0;0;24;0;0;0;0;0;17;28;0;0;24;0;0;14;0;0;0;0;0;0;0;3;0;12;0;0;0;0;22;0;7;14;0;0;0;10;0;0;0;0;0;0;0;4;0;42;11;0;0;0;0;0;12;0;11;4;0;2;0;0;0;0;3;0;0;0;0;48;0;21;0;0;32;0;5;0;0;0;22;7;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;11;0;0;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
