.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1755874_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1755874_2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1755875_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755875_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755883_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755883_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1755895_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755895_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755908_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1755908_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1755910_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755910_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755912_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755912_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1755913_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755913_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1755917_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755917_2	1	0.5	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755919_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755919_2	1	1	0.25	1	0.25	0.5	0.5	0.5	0.25	0.25	1
ERR1755921_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755921_2	1	0.25	1	1	0.25	0.25	0.25	0.5	0.25	0.25	1
ERR1755922_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755922_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755935_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755935_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1755937_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755937_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755940_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755940_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755943_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755943_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1755944_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755944_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1755946_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755946_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1755949_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755949_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755954_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755954_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755957_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755957_2	1	1	0.25	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1755965_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755965_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1755971_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755971_2	1	1	1	1	0.25	0.5	0.5	0.5	0.25	0.25	1
ERR1755973_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755973_2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1755988_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1755988_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1755991_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1755991_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756002_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756002_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756003_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756003_2	1	1	0.25	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756006_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756006_2	1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR1756007_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756007_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756017_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756017_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756023_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756023_2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756032_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756032_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756035_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756035_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756044_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
