Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR1755874_1	(1, 0.0)	(2, 0.0)	(3, 0.0026313260092322996)	(4, 0.0)	(5, 0.0001096385837180125)	(6, 3.6546194572670827e-05)	(7, 0.0013887553937614915)	(8, 0.0)	(9, 0.0)	(12, 0.00037277118464124244)	(17, 0.0011548597484963982)	(22, 0.0)	(27, 8.040162805987581e-05)	(32, 5.182998727573812e-05)	(37, 2.283788421314506e-05)	(42, 1.542855710205412e-05)	(47, 7.800662494664347e-06)	(52, 7.898616517823821e-05)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 8.417814519854594e-06)	(77, 0.00022247571142812377)	(82, 0.00021804005884290675)	(87, 0.0003902878292909419)	(92, 0.0006335656377168502)	(97, 0.00010115738765276606)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755874_2	(1, 0.0)	(2, 0.008953817670304353)	(3, 3.9080673166285553)	(4, 1.7491739646371713)	(5, 0.00025582336200869577)	(6, 0.0007674700860260874)	(7, 0.0005847391131627332)	(8, 0.00025582336200869577)	(9, 0.00018273097286335415)	(12, 0.0007236146525388823)	(17, 0.0)	(22, 0.0005555021575045966)	(27, 0.00038738966247031073)	(32, 0.00015477168854364484)	(37, 0.0002773994149721311)	(42, 0.0008005415285826933)	(47, 0.00034203994752955187)	(52, 6.142966015960194e-05)	(57, 9.330718451324674e-05)	(62, 0.00014244264606207412)	(67, 0.0005575373719724509)	(72, 3.2886096128525445e-05)	(77, 8.35860208398339e-06)	(82, 0.0006649176490967009)	(87, 0.0001386391458719501)	(92, 0.00016746314488735018)	(97, 0.0003312387110266323)	(102, 2.736739607162923e-05)	(107, 1.8676056240702242e-05)	(112, 0.0)	(117, 0.00010096695038716282)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 1.3482634636241212e-05)	(142, 0.00014355990276209254)	(147, 0.0)	(150, 0.0)
ERR1755875_1	(1, 0.0)	(2, 0.0004060461901904113)	(3, 0.011937757991598092)	(4, 1.688258849573692)	(5, 0.006334320566970416)	(6, 0.00016241847607616452)	(7, 0.002192649427028221)	(8, 0.0004060461901904113)	(9, 0.0)	(12, 0.0007958505327732063)	(17, 0.07758730602158379)	(22, 0.00048725542822849354)	(27, 6.49673904304658e-05)	(32, 0.0002808827251836808)	(37, 0.00018700187375877506)	(42, 0.00010405056718831263)	(47, 0.00029959283571315786)	(52, 0.0)	(57, 3.663284112226907e-05)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 5.826719197777301e-05)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 4.6284018174808256e-05)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 3.1317391110996974e-05)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755875_2	(1, 0.0)	(2, 0.1889738969146174)	(3, 14.646086080168136)	(4, 28.580291979694444)	(5, 0.003735624949751784)	(6, 0.006659157519122745)	(7, 0.020951983413825225)	(8, 0.06326199643166608)	(9, 0.0)	(12, 0.14265214753769528)	(17, 0.11557698757579868)	(22, 3.24836952152329e-05)	(27, 0.00016241847607616452)	(32, 0.132588779967127)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 3.443832724090626e-05)	(57, 1.7494659755109752e-05)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755883_1	(1, 0.0)	(2, 0.00017672668599467522)	(3, 0.00406471377787753)	(4, 0.0378195108028605)	(5, 0.004506530492864218)	(6, 0.0005301800579840257)	(7, 0.0019439935459414275)	(8, 1.3466573472794252)	(9, 8.836334299733761e-05)	(12, 0.001290104807761129)	(17, 0.0686759901775308)	(22, 0.0008659607613739086)	(27, 0.21491732283812454)	(32, 3.5924172693246005e-05)	(37, 7.454287976662114e-05)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 3.990063146739361e-05)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755883_2	(1, 0.0)	(2, 0.4029368440678595)	(3, 12.740491883385129)	(4, 41.98858168881788)	(5, 1.8680010709637171)	(6, 0.016082128425515443)	(7, 0.03552206388492972)	(8, 1.0355300165857995)	(9, 0.014403224908566032)	(12, 0.0018379575343446222)	(17, 0.06925918824131322)	(22, 0.00026509002899201284)	(27, 0.00017672668599467522)	(32, 0.00010717734528146379)	(37, 1.8378467787140586e-05)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755895_1	(1, 0.0)	(2, 0.0006289084036837262)	(3, 0.021802157994369173)	(4, 0.0016770890764899367)	(5, 0.06771247146328117)	(6, 0.07043774121257733)	(7, 0.0008385445382449683)	(8, 0.010691442862623345)	(9, 0.002934905883857389)	(12, 0.004360431598873835)	(17, 0.001551307395753191)	(22, 0.16733156260678342)	(27, 0.1275006970401474)	(32, 0.0009348065885168358)	(37, 8.727149595125713e-05)	(42, 0.00022278075833679012)	(47, 0.00013616020064567168)	(52, 0.00018460283162283428)	(57, 0.0003301576880283407)	(62, 0.13551693432503956)	(67, 0.007471903445426535)	(72, 0.0)	(77, 0.00025142014669862723)	(82, 0.0015979579128813962)	(87, 5.2533451988890224e-05)	(92, 0.0005907055171895305)	(97, 0.00010964774018748668)	(102, 0.0006750325703215181)	(107, 0.000465574003278805)	(112, 0.37442434922062456)	(117, 0.008242043507606043)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755895_2	(1, 0.0)	(2, 0.10880115383728461)	(3, 5.877149032424421)	(4, 37.354014636794915)	(5, 0.007546900844204714)	(6, 0.010481806728062103)	(7, 0.04066941010488096)	(8, 0.3704270497697147)	(9, 0.03060687564594134)	(12, 0.546856820616456)	(17, 0.014548747738550197)	(22, 0.022095648582754913)	(27, 0.017609435303144332)	(32, 0.17826613447287024)	(37, 0.0001745436012097617)	(42, 0.00039754318312826726)	(47, 0.0006275823331987019)	(52, 0.0020967131741958423)	(57, 0.0009728757605224621)	(62, 0.001934981780494723)	(67, 0.001008613075371734)	(72, 0.003757343899439814)	(77, 0.0008967032704262777)	(82, 0.007596967127566334)	(87, 0.010758181545093152)	(92, 0.0016980244016719173)	(97, 0.0017354388545235842)	(102, 0.002334632945673091)	(107, 0.4720077757467222)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0001190032761601927)	(147, 0.0)	(150, 0.0)
ERR1755908_1	(1, 0.0)	(2, 8.510239946215284e-05)	(3, 0.0)	(4, 0.00017020479892430567)	(5, 8.510239946215284e-05)	(6, 0.0)	(7, 8.510239946215284e-05)	(8, 0.019148039878984387)	(9, 0.0049359391688048645)	(12, 0.006229495640629587)	(17, 0.06498419222929991)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755908_2	(1, 0.0)	(2, 0.07991115309496151)	(3, 3.9433047814783135)	(4, 14.135083038666274)	(5, 0.0017020479892430565)	(6, 0.0006808191956972227)	(7, 0.0090208543429882)	(8, 0.031062375803685784)	(9, 0.0002553071983864585)	(12, 0.0002212662386015974)	(17, 0.0006467782359123616)	(22, 0.03094323244443877)	(27, 0.007233703954282991)	(32, 0.040221273703448086)	(37, 0.001138028898930778)	(42, 0.0004247234342570596)	(47, 7.172425466844208e-05)	(52, 0.0002185365228253203)	(57, 0.0005177452563902246)	(62, 0.0005073102467087308)	(67, 0.00032424537134964084)	(72, 0.0006766925433895259)	(77, 0.0)	(82, 0.0)	(87, 0.00010388464150760716)	(92, 6.410426259157294e-05)	(97, 6.60642342549661e-05)	(102, 0.0)	(107, 0.00011923677968167118)	(112, 5.033798179426212e-05)	(117, 2.7337432490210463e-05)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 6.0946920108339247e-05)	(147, 0.0)	(150, 0.0)
