Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR1755874_1	7.366616440013258	34.44935665906384
ERR1755874_2	6.105407265310388	42.05498521158236
ERR1755875_1	9.859938427155718	27.760890767890196
ERR1755875_2	4.477390129991627	30.400272213365902
ERR1755883_1	9.289461522624109	32.82176848627408
ERR1755883_2	3.457039068084839	38.2904874210363
ERR1755895_1	7.92760006456793	26.690872652337337
ERR1755895_2	3.613917323701252	30.57396277281523
ERR1755908_1	4.4123892073137005	25.50229563722549
ERR1755908_2	3.1134712843228614	29.152677959755074
ERR1755912_1	8.98082819988013	26.25459772544709
ERR1755912_2	5.81039755351682	31.263952754821965
ERR1755913_1	6.835342889133593	32.52426735266085
ERR1755913_2	3.1997510803483022	43.1541312334015
ERR1755917_1	11.635005290812508	29.121026766804974
ERR1755917_2	6.332882437690625	39.46596952431268
ERR1755919_1	15.915161667178715	52.91256293797296
ERR1755919_2	10.826407628679169	44.99734843518538
ERR1755921_1	6.82369468942777	33.01398137208007
ERR1755921_2	7.115253396430974	42.41897133018927
ERR1755922_1	8.180429182196887	26.017457794343343
ERR1755922_2	4.150337097127823	30.191090221442664
ERR1755943_1	9.599714054306867	28.11951414581963
ERR1755943_2	5.0263574498612735	34.62199018709417
ERR1755944_1	10.49539428493789	30.742676271446584
ERR1755944_2	4.818828455041126	32.559046499983644
ERR1755946_1	10.065832622811046	35.72473273430839
ERR1755946_2	10.469518593821736	40.269069325113136
ERR1755949_1	11.225135533763853	25.0438491588934
ERR1755949_2	5.349472813521486	30.478778003667387
ERR1755954_1	9.223953052349328	24.282909903765614
ERR1755954_2	4.41767953508756	26.666986497104674
ERR1755957_1	12.594932232117987	61.86512091334042
ERR1755957_2	10.609531078217085	57.06251271657473
ERR1755965_1	11.711549071661723	28.36798567918408
ERR1755965_2	8.187151172402785	37.24723360830972
ERR1755971_1	9.12316832434895	43.74259737301648
ERR1755971_2	8.060227013894162	44.692031736390554
ERR1755973_1	11.044941787864767	32.2393602222282
ERR1755973_2	9.5394242203453	38.816492481855704
ERR1755988_1	9.389262560911096	31.155593963270977
ERR1755988_2	3.8971600561219963	37.13925681070655
ERR1755991_1	9.434067200691256	26.352727055830773
ERR1755991_2	4.875459641056808	34.76313070168509
ERR1756002_1	9.539910525076523	23.587742608227657
ERR1756002_2	3.868142218036261	33.40024891520064
ERR1756003_1	15.313356645814297	57.403616363252965
ERR1756003_2	12.65722745483939	52.746318619526264
ERR1756007_1	10.338352960811935	26.683767442692197
ERR1756007_2	5.749953804061666	35.03013167332617
ERR1756017_1	9.354601452606417	30.36517120650131
ERR1756017_2	7.533869783887493	40.12293951592848
ERR1756023_1	11.188820394272138	34.04938033776408
ERR1756023_2	8.520419957618957	41.950105952610286
ERR1756032_1	10.69848671823124	65.34364422667795
ERR1756032_2	9.793175728872622	68.13219410191027
ERR1756035_1	8.635540657311223	26.91346123229659
ERR1756035_2	3.8598066912538935	36.254997139785964
ERR1756057_1	6.312876372653206	25.202798441374423
ERR1756057_2	4.2419411973078285	27.03196953595466
ERR1756062_1	7.41586902854173	25.378751786565033
ERR1756062_2	2.8569881761877953	34.130538351595995
ERR1756071_1	10.488458824254854	31.121893177608726
ERR1756071_2	4.581413991006402	39.13368671308868
ERR1756073_1	8.670427046545493	24.62302969866161
