Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1755874_1	(1.0, 21.858255029856334)	(2.0, 3.0440075963451974)	(3.0, 1.5997061621772963)	(4.0, 1.065068994824608)	(5.0, 0.8199295968212698)	(6.0, 0.6587852548754587)	(7.0, 0.5425560596391884)	(8.0, 0.47055851363573725)	(9.0, 0.3867047139010029)	('>10', 6.270946402309528)	('>50', 3.2192994554021657)	('>100', 9.368994925932899)	('>500', 4.611141484207126)	('>1k', 10.058066962149278)	('>5k', 5.034402692447708)	('>10k+', 30.991576155475197)
ERR1755874_2	(1.0, 16.458171510248786)	(2.0, 2.633064026798998)	(3.0, 1.4286320567198514)	(4.0, 0.9562769630676174)	(5.0, 0.7115691228834885)	(6.0, 0.6149364470111138)	(7.0, 0.5043939181748647)	(8.0, 0.42445932904205186)	(9.0, 0.39577486281164637)	('>10', 6.2376757495955175)	('>50', 3.200083829608254)	('>100', 8.502432455949592)	('>500', 4.939156856778008)	('>1k', 9.907129299168703)	('>5k', 5.244364632480903)	('>10k+', 37.8418789396606)
ERR1755875_1	(1.0, 23.462795607548493)	(2.0, 3.393603718927598)	(3.0, 1.796121075414046)	(4.0, 1.2299009467970048)	(5.0, 0.9091514595526002)	(6.0, 0.7863856488257487)	(7.0, 0.6404377100362548)	(8.0, 0.5724431499497974)	(9.0, 0.49321555614509877)	('>10', 8.173855839953005)	('>50', 3.940581202055018)	('>100', 11.458603074861568)	('>500', 4.024766044017005)	('>1k', 11.08649611068639)	('>5k', 4.607501158150331)	('>10k+', 23.424141697080035)
ERR1755875_2	(1.0, 21.18323322531804)	(2.0, 3.4432352692326305)	(3.0, 1.823556219225622)	(4.0, 1.229386751223921)	(5.0, 0.9085708529949307)	(6.0, 0.7533224324007742)	(7.0, 0.6658057265853607)	(8.0, 0.5828431322195822)	(9.0, 0.4955488696977174)	('>10', 8.40564349773636)	('>50', 4.347560616581093)	('>100', 11.897595237186053)	('>500', 5.73008032988255)	('>1k', 14.817684393278526)	('>5k', 1.9606397400957705)	('>10k+', 21.75529370634107)
ERR1755883_1	(1.0, 18.66706005738816)	(2.0, 3.038063916230031)	(3.0, 1.6027825269494391)	(4.0, 1.1373856561399251)	(5.0, 0.9065598629189809)	(6.0, 0.716135231832685)	(7.0, 0.6388748011207436)	(8.0, 0.5440697033399764)	(9.0, 0.45664747736114447)	('>10', 8.571150441577048)	('>50', 4.189781433677134)	('>100', 10.747261553760962)	('>500', 4.222502029727285)	('>1k', 13.47470501563014)	('>5k', 1.9176996001725461)	('>10k+', 29.169320692173795)
ERR1755883_2	(1.0, 22.35545871605915)	(2.0, 3.0649534589500655)	(3.0, 1.5887116866877455)	(4.0, 1.0835754188982052)	(5.0, 0.8338383988726125)	(6.0, 0.7028640626912681)	(7.0, 0.5902507178544891)	(8.0, 0.5201607162455197)	(9.0, 0.4589154299717573)	('>10', 7.7423056413386995)	('>50', 3.6232908138504416)	('>100', 9.220595533796706)	('>500', 4.5263327702512335)	('>1k', 12.687350634996461)	('>5k', 7.001875886260814)	('>10k+', 23.99952011327483)
ERR1755895_1	(1.0, 24.802218645270933)	(2.0, 3.8005875120150736)	(3.0, 2.047150856925555)	(4.0, 1.43233047884977)	(5.0, 1.1495334154628507)	(6.0, 0.973451890419569)	(7.0, 0.8525499330461803)	(8.0, 0.7206820950363594)	(9.0, 0.6309993560208965)	('>10', 10.152425827247805)	('>50', 4.9016950318761205)	('>100', 12.798412118921258)	('>500', 4.3266976826847365)	('>1k', 8.745212609124836)	('>5k', 8.270714985367809)	('>10k+', 14.395337561730248)
ERR1755895_2	(1.0, 23.62392098413864)	(2.0, 3.813752796425926)	(3.0, 2.1838045695845367)	(4.0, 1.4798691352790179)	(5.0, 1.1867291841280432)	(6.0, 0.9525137472953706)	(7.0, 0.9129028929157459)	(8.0, 0.7158128202840895)	(9.0, 0.6602981398788454)	('>10', 10.285455199002984)	('>50', 4.285515622655811)	('>100', 15.039688887982289)	('>500', 5.360976490114266)	('>1k', 12.538262700310698)	('>5k', 5.07687194921684)	('>10k+', 11.883624880786895)
ERR1755908_1	(1.0, 27.583625178574923)	(2.0, 3.6766168685867795)	(3.0, 1.869895112556615)	(4.0, 1.2484282143125034)	(5.0, 0.9910638359835815)	(6.0, 0.8017408409405133)	(7.0, 0.6556575540374017)	(8.0, 0.558528601692729)	(9.0, 0.5388268507869477)	('>10', 9.022228043052854)	('>50', 4.476205024849458)	('>100', 11.243820532720001)	('>500', 5.497422795172779)	('>1k', 11.891225467324904)	('>5k', 3.5134201491650354)	('>10k+', 16.431294930242967)
ERR1755908_2	(1.0, 25.745428046531053)	(2.0, 3.758823443080992)	(3.0, 1.978293717336866)	(4.0, 1.3801770894564502)	(5.0, 1.0374627259136493)	(6.0, 0.8468963155586866)	(7.0, 0.7077107238333262)	(8.0, 0.6276829876406034)	(9.0, 0.5616176189834265)	('>10', 8.694437577688916)	('>50', 3.945042064491702)	('>100', 11.51126422039709)	('>500', 5.842105894184309)	('>1k', 13.768344827096831)	('>5k', 6.1901277832996655)	('>10k+', 13.404584964506446)
