Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
ERR1755874_1	74.94912302563813	50.0	121.40602675985458	137	27.27272727272727	2.7362629999999997
ERR1755874_2	80.68560166775274	50.0	125.44311456903083	137	27.27272727272727	2.7362629999999997
ERR1755875_1	72.87031155033394	49.0	119.20541064669352	132	36.36363636363637	1.231387
ERR1755875_2	75.09839770395885	49.0	123.84423012424202	137	45.45454545454545	1.231387
ERR1755883_1	77.94402450516195	49.0	113.52267005746268	127	36.36363636363637	1.131691
ERR1755883_2	74.3339833177387	49.0	119.17713580827275	132	45.45454545454545	1.131691
ERR1755895_1	70.91975900795612	49.0	118.20838251047657	132	27.27272727272727	0.47701699999999997
ERR1755895_2	72.02077562935395	50.0	119.27729200426819	132	45.45454545454545	0.47701699999999997
ERR1755908_1	68.51105363828351	49.0	118.46475356472676	132	27.27272727272727	1.175055
ERR1755908_2	70.21435240338559	49.0	117.67839803243253	127	27.27272727272727	1.175055
ERR1755912_1	71.57087680328529	50.0	117.83641589219292	132	36.36363636363637	1.206303
ERR1755912_2	72.68958339490779	50.0	116.48455653347459	127	27.27272727272727	1.206303
ERR1755913_1	74.56064375451827	50.0	117.99171000397901	132	27.27272727272727	0.864536
ERR1755913_2	76.69870514036717	50.0	120.64896892668438	132	45.45454545454545	0.864536
ERR1755917_1	75.50786273801774	50.0	110.40783738608053	122	27.27272727272727	1.317378
ERR1755917_2	76.06397848160883	51.0	117.63664415224787	132	36.36363636363637	1.317378
ERR1755919_1	94.73518233581973	50.0	132.16612934157047	142	36.36363636363637	2.044076
ERR1755919_2	90.82199266211632	50.0	126.99569879006455	137	36.36363636363637	2.044076
ERR1755921_1	77.57572869965043	48.0	120.89236051276622	132	36.36363636363637	1.294079
ERR1755921_2	81.05011425842855	48.0	121.22550091609554	132	54.54545454545454	1.294079
ERR1755922_1	70.50191592578967	49.0	110.92711131056785	122	36.36363636363637	0.583808
ERR1755922_2	71.90561060415939	49.0	116.42029400076737	127	36.36363636363637	0.583808
ERR1755943_1	77.0678241912975	49.0	119.58655624295751	132	27.27272727272727	1.5779219999999998
ERR1755943_2	79.30409531151493	50.0	125.4785249207502	137	45.45454545454545	1.5779219999999998
ERR1755944_1	74.24408861665282	49.0	119.68226982118101	137	36.36363636363637	0.397441
ERR1755944_2	73.8467367266302	50.0	116.0680302233539	127	45.45454545454545	0.397441
ERR1755946_1	80.8794618855367	48.0	119.03714091296648	132	36.36363636363637	1.21976
ERR1755946_2	81.32247806450141	49.0	117.57121318947989	127	45.45454545454545	1.21976
ERR1755949_1	73.55426411406987	50.0	112.90006627202423	127	27.27272727272727	0.8027519999999999
ERR1755949_2	71.25668284328472	50.0	117.43500358765846	132	45.45454545454545	0.8027519999999999
ERR1755954_1	68.60194947092884	48.0	116.58238270218686	132	27.27272727272727	0.771242
ERR1755954_2	66.22289717863718	49.0	118.99055549360642	132	45.45454545454545	0.771242
ERR1755957_1	96.09993022802946	49.0	124.82400653533702	132	36.36363636363637	2.290318
ERR1755957_2	93.489793337554	49.0	118.85621472651395	122	36.36363636363637	2.290318
ERR1755965_1	76.25568074068539	49.0	118.3975546674724	132	36.36363636363637	1.578681
ERR1755965_2	80.56676556094538	50.0	127.07545539599197	142	27.27272727272727	1.578681
ERR1755971_1	86.1587097160295	50.0	125.78517007060967	137	27.27272727272727	1.05368
ERR1755971_2	85.89015660877467	50.0	125.82850960443399	137	27.27272727272727	1.05368
ERR1755973_1	73.51984977786512	49.0	121.43671777556783	137	27.27272727272727	1.376603
ERR1755973_2	79.19992600643062	49.0	125.68659446478033	137	27.27272727272727	1.376603
ERR1755988_1	73.80354237121071	49.0	114.72087849982093	127	36.36363636363637	0.6086739999999999
