.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Per Tile Sequence Quality
ERR3518658_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518658_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518664_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
ERR3518664_2	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
ERR3518669_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518669_2	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
ERR3518674_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518674_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518680_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518680_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518689_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518689_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518695_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
ERR3518695_2	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
ERR3518702_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518702_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518707_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518707_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518711_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
ERR3518711_2	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
ERR3518719_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518719_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518728_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518728_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518741_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518741_2	1	1	1	0.25	0.5	0.5	0.5	0.25	0.25	1	0
ERR3518742_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518742_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518753_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518753_2	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1	0
ERR3518754_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518754_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518769_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518769_2	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1	0
ERR3518770_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518770_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518780_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518780_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518791_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518791_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518798_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518798_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518807_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518807_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518820_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR3518820_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
ERR4223600_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223600_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223601_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223601_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223602_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223602_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223603_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223603_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223604_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223604_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223605_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223605_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223606_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223606_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223607_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223607_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223608_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223608_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223609_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223609_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223610_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223610_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223611_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223611_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223612_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223612_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223613_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223613_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223614_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223614_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223615_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223615_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223616_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223616_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223617_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223617_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223618_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223618_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223619_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223619_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223620_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223620_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223621_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223621_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223622_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223622_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223623_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223623_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223624_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223624_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223625_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223625_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223626_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223626_2	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223627_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR4223627_2	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1	0.5
ERR9875453_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	1
ERR9875453_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	1
ERR9875457_1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875457_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875459_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875459_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875461_1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875461_2	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875463_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875463_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875466_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875466_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875467_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875467_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875470_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875470_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875473_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875473_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875474_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	1
ERR9875474_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	1
ERR9875475_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875475_2	1	1	1	0.25	0.25	1	1	0.25	0.25	1	1
ERR9875477_1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875477_2	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875478_1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875478_2	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875480_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875480_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875482_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875482_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875485_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875485_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875486_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875486_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5	1
ERR9875487_1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875487_2	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5	1
ERR9875489_1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	1
ERR9875489_2	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25	1
ERR9875491_1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25	1
ERR9875491_2	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25	1
