Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR3518658_1	11.288195313168195	67.19877189883272
ERR3518658_2	10.717468787893564	66.96848294654754
ERR3518664_1	13.181276492333287	64.6386994863934
ERR3518664_2	13.63740028133865	65.45483860414905
ERR3518669_1	11.641204514809779	65.43859028228232
ERR3518669_2	11.88105277120913	67.07576130478749
ERR3518674_1	10.146228263220465	68.61108566764482
ERR3518674_2	10.527864272241999	69.65063376610671
ERR3518680_1	7.5936055579299	68.79116138885638
ERR3518680_2	8.514294218722519	69.68059889729594
ERR3518689_1	16.307998168368787	64.6393007886017
ERR3518689_2	17.83388397087216	63.14548604685061
ERR3518695_1	6.3496262327383715	60.72225134687085
ERR3518695_2	7.034180637005427	49.88169711169833
ERR3518702_1	12.746603365601416	68.9321188485497
ERR3518702_2	14.408011974244179	68.59753131176886
ERR3518707_1	5.253670374115268	66.86479271991911
ERR3518707_2	6.181112234580384	55.504772497472196
ERR3518711_1	8.22166949420594	66.97676625355838
ERR3518711_2	9.255254909854214	53.5266411708888
ERR3518719_1	11.610862161610882	73.03164059688714
ERR3518719_2	9.896771205568978	71.44597501671505
ERR3518728_1	10.262838398398513	76.34289056870335
ERR3518728_2	9.007748809490284	73.85767004504184
ERR3518741_1	11.275277073930836	69.17328506695533
ERR3518741_2	8.97232962633482	53.51355035240901
ERR3518742_1	12.173949748843537	68.97536109172984
ERR3518742_2	12.401592106014595	71.43997199164716
ERR3518753_1	13.477119000277238	69.05855663833681
ERR3518753_2	10.771702742261956	53.10565116424655
ERR3518754_1	14.462786070073493	68.8064734791266
ERR3518754_2	15.153094012233959	69.16450632972474
ERR3518769_1	11.738745754533989	71.15171821394455
ERR3518769_2	9.213270093295673	55.729165771300956
ERR3518770_1	12.596773686362065	71.10169491525423
ERR3518770_2	12.899783025691017	72.33234803936982
ERR3518780_1	18.84974073935912	66.84365490889905
ERR3518780_2	18.68312647549414	64.43817979312439
ERR3518791_1	13.402523642342318	71.56694768793882
ERR3518791_2	12.131320475804463	69.54721574985312
ERR3518798_1	10.195915923691471	72.46935925155702
ERR3518798_2	9.089770700719765	70.4942008784826
ERR3518807_1	14.313901376625576	71.61020909231453
ERR3518807_2	14.332185344700838	72.24534406613905
ERR3518820_1	10.047707687845211	71.79834261442542
ERR3518820_2	10.039810121602196	72.70720150611234
ERR4223600_1	9.82792670884687	59.04161942727572
ERR4223600_2	11.017673627619502	66.50650989284277
ERR4223601_1	10.970136694279784	61.99160386708304
ERR4223601_2	10.653879237803169	65.24580660844849
ERR4223602_1	6.636593756084896	59.78256636593756
ERR4223602_2	10.10125267735445	67.48101512299604
ERR4223603_1	8.478685074557285	61.7439101005863
ERR4223603_2	10.061959024017725	66.297931665257
ERR4223604_1	9.200081983183326	59.91376583679779
ERR4223604_2	12.716249623611157	64.63032922320933
ERR4223605_1	11.937389388005437	62.023540051612436
ERR4223605_2	12.625035408832327	63.486152222895036
ERR4223606_1	9.283516376594788	59.306259957918286
ERR4223606_2	11.691660281436617	65.68176013427227
ERR4223607_1	10.491613850289125	62.399698475516004
ERR4223607_2	11.787970760059908	64.20363813094494
ERR4223608_1	10.127206042815006	56.78831140489818
ERR4223608_2	12.690509880115169	64.41011453471592
ERR4223609_1	12.946822177998337	58.34571882006197
ERR4223609_2	12.7956772552082	62.697792924258394
ERR4223610_1	7.680099080296324	58.98052796954199
ERR4223610_2	9.364464117795464	66.03151303869177
ERR4223611_1	8.348413475192286	61.860267522890126
ERR4223611_2	9.2950004342142	64.6476879854104
ERR4223612_1	10.792551006435712	56.790086265918106
ERR4223612_2	13.249349582363411	62.767629741202256
ERR4223613_1	11.918081499979074	60.335374785508016
ERR4223613_2	13.442613802820832	61.4871444315788
ERR4223614_1	11.725762056998274	60.61451797651
ERR4223614_2	13.137683141572495	66.239336330843
ERR4223615_1	12.9262004724614	62.88580128000493
ERR4223615_2	12.997752175722177	65.0761640361325
ERR4223616_1	11.047592295521229	57.365756457888494
ERR4223616_2	14.53005707915371	62.843906838745355
ERR4223617_1	12.128949600303155	60.74331883717993
ERR4223617_2	14.467131024775789	61.439856000866165
ERR4223618_1	8.37124896836968	59.01448682486187
ERR4223618_2	9.058843955657139	67.12530116470171
ERR4223619_1	9.401815876831082	62.19976599273552
ERR4223619_2	8.688802092874992	66.1236623358224
ERR4223620_1	8.550266992582957	59.73688903809235
ERR4223620_2	10.860356060049726	67.02888135877718
ERR4223621_1	11.05959267941246	62.20069248801049
ERR4223621_2	10.87528764059442	65.95647218219746
ERR4223622_1	11.185042604294397	57.52964955348001
ERR4223622_2	11.725154722126529	65.62699500601062
ERR4223623_1	12.353751455993748	60.86709219191667
ERR4223623_2	11.358358702452993	64.48290273838111
ERR4223624_1	8.849444890446632	60.61757161598558
ERR4223624_2	13.149341113352001	66.18017074269156
ERR4223625_1	11.538577274915744	62.89996589632482
ERR4223625_2	13.206397448242658	65.05501725244744
ERR4223626_1	9.605246050153715	58.120514874573765
ERR4223626_2	12.11985219794738	65.34536776455687
ERR4223627_1	10.661521404690898	61.252825453576605
ERR4223627_2	12.151384149957458	63.94248536780315
ERR9875453_1	19.055026871653048	65.68262641200215
ERR9875453_2	17.892375748613205	66.79558338214724
ERR9875457_1	18.30972092729809	66.3050907459464
ERR9875457_2	17.095218400151417	67.63902811757367
ERR9875459_1	18.307633505045835	65.99978322009434
ERR9875459_2	17.379228736213896	67.35547259241872
ERR9875461_1	17.74175618728083	69.2347338169092
ERR9875461_2	16.130113052894576	70.71772224420452
ERR9875463_1	6.221864683307942	78.31585419877396
ERR9875463_2	6.66888655113445	78.76985003992846
ERR9875466_1	8.919403216980685	77.90099103541921
ERR9875466_2	8.412063339796118	79.17710958136016
ERR9875467_1	14.996001639251164	70.49002558643903
ERR9875467_2	13.800330613015472	71.11034708227106
ERR9875470_1	12.709372338862304	73.7327009452184
ERR9875470_2	12.08734108415967	75.07086039837618
ERR9875473_1	14.171556258041672	70.29559475134448
ERR9875473_2	12.858460623648426	71.3956575176885
ERR9875474_1	4.705028097573296	73.9367981585901
ERR9875474_2	5.062442240688195	74.04805957412611
ERR9875475_1	5.548171693475424	75.38507730369825
ERR9875475_2	5.399569245057928	75.37851189380049
ERR9875477_1	11.537888820596006	73.2872567594112
ERR9875477_2	10.150126412236958	74.38021569285945
ERR9875478_1	10.078184566104984	72.08626017910717
ERR9875478_2	9.276217545284338	73.40632965644808
ERR9875480_1	9.411741919775107	73.30279307762402
ERR9875480_2	8.959079623556148	74.26871243954358
ERR9875482_1	6.7600047021146805	73.1102582350549
ERR9875482_2	6.108142283448556	74.6835603904026
ERR9875485_1	8.367557032087365	71.7720787974182
ERR9875485_2	7.561410419174269	72.7244051981313
ERR9875486_1	7.581873607472803	69.69972685491615
ERR9875486_2	6.843169974549963	71.40003169601655
ERR9875487_1	12.331513684191146	68.31140855572636
ERR9875487_2	11.227204521812775	70.79895792099715
ERR9875489_1	9.971322693328922	70.60401482293395
ERR9875489_2	9.077301205843552	71.82898669974146
ERR9875491_1	15.301499663800264	64.2490372923092
ERR9875491_2	13.754068118224664	65.483595176979
