Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR3518658_1	(1, 33.268880137038316)	(2, 33.473038767038865)	(3, 33.473444830168894)	(4, 33.27750498186704)	(5, 33.08792146035649)	(6, 36.26500095520756)	(7, 35.68398376706684)	(8, 35.95885653262054)	(9, 35.787834812239765)	(12, 35.698890920092694)	(17, 37.3032984635946)	(22, 37.043599429912945)	(27, 37.69032794393771)	(32, 37.60837459419422)	(37, 37.07731901595329)	(42, 37.32311410182738)	(47, 37.336515745103725)	(52, 37.075095885935745)	(57, 36.90710886672354)	(62, 36.83606512439269)	(67, 36.594471143361645)	(72, 36.76330977397142)	(77, 36.67132630096131)	(82, 36.461787993395674)	(87, 36.4842731987828)	(92, 36.25831155922239)	(97, 36.413949672817445)	(102, 36.66135972639598)	(107, 36.62615452464978)	(112, 36.45887971336037)	(117, 36.29652386945749)	(122, 36.45544364515627)	(127, 36.32127248455573)	(132, 36.38573790466834)	(137, 36.43757104834842)	(142, 36.554163306147856)	(147, 36.74675057793679)	(150, 36.90098124863866)																				
ERR3518658_2	(1, 32.620574771169835)	(2, 32.677548305925406)	(3, 32.73101195248422)	(4, 32.78629488975945)	(5, 32.69844816740032)	(6, 35.87976454733153)	(7, 35.509482133621944)	(8, 35.73330564963307)	(9, 35.558520251599276)	(12, 35.4793388205145)	(17, 37.11405354118223)	(22, 36.88860944960061)	(27, 37.70386423423128)	(32, 37.55670653520663)	(37, 37.02687939212066)	(42, 37.217340849068634)	(47, 37.33017911481272)	(52, 36.93969472734383)	(57, 36.71373973072639)	(62, 36.848382702098604)	(67, 36.482650096199194)	(72, 36.80064283307753)	(77, 36.63217122653265)	(82, 36.29218737533653)	(87, 36.37001696823722)	(92, 36.15740040878262)	(97, 36.20317672078826)	(102, 36.4215590729699)	(107, 36.45513482264251)	(112, 36.25296355778625)	(117, 36.102870833979885)	(122, 36.4252084726768)	(127, 36.14707180724085)	(132, 36.264662161937785)	(137, 36.40384704124709)	(142, 36.34681778108954)	(147, 36.68168804623432)	(150, 36.622676784896655)																				
ERR3518664_1	(1, 32.1347343406067)	(2, 32.43880463788164)	(3, 32.81137902671782)	(4, 35.8402835351463)	(5, 36.077161330423365)	(6, 36.06331077639185)	(7, 36.36366268337251)	(8, 36.415450492342636)	(9, 38.22566140286106)	(12, 38.583885931665556)	(17, 39.94737266154773)	(22, 39.44147282184533)	(27, 39.405757861826274)	(32, 39.01876769156921)	(37, 38.64669934358101)	(42, 38.300196746852535)	(47, 38.042027014402336)	(52, 36.738103176028915)	(57, 36.164279221620276)	(62, 35.61108351709608)	(67, 34.92684654135191)	(72, 34.14960518737992)	(77, 33.88785588193142)	(82, 33.39276796776776)	(87, 33.3208361648404)	(92, 33.301713482953794)	(97, 33.46735968967067)	(102, 32.586895572459795)	(107, 33.642254063576374)	(112, 33.76191868352369)	(117, 33.74567246646821)	(122, 33.77358426882924)	(127, 33.470827674457425)	(132, 33.75030420173789)	(137, 33.77958650562482)	(142, 33.783754012425874)	(147, 33.84357246068077)	(150, 33.575773345651996)																				
ERR3518664_2	(1, 32.29239591171014)	(2, 32.81914878701917)	(3, 32.924079924477866)	(4, 36.04026858026797)	(5, 36.17251246629311)	(6, 36.0940411819962)	(7, 36.32827173013922)	(8, 36.35626983273903)	(9, 38.18620786346196)	(12, 38.34608906564724)	(17, 39.64193198334401)	(22, 39.24235628128257)	(27, 39.176978927641755)	(32, 38.89093409286238)	(37, 38.40111307140773)	(42, 37.979742458475016)	(47, 37.63082941740298)	(52, 36.6038823415772)	(57, 36.016954166915994)	(62, 35.456062155927334)	(67, 34.96165084988922)	(72, 34.05036995897051)	(77, 33.736794526783704)	(82, 33.317925291137165)	(87, 33.319921212796956)	(92, 33.03838670928955)	(97, 33.29139954764206)	(102, 32.518697231388124)	(107, 33.69923565845477)	(112, 33.77662452715187)	(117, 33.67515270548366)	(122, 33.67117186997112)	(127, 33.35962914184417)	(132, 33.697798440829374)	(137, 33.77337962431594)	(142, 33.71494951104289)	(147, 33.77025910659935)	(150, 33.159564783411014)																				
ERR3518669_1	(1, 32.148595423431594)	(2, 32.443798971608054)	(3, 32.811537841209)	(4, 35.84067029996161)	(5, 36.09539736112886)	(6, 36.104670341025965)	(7, 36.3710221269337)	(8, 36.40659628632338)	(9, 38.21040484321656)	(12, 38.58322580505724)	(17, 39.93995575315675)	(22, 39.43315098418023)	(27, 39.36135811711284)	(32, 38.98489082137401)	(37, 38.65628646677958)	(42, 38.42627756022542)	(47, 38.04642985102551)	(52, 36.95864660890503)	(57, 36.189318197117416)	(62, 35.61646983488079)	(67, 34.92836963448796)	(72, 34.21374493834007)	(77, 33.89267872435376)	(82, 33.345708673743694)	(87, 33.29287759908616)	(92, 33.32442398082035)	(97, 33.476712236951656)	(102, 32.485860145584894)	(107, 33.5249575820219)	(112, 33.650872628059)	(117, 33.68272619077207)	(122, 33.718595267290766)	(127, 33.50147293615049)	(132, 33.70057168347228)	(137, 33.679394004436716)	(142, 33.71573301482179)	(147, 33.84870291545638)	(150, 33.5312403664607)																				
ERR3518669_2	(1, 32.31561280310965)	(2, 32.728404674096254)	(3, 32.8139379447344)	(4, 36.150482762831466)	(5, 36.24853552890755)	(6, 36.1610127983008)	(7, 36.35817979001526)	(8, 36.38672167849473)	(9, 38.20433407258179)	(12, 38.3740480836589)	(17, 39.668087673480024)	(22, 39.27164503538694)	(27, 39.1620943037525)	(32, 38.88660039455963)	(37, 38.430414424100675)	(42, 38.145359962260024)	(47, 37.65217618754825)	(52, 36.83529880847058)	(57, 36.073287612651754)	(62, 35.46681897308101)	(67, 34.913856785411795)	(72, 34.10365526441003)	(77, 33.76870640485434)	(82, 33.29461471250596)	(87, 33.314516029389445)	(92, 33.096232467229896)	(97, 33.32636331654344)	(102, 32.43957024692604)	(107, 33.60572121232521)	(112, 33.717519463371865)	(117, 33.67790307576832)	(122, 33.614815698717976)	(127, 33.42950906860258)	(132, 33.6592863288652)	(137, 33.67430064901313)	(142, 33.672711589431195)	(147, 33.80409988877882)	(150, 33.13365012966057)																				
ERR3518674_1	(1, 32.124028825555705)	(2, 32.42609123297013)	(3, 32.79221818377131)	(4, 35.8398238949796)	(5, 36.09095674200437)	(6, 36.08811533291483)	(7, 36.35872202291063)	(8, 36.40171050429377)	(9, 38.2009607559443)	(12, 38.56260345966134)	(17, 39.91634618289659)	(22, 39.404349873611245)	(27, 39.331551006530205)	(32, 38.97207150553493)	(37, 38.740820531481596)	(42, 38.372478334852644)	(47, 37.884713117319585)	(52, 36.99815823627976)	(57, 36.23509292500082)	(62, 35.63416488417431)	(67, 34.844020312049516)	(72, 34.11277585780729)	(77, 33.863782494917686)	(82, 33.39356156928138)	(87, 33.33070860186102)	(92, 33.32494399976122)	(97, 33.4408639736878)	(102, 32.538124674660125)	(107, 33.540095512982035)	(112, 33.7130383018198)	(117, 33.71681591307499)	(122, 33.81431696723896)	(127, 33.55555815073675)	(132, 33.71095863679896)	(137, 33.695121389612204)	(142, 33.72831873787716)	(147, 33.89767303891266)	(150, 33.53694770397004)																				
ERR3518674_2	(1, 32.500290135442896)	(2, 32.782019563281416)	(3, 32.7388294257764)	(4, 35.860835935360704)	(5, 36.12090303577586)	(6, 36.11492121024365)	(7, 36.31658692337979)	(8, 36.38637145105607)	(9, 38.166576828584624)	(12, 38.3648448398812)	(17, 39.661071880216745)	(22, 39.2464111204839)	(27, 39.093991127130636)	(32, 38.85900954621764)	(37, 38.50791455368725)	(42, 38.125464892839375)	(47, 37.51202618665768)	(52, 36.84136338697884)	(57, 36.12485409009793)	(62, 35.49092861533394)	(67, 34.851890864531015)	(72, 34.02888682940232)	(77, 33.73054204612031)	(82, 33.34446835342618)	(87, 33.368572130568424)	(92, 33.145597013647375)	(97, 33.30078179749517)	(102, 32.49625203467995)	(107, 33.605815149181026)	(112, 33.772912276170004)	(117, 33.69812268611447)	(122, 33.673168165149846)	(127, 33.47065103082555)	(132, 33.6732393434194)	(137, 33.6950039446064)	(142, 33.6795544894707)	(147, 33.85716031017535)	(150, 33.16217365970955)																				
ERR3518680_1	(1, 31.652113392339118)	(2, 32.07558454643781)	(3, 32.66067933850489)	(4, 35.60547224125678)	(5, 35.91067370109413)	(6, 35.90852803623648)	(7, 36.2698117847618)	(8, 36.33778542873902)	(9, 38.081429413913554)	(12, 38.38779236607037)	(17, 39.73206360272729)	(22, 39.16394105151904)	(27, 38.97904777367374)	(32, 38.58371323467914)	(37, 38.484378220429754)	(42, 38.1408182875265)	(47, 37.63547637916324)	(52, 36.52380658192799)	(57, 35.60172498285617)	(62, 35.379528752132494)	(67, 34.6231208733558)	(72, 33.916186587662565)	(77, 33.682150759064264)	(82, 33.149753681529646)	(87, 33.0035295909315)	(92, 33.136061036229464)	(97, 33.16853507462184)	(102, 32.0218248491017)	(107, 33.37139228756572)	(112, 33.52972156434619)	(117, 33.51252317634824)	(122, 33.44876686244027)	(127, 33.30626901474218)	(132, 33.45365676756653)	(137, 33.352234430636585)	(142, 33.51269661185801)	(147, 33.67614435711015)	(150, 33.05448503794578)																				
ERR3518680_2	(1, 32.39098905652559)	(2, 32.73520696990896)	(3, 32.85713156337206)	(4, 35.7995519783863)	(5, 35.90339069697232)	(6, 35.866533703359714)	(7, 36.11536583081772)	(8, 36.186435142849334)	(9, 37.9861887415734)	(12, 38.09366092393581)	(17, 39.359602606314276)	(22, 38.94730594108813)	(27, 38.761016442403836)	(32, 38.54303071769523)	(37, 38.200237177230086)	(42, 37.68796000987744)	(47, 37.08258388684028)	(52, 36.27012481447535)	(57, 35.45028093006792)	(62, 35.046923594487275)	(67, 34.500063449572416)	(72, 33.80324798075931)	(77, 33.587201393024664)	(82, 32.99096920555506)	(87, 32.88149337090572)	(92, 32.83497569215875)	(97, 32.893623553523085)	(102, 31.81909437114232)	(107, 33.26207437327655)	(112, 33.388261348812264)	(117, 33.45707838435405)	(122, 33.11421185392549)	(127, 33.028661962899534)	(132, 33.199882400422204)	(137, 33.18726523734405)	(142, 33.34428477033136)	(147, 33.564170076571976)	(150, 32.685930036588466)																				
