Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR3518658_1	(17.0, 2.0)	(18.0, 8.0)	(19.0, 45.0)	(20.0, 164.0)	(21.0, 466.0)	(22.0, 1284.0)	(23.0, 3469.0)	(24.0, 7357.0)	(25.0, 13904.0)	(26.0, 23793.0)	(27.0, 35381.0)	(28.0, 43866.0)	(29.0, 47440.0)	(30.0, 49881.0)	(31.0, 51745.0)	(32.0, 56380.0)	(33.0, 64815.0)	(34.0, 81065.0)	(35.0, 109229.0)	(36.0, 160586.0)	(37.0, 403411.0)	(38.0, 1347783.0)																
ERR3518658_2	(16.0, 1.0)	(17.0, 38.0)	(18.0, 330.0)	(19.0, 910.0)	(20.0, 1508.0)	(21.0, 2383.0)	(22.0, 3601.0)	(23.0, 6329.0)	(24.0, 9837.0)	(25.0, 15116.0)	(26.0, 23790.0)	(27.0, 34509.0)	(28.0, 42963.0)	(29.0, 48377.0)	(30.0, 51434.0)	(31.0, 53907.0)	(32.0, 58411.0)	(33.0, 67600.0)	(34.0, 87244.0)	(35.0, 115728.0)	(36.0, 170972.0)	(37.0, 449717.0)	(38.0, 1257369.0)															
ERR3518664_1	(18.0, 7.0)	(19.0, 52.0)	(20.0, 278.0)	(21.0, 916.0)	(22.0, 2564.0)	(23.0, 5769.0)	(24.0, 11586.0)	(25.0, 20061.0)	(26.0, 30031.0)	(27.0, 40608.0)	(28.0, 51274.0)	(29.0, 64760.0)	(30.0, 81890.0)	(31.0, 103876.0)	(32.0, 133324.0)	(33.0, 176021.0)	(34.0, 278989.0)	(35.0, 765272.0)	(36.0, 1675797.0)	(37.0, 823087.0)	(38.0, 11302.0)	(39.0, 2047.0)	(40.0, 29.0)															
ERR3518664_2	(18.0, 15.0)	(19.0, 133.0)	(20.0, 608.0)	(21.0, 1822.0)	(22.0, 4502.0)	(23.0, 9389.0)	(24.0, 16828.0)	(25.0, 26761.0)	(26.0, 38399.0)	(27.0, 48605.0)	(28.0, 59452.0)	(29.0, 71435.0)	(30.0, 87649.0)	(31.0, 110355.0)	(32.0, 139765.0)	(33.0, 186542.0)	(34.0, 290180.0)	(35.0, 778296.0)	(36.0, 1598007.0)	(37.0, 796857.0)	(38.0, 12227.0)	(39.0, 1701.0)	(40.0, 12.0)															
ERR3518669_1	(18.0, 8.0)	(19.0, 52.0)	(20.0, 254.0)	(21.0, 763.0)	(22.0, 2258.0)	(23.0, 5296.0)	(24.0, 9868.0)	(25.0, 16912.0)	(26.0, 25828.0)	(27.0, 35169.0)	(28.0, 45109.0)	(29.0, 56308.0)	(30.0, 69588.0)	(31.0, 87730.0)	(32.0, 113444.0)	(33.0, 152789.0)	(34.0, 245948.0)	(35.0, 666219.0)	(36.0, 1457665.0)	(37.0, 691017.0)	(38.0, 17702.0)	(39.0, 1566.0)	(40.0, 14.0)															
ERR3518669_2	(17.0, 2.0)	(18.0, 16.0)	(19.0, 109.0)	(20.0, 485.0)	(21.0, 1502.0)	(22.0, 3706.0)	(23.0, 7683.0)	(24.0, 13507.0)	(25.0, 21817.0)	(26.0, 32090.0)	(27.0, 41627.0)	(28.0, 50569.0)	(29.0, 61300.0)	(30.0, 74172.0)	(31.0, 92863.0)	(32.0, 119252.0)	(33.0, 159983.0)	(34.0, 251740.0)	(35.0, 671913.0)	(36.0, 1407122.0)	(37.0, 665948.0)	(38.0, 22709.0)	(39.0, 1379.0)	(40.0, 13.0)														
ERR3518674_1	(18.0, 10.0)	(19.0, 57.0)	(20.0, 270.0)	(21.0, 973.0)	(22.0, 2659.0)	(23.0, 5789.0)	(24.0, 11421.0)	(25.0, 19128.0)	(26.0, 29046.0)	(27.0, 39394.0)	(28.0, 51037.0)	(29.0, 63334.0)	(30.0, 79020.0)	(31.0, 98982.0)	(32.0, 127892.0)	(33.0, 171520.0)	(34.0, 273268.0)	(35.0, 746213.0)	(36.0, 1680009.0)	(37.0, 757520.0)	(38.0, 11219.0)	(39.0, 1691.0)	(40.0, 14.0)															
ERR3518674_2	(17.0, 1.0)	(18.0, 12.0)	(19.0, 138.0)	(20.0, 578.0)	(21.0, 1698.0)	(22.0, 4325.0)	(23.0, 8842.0)	(24.0, 15493.0)	(25.0, 24861.0)	(26.0, 36394.0)	(27.0, 46832.0)	(28.0, 57325.0)	(29.0, 68981.0)	(30.0, 83832.0)	(31.0, 104583.0)	(32.0, 133691.0)	(33.0, 179362.0)	(34.0, 282384.0)	(35.0, 753553.0)	(36.0, 1626621.0)	(37.0, 725761.0)	(38.0, 13752.0)	(39.0, 1435.0)	(40.0, 12.0)														
ERR3518680_1	(18.0, 12.0)	(19.0, 78.0)	(20.0, 359.0)	(21.0, 1007.0)	(22.0, 2728.0)	(23.0, 6401.0)	(24.0, 12748.0)	(25.0, 22715.0)	(26.0, 34307.0)	(27.0, 44107.0)	(28.0, 54776.0)	(29.0, 67818.0)	(30.0, 83757.0)	(31.0, 103819.0)	(32.0, 133015.0)	(33.0, 181690.0)	(34.0, 304173.0)	(35.0, 828881.0)	(36.0, 1339289.0)	(37.0, 541059.0)	(38.0, 5480.0)	(39.0, 1224.0)	(40.0, 18.0)															
ERR3518680_2	(17.0, 1.0)	(18.0, 16.0)	(19.0, 221.0)	(20.0, 902.0)	(21.0, 2669.0)	(22.0, 6405.0)	(23.0, 12078.0)	(24.0, 20462.0)	(25.0, 31470.0)	(26.0, 43834.0)	(27.0, 55112.0)	(28.0, 65095.0)	(29.0, 76010.0)	(30.0, 91845.0)	(31.0, 113297.0)	(32.0, 142689.0)	(33.0, 196612.0)	(34.0, 325992.0)	(35.0, 840116.0)	(36.0, 1226984.0)	(37.0, 510829.0)	(38.0, 5548.0)	(39.0, 1250.0)	(40.0, 24.0)														
