Sample	Unique Reads	Duplicate Reads
ERR3518658_1	115099	2386975
ERR3518658_2	123066	2379008
ERR3518664_1	159755	4119785
ERR3518664_2	176430	4103110
ERR3518669_1	146297	3555210
ERR3518669_2	164689	3536818
ERR3518674_1	155966	4014500
ERR3518674_2	174396	3996070
ERR3518680_1	165517	3603944
ERR3518680_2	168150	3601311
ERR3518689_1	168867	4969722
ERR3518689_2	192085	4946504
ERR3518695_1	234900	3715553
ERR3518695_2	422469	3527984
ERR3518702_1	149782	4351880
ERR3518702_2	157250	4344412
ERR3518707_1	249068	4695932
ERR3518707_2	414169	4530831
ERR3518711_1	184577	3293123
ERR3518711_2	294421	3183279
ERR3518719_1	77383	2604330
ERR3518719_2	100048	2581665
ERR3518728_1	86258	3784143
ERR3518728_2	116761	3753640
ERR3518741_1	173973	4242628
ERR3518741_2	313205	4103396
ERR3518742_1	138147	3889223
ERR3518742_2	164029	3863341
ERR3518753_1	125864	3228666
ERR3518753_2	258643	3095887
ERR3518754_1	102973	2964064
ERR3518754_2	137083	2929954
ERR3518769_1	125177	3365017
ERR3518769_2	248562	3241632
ERR3518770_1	102825	3077275
ERR3518770_2	125798	3054302
ERR3518780_1	100044	3652936
ERR3518780_2	123309	3629671
ERR3518791_1	104714	3391344
ERR3518791_2	126445	3369613
ERR3518798_1	108057	3429634
ERR3518798_2	130892	3406799
ERR3518807_1	85705	3348998
ERR3518807_2	95035	3339668
ERR3518820_1	106502	3337597
ERR3518820_2	125098	3319001
ERR4223600_1	37257	400231
ERR4223600_2	42386	395102
ERR4223601_1	40004	387812
ERR4223601_2	49187	378629
ERR4223602_1	41492	420718
ERR4223602_2	44094	418116
ERR4223603_1	43757	406702
ERR4223603_2	51793	398666
ERR4223604_1	33704	361499
ERR4223604_2	39718	355485
ERR4223605_1	36054	348737
ERR4223605_2	45587	339204
ERR4223606_1	36482	374623
ERR4223606_2	40404	370701
ERR4223607_1	38854	364430
ERR4223607_2	46405	356879
ERR4223608_1	46940	521272
ERR4223608_2	55838	512374
ERR4223609_1	50915	504843
ERR4223609_2	64729	491029
ERR4223610_1	40052	395958
ERR4223610_2	46252	389758
ERR4223611_1	41918	384139
ERR4223611_2	52762	373295
ERR4223612_1	34177	330973
ERR4223612_2	37640	327510
ERR4223613_1	35849	322556
ERR4223613_2	43318	315087
ERR4223614_1	35376	432568
ERR4223614_2	42251	425693
ERR4223615_1	38273	415944
ERR4223615_2	49243	404974
ERR4223616_1	39132	416551
ERR4223616_2	45364	410319
ERR4223617_1	41507	401829
ERR4223617_2	51857	391479
ERR4223618_1	37998	382453
ERR4223618_2	44250	376201
ERR4223619_1	40107	369282
ERR4223619_2	50822	358567
ERR4223620_1	39198	437407
ERR4223620_2	47296	429309
ERR4223621_1	42739	422251
ERR4223621_2	54661	410329
ERR4223622_1	35558	379541
ERR4223622_2	41204	373895
ERR4223623_1	37006	367357
ERR4223623_2	46925	357438
ERR4223624_1	33589	374979
ERR4223624_2	38073	370495
ERR4223625_1	35904	362880
ERR4223625_2	44395	354389
ERR4223626_1	41632	435222
ERR4223626_2	45209	431645
ERR4223627_1	43840	421572
ERR4223627_2	52117	413295
ERR9875453_1	41637	1208007
ERR9875453_2	59367	1190277
ERR9875457_1	33866	1107342
ERR9875457_2	48652	1092556
ERR9875459_1	32687	1194364
ERR9875459_2	48045	1179006
ERR9875461_1	31833	1254556
ERR9875461_2	52253	1234136
ERR9875463_1	31086	986985
ERR9875463_2	43893	974178
ERR9875466_1	29363	1154853
ERR9875466_2	43843	1140373
ERR9875467_1	36093	1266941
ERR9875467_2	61653	1241381
ERR9875470_1	28730	1100956
ERR9875470_2	43345	1086341
ERR9875473_1	35908	1144661
ERR9875473_2	56534	1124035
ERR9875474_1	43076	1002210
ERR9875474_2	61106	984180
ERR9875475_1	46597	1202373
ERR9875475_2	74261	1174709
ERR9875477_1	35650	1226886
ERR9875477_2	61679	1200857
ERR9875478_1	38095	1070180
ERR9875478_2	54563	1053712
ERR9875480_1	38685	1045567
ERR9875480_2	52441	1031811
ERR9875482_1	45743	1213265
ERR9875482_2	66444	1192564
ERR9875485_1	47403	1227055
ERR9875485_2	68639	1205819
ERR9875486_1	47653	1025037
ERR9875486_2	62186	1010504
ERR9875487_1	37429	1048861
ERR9875487_2	46291	1039999
ERR9875489_1	44436	1272982
ERR9875489_2	64129	1253289
ERR9875491_1	37519	948502
ERR9875491_2	55727	930294
