Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR3518658_1	(1.0, 3.639249692280675)	(2.0, 0.7779949708318813)	(3.0, 0.47349897756107373)	(4.0, 0.3326037135291041)	(5.0, 0.27280982305883056)	(6.0, 0.23309520044060375)	(7.0, 0.18045357787453017)	(8.0, 0.18001393460617585)	(9.0, 0.14388325146141942)	('>10', 2.5374610746618322)	('>50', 1.3070994043872946)	('>100', 4.0583070426090355)	('>500', 2.3765916060139953)	('>1k', 11.761136877165974)	('>5k', 5.158694175730091)	('>10k+', 66.56710667778749)
ERR3518658_2	(1.0, 3.9820171251599263)	(2.0, 0.7603785533971004)	(3.0, 0.45133407592278335)	(4.0, 0.3234021051852228)	(5.0, 0.26536125320278264)	(6.0, 0.20811286423198144)	(7.0, 0.17781006095410468)	(8.0, 0.16608450288311602)	(9.0, 0.14688398231859393)	('>10', 2.5661095723638674)	('>50', 1.3019552986126348)	('>100', 4.45408075903952)	('>500', 2.565509556096226)	('>1k', 10.4964045785256)	('>5k', 7.734609700741646)	('>10k+', 64.39994601136489)
ERR3518664_1	(1.0, 2.909380369467877)	(2.0, 0.668142696245)	(3.0, 0.3891673466431424)	(4.0, 0.2790622553318275)	(5.0, 0.22609671535991702)	(6.0, 0.19159258091517173)	(7.0, 0.1664963473548103)	(8.0, 0.14100870378413274)	(9.0, 0.13343935028395892)	('>10', 2.3125883547439003)	('>50', 1.1506972392137642)	('>100', 3.771972604419053)	('>500', 2.0288332494571297)	('>1k', 8.993141859820376)	('>5k', 5.135503148970813)	('>10k+', 71.50287717798913)
ERR3518664_2	(1.0, 3.272911562488056)	(2.0, 0.7020489656566476)	(3.0, 0.4121356104372505)	(4.0, 0.29999688842662336)	(5.0, 0.234208751940493)	(6.0, 0.19557093330537456)	(7.0, 0.16922762987530468)	(8.0, 0.1512236254357959)	(9.0, 0.1286272609810968)	('>10', 2.232869804929566)	('>50', 1.1081381934268422)	('>100', 3.4419206595168577)	('>500', 1.730193451162517)	('>1k', 7.88616092867244)	('>5k', 4.075382912809989)	('>10k+', 73.95938282093515)
ERR3518669_1	(1.0, 3.077229714661873)	(2.0, 0.7128047825417096)	(3.0, 0.4299741164637667)	(4.0, 0.2985785485455392)	(5.0, 0.2446011820461337)	(6.0, 0.20393467525481246)	(7.0, 0.1760469415521375)	(8.0, 0.15343158157308878)	(9.0, 0.13142723860159233)	('>10', 2.377613780311962)	('>50', 1.2013614303183688)	('>100', 3.399274513657566)	('>500', 2.4019658079945816)	('>1k', 11.106421899531624)	('>5k', 9.11283191679144)	('>10k+', 64.9725018701538)
ERR3518669_2	(1.0, 3.530926479134075)	(2.0, 0.7598702818661591)	(3.0, 0.46102301650269234)	(4.0, 0.33192851962987346)	(5.0, 0.2601023614950382)	(6.0, 0.21936864519026814)	(7.0, 0.17873767740474444)	(8.0, 0.16239425374001162)	(9.0, 0.14403495252109208)	('>10', 2.2454365831333813)	('>50', 1.109850373443545)	('>100', 2.7878451894621032)	('>500', 1.870679985605625)	('>1k', 9.808525809324669)	('>5k', 7.971440827358331)	('>10k+', 68.15783504418839)
ERR3518674_1	(1.0, 2.9248102205043534)	(2.0, 0.6529156124004718)	(3.0, 0.39017014709217485)	(4.0, 0.2891380333583701)	(5.0, 0.22969414382903358)	(6.0, 0.18983013540705942)	(7.0, 0.16223769879880157)	(8.0, 0.1497804512454096)	(9.0, 0.13578698672861794)	('>10', 2.2049804486062157)	('>50', 1.3191423647265876)	('>100', 3.4674325318417942)	('>500', 1.9810509642740861)	('>1k', 9.147667945082835)	('>5k', 7.707267568892602)	('>10k+', 69.0480947472116)
ERR3518674_2	(1.0, 3.340766345166677)	(2.0, 0.6807270252038612)	(3.0, 0.41846266128450726)	(4.0, 0.30419600731391283)	(5.0, 0.23928069528743268)	(6.0, 0.20229376795894582)	(7.0, 0.164602075043572)	(8.0, 0.15444009609813591)	(9.0, 0.14010369539005715)	('>10', 2.1264571885038777)	('>50', 1.1674597187269782)	('>100', 2.905151128220836)	('>500', 1.706571297880361)	('>1k', 7.96351188964394)	('>5k', 6.576197453277696)	('>10k+', 71.90977895499921)
ERR3518680_1	(1.0, 3.420751868583615)	(2.0, 0.7678638913744923)	(3.0, 0.4659011299935804)	(4.0, 0.34348477092615554)	(5.0, 0.26559201408144023)	(6.0, 0.2350596489806926)	(7.0, 0.19751550359121123)	(8.0, 0.19266122486728385)	(9.0, 0.15532818218935732)	('>10', 2.698117800920523)	('>50', 1.622296284542528)	('>100', 4.319588308277449)	('>500', 1.9208456196482224)	('>1k', 9.782458566494535)	('>5k', 6.8174750200679455)	('>10k+', 66.79506016546097)
ERR3518680_2	(1.0, 3.493406672527709)	(2.0, 0.7687290446648559)	(3.0, 0.46918996917389044)	(4.0, 0.3512465013769127)	(5.0, 0.27906385953369617)	(6.0, 0.22856269596225193)	(7.0, 0.2015019347445906)	(8.0, 0.1828139940100459)	(9.0, 0.14703552848121096)	('>10', 2.6160879404213846)	('>50', 1.5661834421195402)	('>100', 3.8639978336847034)	('>500', 1.5170496388684027)	('>1k', 8.093891382380598)	('>5k', 5.063884359351154)	('>10k+', 71.15735520269905)
ERR3518689_1	(1.0, 2.608797720793443)	(2.0, 0.554262999860095)	(3.0, 0.31366472216945523)	(4.0, 0.23522420645006253)	(5.0, 0.1797392599481702)	(6.0, 0.1459451586344001)	(7.0, 0.13607204719289032)	(8.0, 0.11497896092801921)	(9.0, 0.09981147895803269)	('>10', 1.9392088025146696)	('>50', 1.1572337713674798)	('>100', 3.3702932260029272)	('>500', 1.4508512292968316)	('>1k', 6.394597887628649)	('>5k', 2.8433845213689675)	('>10k+', 78.45593400688591)
ERR3518689_2	(1.0, 2.962897233699076)	(2.0, 0.6365105169770773)	(3.0, 0.3741520078238743)	(4.0, 0.26246695400656767)	(5.0, 0.21494961029494522)	(6.0, 0.18394363664028995)	(7.0, 0.1558283117109005)	(8.0, 0.12838636712118706)	(9.0, 0.12417766380661542)	('>10', 2.099751310191617)	('>50', 1.1202750072917937)	('>100', 3.4584190271600694)	('>500', 1.8389929787944417)	('>1k', 4.560072064342365)	('>5k', 3.5270716320011846)	('>10k+', 78.352105678138)
ERR3518695_1	(1.0, 4.7031216138239955)	(2.0, 1.0033200371596633)	(3.0, 0.594431558521892)	(4.0, 0.4328459874977757)	(5.0, 0.34407847427401683)	(6.0, 0.2829032538387629)	(7.0, 0.25440013815618423)	(8.0, 0.2260108898113318)	(9.0, 0.19421507971363822)	('>10', 3.4054985945855694)	('>50', 1.800173955759592)	('>100', 5.223238365892888)	('>500', 3.5465855643767705)	('>1k', 12.560679761582513)	('>5k', 8.144843002632559)	('>10k+', 57.283653722372854)
ERR3518695_2	(1.0, 9.100920970698361)	(2.0, 1.4196243431904931)	(3.0, 0.7724109903010783)	(4.0, 0.5429307655342167)	(5.0, 0.4284553893704394)	(6.0, 0.3435410212260795)	(7.0, 0.2862257940523401)	(8.0, 0.26979237116171734)	(9.0, 0.2417354699761257)	('>10', 3.6769609486054184)	('>50', 1.9764840226315652)	('>100', 5.281107212328476)	('>500', 2.7773312537473207)	('>1k', 10.154268400136282)	('>5k', 5.464075344177321)	('>10k+', 57.26413570286276)
ERR3518702_1	(1.0, 2.606765392833825)	(2.0, 0.5644485251373387)	(3.0, 0.3403613829298612)	(4.0, 0.2494810796636105)	(5.0, 0.20327917733070805)	(6.0, 0.1709743389127483)	(7.0, 0.14864698889770617)	(8.0, 0.13812729692557454)	(9.0, 0.11880677392508929)	('>10', 2.073124541682873)	('>50', 1.2884730513304845)	('>100', 3.1963708613769946)	('>500', 1.6185163664096884)	('>1k', 5.730069140245079)	('>5k', 5.328867550141707)	('>10k+', 76.22368753225672)
ERR3518702_2	(1.0, 2.742687090898922)	(2.0, 0.5872153756236789)	(3.0, 0.3481893095400025)	(4.0, 0.2671616247660072)	(5.0, 0.22167301349972143)	(6.0, 0.18250087677569865)	(7.0, 0.163129793840806)	(8.0, 0.13865717982669165)	(9.0, 0.12828820888473366)	('>10', 2.160684728320089)	('>50', 1.2306607562333947)	('>100', 3.2670010654517743)	('>500', 1.1113207025267577)	('>1k', 4.202912464901105)	('>5k', 3.7444507405884466)	('>10k+', 79.50346706832218)
ERR3518707_1	(1.0, 4.004367441208881)	(2.0, 0.8246840907191836)	(3.0, 0.49936881951878687)	(4.0, 0.3511794622216948)	(5.0, 0.2822673020599713)	(6.0, 0.2514659121493533)	(7.0, 0.2091442032046379)	(8.0, 0.19035955493867251)	(9.0, 0.15735586598935195)	('>10', 2.9573215168404774)	('>50', 1.5267373747259427)	('>100', 4.440317460145731)	('>500', 2.5675131259467645)	('>1k', 9.736040104375261)	('>5k', 5.894046039918111)	('>10k+', 66.10783172603718)
ERR3518707_2	(1.0, 7.115754010262296)	(2.0, 1.1131541337980972)	(3.0, 0.6244698670331658)	(4.0, 0.43689306966704755)	(5.0, 0.3331777830236859)	(6.0, 0.27360983978981496)	(7.0, 0.22032547624467905)	(8.0, 0.19637800924429488)	(9.0, 0.16761198665068835)	('>10', 2.9920590531566855)	('>50', 1.5927053526034993)	('>100', 4.46965258997218)	('>500', 2.4264083441626494)	('>1k', 8.318784006146114)	('>5k', 7.043745202431177)	('>10k+', 62.67527127581395)
ERR3518711_1	(1.0, 4.230077691092748)	(2.0, 0.8676512381453961)	(3.0, 0.5096982169743485)	(4.0, 0.37881213801419605)	(5.0, 0.2974334329862151)	(6.0, 0.2421194776452327)	(7.0, 0.21366483568248176)	(8.0, 0.1957145557229081)	(9.0, 0.16986735803803335)	('>10', 3.0626521674525216)	('>50', 1.5982924133286467)	('>100', 4.551593821334235)	('>500', 2.5866941998967072)	('>1k', 8.68882086023262)	('>5k', 6.107129770470104)	('>10k+', 66.29977782298361)
ERR3518711_2	(1.0, 7.191602498684182)	(2.0, 1.0999276424572613)	(3.0, 0.6160981684906977)	(4.0, 0.42601921573469986)	(5.0, 0.33855047961689455)	(6.0, 0.28968961833075857)	(7.0, 0.22994166072882283)	(8.0, 0.18641747565839778)	(9.0, 0.1731811054889608)	('>10', 3.296458255866429)	('>50', 1.8151780668428523)	('>100', 5.328077924144606)	('>500', 2.7919955542518213)	('>1k', 8.379988307494628)	('>5k', 6.353523398423899)	('>10k+', 61.48335062778509)
ERR3518719_1	(1.0, 2.1997879713451813)	(2.0, 0.5487537256969706)	(3.0, 0.3271043545673978)	(4.0, 0.23656521037113218)	(5.0, 0.19017695032988244)	(6.0, 0.15974863827710123)	(7.0, 0.13338489241764498)	(8.0, 0.11843176357798169)	(9.0, 0.11544859572966981)	('>10', 2.005434586027662)	('>50', 1.1649643343638934)	('>100', 2.231185812948664)	('>500', 1.3766573827997255)	('>1k', 8.68012348823308)	('>5k', 3.5360980089964884)	('>10k+', 76.97613428431752)
ERR3518719_2	(1.0, 2.8789781217008157)	(2.0, 0.7046153790305388)	(3.0, 0.39989330680978413)	(4.0, 0.3069616688525892)	(5.0, 0.23055701428159958)	(6.0, 0.1904893389841177)	(7.0, 0.17000781781249988)	(8.0, 0.13967725913759044)	(9.0, 0.126918278735599)	('>10', 2.3073608769075036)	('>50', 1.3743511082718198)	('>100', 3.081144539239972)	('>500', 2.421967858763988)	('>1k', 10.09977758306293)	('>5k', 5.195628431708014)	('>10k+', 70.37167141670064)
ERR3518728_1	(1.0, 1.674348471902524)	(2.0, 0.41525412999841615)	(3.0, 0.26253093671689315)	(4.0, 0.19119465915805625)	(5.0, 0.15243898500439618)	(6.0, 0.13719508650395656)	(7.0, 0.11538856051349718)	(8.0, 0.10272837362330156)	(9.0, 0.09022320942972059)	('>10', 1.8387242045462473)	('>50', 0.9627942944413252)	('>100', 2.385411744157776)	('>500', 1.266922988083147)	('>1k', 4.48798457834214)	('>5k', 2.4029551459913328)	('>10k+', 83.51390463158727)
ERR3518728_2	(1.0, 2.3165126406628165)	(2.0, 0.5497373041253352)	(3.0, 0.3317346534626506)	(4.0, 0.23991607855054334)	(5.0, 0.1944505289217739)	(6.0, 0.17051957428170625)	(7.0, 0.1414226363922946)	(8.0, 0.13310365778098315)	(9.0, 0.11253872928842443)	('>10', 2.1089644193166603)	('>50', 1.037779664092452)	('>100', 2.812770678103451)	('>500', 1.6520664791270863)	('>1k', 6.209678332609858)	('>5k', 5.0523327274827805)	('>10k+', 76.93647189580119)
