Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR3518658_1	(32, 14.0)	(37, 87.0)	(42, 565.0)	(47, 85.0)	(52, 165.0)	(57, 326.0)	(62, 415.0)	(67, 530.0)	(72, 504.0)	(77, 1122.0)	(82, 1175.0)	(87, 2593.0)	(92, 1871.0)	(97, 1252.0)	(102, 1751.0)	(107, 2979.0)	(112, 3974.0)	(117, 7803.0)	(122, 11315.0)	(127, 13731.0)	(132, 162213.0)	(137, 49796.0)	(142, 161070.0)	(147, 119939.0)	(151, 1956799.0)
ERR3518658_2	(32, 203.0)	(37, 849.0)	(42, 336.0)	(47, 349.0)	(52, 473.0)	(57, 569.0)	(62, 636.0)	(67, 893.0)	(72, 776.0)	(77, 1615.0)	(82, 1576.0)	(87, 3220.0)	(92, 2425.0)	(97, 1899.0)	(102, 2564.0)	(107, 3868.0)	(112, 4471.0)	(117, 6387.0)	(122, 11726.0)	(127, 16052.0)	(132, 159968.0)	(137, 56280.0)	(142, 166037.0)	(147, 156168.0)	(151, 1902734.0)
ERR3518664_1	(32, 9206.0)	(37, 8597.0)	(42, 8524.0)	(47, 16191.0)	(52, 12465.0)	(57, 43649.0)	(62, 20472.0)	(67, 15020.0)	(72, 17426.0)	(77, 59403.0)	(82, 14380.0)	(87, 13543.0)	(92, 8751.0)	(97, 6416.0)	(102, 6155.0)	(107, 15585.0)	(112, 5533.0)	(117, 9397.0)	(122, 12530.0)	(127, 25740.0)	(132, 274673.0)	(137, 138476.0)	(142, 228302.0)	(147, 193397.0)	(151, 3115709.0)
ERR3518664_2	(32, 17578.0)	(37, 12592.0)	(42, 9214.0)	(47, 21571.0)	(52, 13813.0)	(57, 52339.0)	(62, 19910.0)	(67, 15933.0)	(72, 16726.0)	(77, 52417.0)	(82, 13827.0)	(87, 13011.0)	(92, 8702.0)	(97, 6093.0)	(102, 5581.0)	(107, 19382.0)	(112, 6023.0)	(117, 8812.0)	(122, 10159.0)	(127, 12160.0)	(132, 277138.0)	(137, 135755.0)	(142, 230049.0)	(147, 98896.0)	(151, 3201859.0)
ERR3518669_1	(32, 6307.0)	(37, 6396.0)	(42, 6752.0)	(47, 10503.0)	(52, 9916.0)	(57, 34546.0)	(62, 15517.0)	(67, 11431.0)	(72, 16396.0)	(77, 47074.0)	(82, 13295.0)	(87, 13165.0)	(92, 8313.0)	(97, 7043.0)	(102, 7021.0)	(107, 39170.0)	(112, 6147.0)	(117, 13977.0)	(122, 16725.0)	(127, 25254.0)	(132, 255769.0)	(137, 70606.0)	(142, 276203.0)	(147, 178171.0)	(151, 2605810.0)
ERR3518669_2	(32, 13102.0)	(37, 8545.0)	(42, 7037.0)	(47, 13833.0)	(52, 10753.0)	(57, 42663.0)	(62, 15342.0)	(67, 13032.0)	(72, 15713.0)	(77, 40339.0)	(82, 12446.0)	(87, 12827.0)	(92, 8109.0)	(97, 6190.0)	(102, 5912.0)	(107, 48773.0)	(112, 5756.0)	(117, 11768.0)	(122, 14203.0)	(127, 12353.0)	(132, 263094.0)	(137, 61730.0)	(142, 276913.0)	(147, 88127.0)	(151, 2692947.0)
ERR3518674_1	(32, 7894.0)	(37, 7703.0)	(42, 8459.0)	(47, 12484.0)	(52, 12281.0)	(57, 38573.0)	(62, 18497.0)	(67, 13071.0)	(72, 16446.0)	(77, 54135.0)	(82, 13978.0)	(87, 11937.0)	(92, 8288.0)	(97, 6171.0)	(102, 5706.0)	(107, 20631.0)	(112, 5515.0)	(117, 10861.0)	(122, 13081.0)	(127, 28454.0)	(132, 309610.0)	(137, 57056.0)	(142, 362072.0)	(147, 182486.0)	(151, 2945077.0)
ERR3518674_2	(32, 15847.0)	(37, 10663.0)	(42, 8815.0)	(47, 16515.0)	(52, 13377.0)	(57, 47158.0)	(62, 17846.0)	(67, 14642.0)	(72, 16089.0)	(77, 47028.0)	(82, 13109.0)	(87, 10864.0)	(92, 8129.0)	(97, 5959.0)	(102, 5172.0)	(107, 26009.0)	(112, 5817.0)	(117, 9834.0)	(122, 11003.0)	(127, 13631.0)	(132, 319284.0)	(137, 43411.0)	(142, 364794.0)	(147, 74363.0)	(151, 3051107.0)
ERR3518680_1	(32, 6956.0)	(37, 6602.0)	(42, 6906.0)	(47, 14046.0)	(52, 10571.0)	(57, 31188.0)	(62, 19551.0)	(67, 14101.0)	(72, 18513.0)	(77, 40967.0)	(82, 14624.0)	(87, 21127.0)	(92, 8862.0)	(97, 7036.0)	(102, 5579.0)	(107, 7335.0)	(112, 5540.0)	(117, 7484.0)	(122, 9596.0)	(127, 19143.0)	(132, 90831.0)	(137, 94485.0)	(142, 272888.0)	(147, 295441.0)	(151, 2740089.0)
ERR3518680_2	(32, 16457.0)	(37, 11175.0)	(42, 8564.0)	(47, 22930.0)	(52, 12711.0)	(57, 39757.0)	(62, 18999.0)	(67, 14043.0)	(72, 17101.0)	(77, 37799.0)	(82, 14613.0)	(87, 22635.0)	(92, 8477.0)	(97, 6345.0)	(102, 5649.0)	(107, 8348.0)	(112, 5608.0)	(117, 8421.0)	(122, 8889.0)	(127, 12806.0)	(132, 87739.0)	(137, 82523.0)	(142, 276467.0)	(147, 118245.0)	(151, 2903160.0)
