Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
ERR3518658_1	95.39987043666451	49.0	147.8978815174931	151	40.0	2.502074
ERR3518658_2	95.08145346993284	49.0	147.5924169309141	151	40.0	2.502074
ERR3518664_1	96.26700693702412	49.0	143.0334874776261	151	30.0	4.27954
ERR3518664_2	95.87737218811337	49.0	142.61555587750084	151	30.0	4.27954
ERR3518669_1	96.047656838651	49.0	142.8390447458292	151	40.0	3.701507
ERR3518669_2	95.55076711364346	49.0	142.49829515383868	151	30.0	3.701507
ERR3518674_1	96.26023833828441	49.0	143.09114736818378	151	40.0	4.170466
ERR3518674_2	95.81832705542863	49.0	142.75931274826362	151	40.0	4.170466
ERR3518680_1	95.6090208538605	49.0	143.85165624475223	151	40.0	3.7694609999999997
ERR3518680_2	95.53916842611406	49.0	143.21049799958138	151	40.0	3.7694609999999997
ERR3518689_1	96.71375949589232	48.0	144.71622560200865	151	40.0	5.138589
ERR3518689_2	96.26192739207934	48.0	143.67157949390386	151	40.0	5.138589
ERR3518695_1	94.05385905489875	49.0	138.6228543916356	147	30.0	3.950453
ERR3518695_2	89.30581620041619	49.0	136.3742340435388	151	30.0	3.950453
ERR3518702_1	96.67275036105816	50.0	145.1737149523887	151	40.0	4.501662
ERR3518702_2	96.50686166867943	50.0	144.62867292124554	151	40.0	4.501662
ERR3518707_1	94.96325169300117	48.0	142.8522137512639	151	40.0	4.944999999999999
ERR3518707_2	91.62450506429623	48.0	141.2955365015167	151	40.0	4.944999999999999
ERR3518711_1	94.69257738265733	50.0	141.01092676194037	151	30.0	3.4777
ERR3518711_2	91.53405773260373	50.0	139.11763636886448	151	30.0	3.4777
ERR3518719_1	97.11441902992603	49.0	145.39662857285623	151	40.0	2.681713
ERR3518719_2	96.2692859120545	49.0	144.91306564125244	151	40.0	2.681713
ERR3518728_1	97.77134203923573	49.0	145.1631634551562	151	40.0	3.8704009999999998
ERR3518728_2	96.98323855684525	49.0	144.63762721227076	151	40.0	3.8704009999999998
ERR3518741_1	96.06094352587543	49.0	143.24049444357777	151	40.0	4.416601
ERR3518741_2	92.90846799675548	49.0	141.24833282426917	151	30.0	4.416601
ERR3518742_1	96.5697973189705	49.0	144.64575939136458	151	40.0	4.0273699999999995
ERR3518742_2	95.92716534242886	49.0	144.0858202747699	151	40.0	4.0273699999999995
ERR3518753_1	96.24795454337615	49.0	143.70514975272243	151	40.0	3.35453
ERR3518753_2	92.28975851779161	49.0	140.4523134388424	151	40.0	3.35453
ERR3518754_1	96.64259276551236	49.0	144.97688224824154	151	40.0	3.067037
ERR3518754_2	95.53045344356887	49.0	143.63890817098067	151	40.0	3.067037
ERR3518769_1	96.4134731765992	49.0	143.29450626526778	151	40.0	3.490194
ERR3518769_2	92.87829075185971	49.0	141.0032972379186	151	40.0	3.490194
ERR3518770_1	96.76664201818409	49.0	144.44147794094525	151	40.0	3.1801
ERR3518770_2	96.04421512803745	49.0	143.793529763215	151	40.0	3.1801
ERR3518780_1	97.33428053549197	49.0	144.68565593208598	151	40.0	3.75298
ERR3518780_2	96.71439216500586	49.0	144.38433218402443	151	40.0	3.75298
ERR3518791_1	97.00480080419749	48.0	143.9960472623738	151	40.0	3.4960579999999997
ERR3518791_2	96.38321763191941	48.0	143.76485744801715	151	40.0	3.4960579999999997
ERR3518798_1	96.94555560044111	49.0	145.4633689036154	151	40.0	3.5376909999999997
