Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR1755874_1	(1, 36.68188657303775)	(2, 34.96145180488864)	(3, 34.76492976004134)	(4, 35.173019918041504)	(5, 33.637300215659096)	(6, 35.103919835191284)	(7, 34.813088873401426)	(8, 35.77496753784267)	(9, 35.44695374677069)	(12, 36.09894312059915)	(17, 35.58849445393224)	(22, 34.62666001038643)	(27, 35.19189668536979)	(32, 34.3705868654328)	(37, 30.792605366526004)	(42, 31.289071573177996)	(47, 32.68872493560464)	(52, 33.117754881757335)	(57, 32.887511213737454)	(62, 33.35047038334513)	(67, 31.947411035747855)	(72, 32.6144225217858)	(77, 34.02015224122474)	(82, 34.347314048666554)	(87, 34.0478862846236)	(92, 32.542658698254854)	(97, 32.98497248401888)	(102, 33.32898567992977)	(107, 33.43267579797234)	(112, 33.49795299391633)	(117, 30.568986215759885)	(122, 31.380348304009118)	(127, 30.40507869067711)	(132, 31.584993898371966)	(137, 30.971682354473366)	(142, 28.501550368227715)	(147, 30.220393808658788)	(150, 30.40858368588311)
ERR1755874_2	(1, 39.14339703456868)	(2, 38.66340881706181)	(3, 36.191952308677934)	(4, 36.890103400148305)	(5, 37.0980472271854)	(6, 37.00663021061938)	(7, 37.00415749509459)	(8, 38.0145947228026)	(9, 37.80807692827773)	(12, 37.68382988038796)	(17, 37.24427520307806)	(22, 36.417072043147904)	(27, 37.269082759953996)	(32, 36.44156578958402)	(37, 32.68458444426805)	(42, 32.44996538427229)	(47, 34.139273691180925)	(52, 34.329476669138536)	(57, 34.68731874622502)	(62, 34.75534721262137)	(67, 32.908428246109054)	(72, 32.483937301840264)	(77, 34.41101392206964)	(82, 34.34501602630977)	(87, 33.8146168285202)	(92, 33.0495278471828)	(97, 33.16290065824713)	(102, 33.11442712045595)	(107, 32.9369692216069)	(112, 32.791466423699326)	(117, 31.468890913750677)	(122, 31.598818276686064)	(127, 30.399212409475773)	(132, 30.89173920092792)	(137, 30.498239374371074)	(142, 28.912552538956795)	(147, 29.46153898720314)	(150, 30.079839732718575)
ERR1755875_1	(1, 35.38721376788938)	(2, 33.35637618392918)	(3, 32.97308563432942)	(4, 32.87515785045644)	(5, 31.303246664127524)	(6, 32.958814734928986)	(7, 33.04296943203071)	(8, 34.02283197727441)	(9, 33.614760428687326)	(12, 34.71195489314083)	(17, 34.68393738118074)	(22, 34.426009045084925)	(27, 34.70733457475188)	(32, 34.00976501801283)	(37, 31.851531363311302)	(42, 31.024158591029032)	(47, 30.391939551400675)	(52, 31.01289929835849)	(57, 31.017886242370743)	(62, 31.020699091110778)	(67, 31.043750457978245)	(72, 30.800223580218443)	(77, 32.00624951002645)	(82, 32.79427014504563)	(87, 32.76972372745733)	(92, 32.26929344604218)	(97, 32.50553281563876)	(102, 32.21544700043229)	(107, 32.278934103545815)	(112, 32.06918874637093)	(117, 30.96965072096531)	(122, 30.529068444644054)	(127, 30.24982725975901)	(132, 30.99457574534274)	(137, 30.25519355509949)	(142, 28.986630458258652)	(147, 30.084893376607084)	(150, 30.17987772863451)
ERR1755875_2	(1, 38.61327754800075)	(2, 38.05554062207901)	(3, 29.740257124689474)	(4, 25.57310008957379)	(5, 33.71371469732911)	(6, 33.6942025537057)	(7, 34.139440322173286)	(8, 35.683912531153894)	(9, 35.51876867304917)	(12, 35.90600290566654)	(17, 35.9252662241846)	(22, 34.78728360783409)	(27, 36.00376697171563)	(32, 35.501459400953856)	(37, 34.317192909957264)	(42, 32.97785797909588)	(47, 32.99156463505053)	(52, 32.62907406576035)	(57, 33.11507359978673)	(62, 33.519937927665374)	(67, 32.943777070428794)	(72, 33.04243749396128)	(77, 33.64643329975739)	(82, 33.0307474196202)	(87, 32.52825327357424)	(92, 32.238854787534656)	(97, 32.20522308524947)	(102, 31.84905405281546)	(107, 32.01284850386183)	(112, 31.804025147743523)	(117, 31.041808319131047)	(122, 30.839356249804702)	(127, 30.10914528547155)	(132, 30.376006297449017)	(137, 29.965112898685096)	(142, 29.372192187837765)	(147, 29.59490060982224)	(150, 30.111188025862177)
ERR1755883_1	(1, 35.68297088162758)	(2, 33.99131299974993)	(3, 33.13531255439868)	(4, 33.68715400228508)	(5, 31.830357403213423)	(6, 33.37856711770262)	(7, 33.36153950150704)	(8, 34.03301873037781)	(9, 34.00746316794955)	(12, 34.7694428956314)	(17, 34.705372226164215)	(22, 34.63865100986047)	(27, 35.04839218479249)	(32, 34.69825802307017)	(37, 33.662557898210245)	(42, 32.05043919453849)	(47, 31.059461373579317)	(52, 31.512725219575703)	(57, 31.817430103960753)	(62, 30.52223434402405)	(67, 29.18193968080226)	(72, 31.706911957377486)	(77, 32.78158498624775)	(82, 33.110933821496346)	(87, 32.984175376487244)	(92, 32.10006695624084)	(97, 32.176058506517755)	(102, 32.01777633492875)	(107, 32.16367665704375)	(112, 31.679120028814445)	(117, 30.370194844660908)	(122, 30.087059681617426)	(127, 29.628831044797245)	(132, 30.440169128123188)	(137, 29.955314654818597)	(142, 27.31388853846932)	(147, 29.736524709772176)	(150, 30.43177295069998)
ERR1755883_2	(1, 38.42614547610611)	(2, 37.4637034314137)	(3, 29.432967126185506)	(4, 20.616144336218987)	(5, 32.13901144393655)	(6, 32.444943010061934)	(7, 32.54211794562297)	(8, 34.49095733729437)	(9, 34.546418589526645)	(12, 35.09173316744589)	(17, 35.639764741435606)	(22, 34.69289779630659)	(27, 36.10755674472979)	(32, 35.763307709018044)	(37, 34.58797361655421)	(42, 33.35439872794968)	(47, 33.10898432781589)	(52, 32.75887259853427)	(57, 33.38357379999156)	(62, 33.21165859960332)	(67, 32.820067377094745)	(72, 33.39143198029878)	(77, 33.85328435981093)	(82, 33.2479670008056)	(87, 32.720190520983444)	(92, 32.08804689277994)	(97, 32.01674535773041)	(102, 31.83029686455378)	(107, 32.00292204523414)	(112, 31.800374228305373)	(117, 31.13986944109279)	(122, 30.905989026682583)	(127, 30.180497172948588)	(132, 30.586098796189027)	(137, 30.48293007458894)	(142, 29.288159849602884)	(147, 29.687961857673464)	(150, 30.419593003258093)
ERR1755895_1	(1, 35.69065463075739)	(2, 33.51587050356696)	(3, 33.42910630019475)	(4, 34.03840533985162)	(5, 32.0865524708763)	(6, 33.373150223157666)	(7, 32.66871620927556)	(8, 34.36200596624439)	(9, 33.964162702796756)	(12, 34.192952871700584)	(17, 33.95429638775977)	(22, 33.90757142827195)	(27, 34.10713496583979)	(32, 33.68289258790212)	(37, 32.0685303335707)	(42, 31.38848540916184)	(47, 30.868066449830337)	(52, 32.138493091089664)	(57, 32.76637878692425)	(62, 32.08833333202228)	(67, 30.47147103792064)	(72, 32.42272428179282)	(77, 33.64536899767344)	(82, 33.46814800414726)	(87, 33.44315420192522)	(92, 32.283358288317615)	(97, 32.64066324406933)	(102, 32.57120031255743)	(107, 32.43341539254264)	(112, 31.89334927138912)	(117, 31.053730818827773)	(122, 30.439287376335436)	(127, 30.192179721897567)	(132, 31.07064082654483)	(137, 30.883644926723026)	(142, 28.253257725893757)	(147, 29.76770873796508)	(150, 30.484184335642787)
ERR1755895_2	(1, 38.233404679497795)	(2, 37.45459386143471)	(3, 31.64822846984489)	(4, 22.46474025034747)	(5, 33.064907539982855)	(6, 32.737348983369564)	(7, 32.655322556638446)	(8, 34.67024655305786)	(9, 34.510740707354245)	(12, 34.932980585597576)	(17, 35.27105407144819)	(22, 34.039066951492295)	(27, 35.10601760524258)	(32, 34.964493837998596)	(37, 33.88963411008335)	(42, 33.00593087086874)	(47, 32.63150324668472)	(52, 31.864253772880506)	(57, 33.154680154002655)	(62, 33.53303221703536)	(67, 31.649040696051948)	(72, 32.39685340625835)	(77, 33.88285786491987)	(82, 33.2170933708149)	(87, 32.91910660147304)	(92, 31.969919930478504)	(97, 31.9971673753628)	(102, 31.84076990599184)	(107, 31.64616615392334)	(112, 31.50746011001909)	(117, 30.889608236555482)	(122, 30.746259860510378)	(127, 29.904536494029504)	(132, 30.20784635028603)	(137, 29.975404338421264)	(142, 28.40959464241439)	(147, 29.126898459412114)	(150, 29.98633672250004)
ERR1755908_1	(1, 35.35313921476016)	(2, 33.10104718502538)	(3, 33.11554948491773)	(4, 33.63714549531724)	(5, 31.38915455021254)	(6, 33.00806004825306)	(7, 32.7517724702248)	(8, 34.169385262817485)	(9, 33.75951508652786)	(12, 34.40814515065252)	(17, 33.98849177272554)	(22, 33.18678955453149)	(27, 33.24625979209484)	(32, 32.74784083776821)	(37, 29.582709409611795)	(42, 29.910936751906206)	(47, 30.45526526030318)	(52, 31.489091083293868)	(57, 32.08455883855165)	(62, 32.95329602764682)	(67, 33.07592019576796)	(72, 32.572972690567525)	(77, 33.40220427217686)	(82, 33.58016566416818)	(87, 33.57045196737258)	(92, 32.80180750464233)	(97, 33.137517569626766)	(102, 32.67724341874716)	(107, 33.07712473543048)	(112, 32.94906355875443)	(117, 30.875859060444732)	(122, 30.84928266594389)	(127, 29.707513743524242)	(132, 30.888795156826905)	(137, 30.41231664945015)	(142, 27.675384506236213)	(147, 29.872436999393763)	(150, 31.097562916184934)
ERR1755908_2	(1, 38.210964593146706)	(2, 37.12172025990273)	(3, 33.48751845658288)	(4, 30.506894570892428)	(5, 34.08680785154738)	(6, 34.07408929794776)	(7, 33.70396364425495)	(8, 35.692017820442445)	(9, 35.446066779852856)	(12, 35.39464569743544)	(17, 34.87812553454945)	(22, 33.71556786703601)	(27, 34.6757598580492)	(32, 34.54166220389574)	(37, 33.21438172323739)	(42, 33.24126596445251)	(47, 33.161295028056)	(52, 32.36154199810076)	(57, 32.99657006832913)	(62, 34.00025152867922)	(67, 33.475855472106)	(72, 33.248673977868364)	(77, 33.921581602750635)	(82, 33.33271988835001)	(87, 32.975695808908625)	(92, 32.36392192754449)	(97, 32.575488807096534)	(102, 32.00432459850122)	(107, 32.17246895706908)	(112, 31.94430445974457)	(117, 30.71167123163886)	(122, 30.822274985711864)	(127, 29.446858104901246)	(132, 29.820186154782494)	(137, 29.491778173598885)	(142, 28.025158042501765)	(147, 28.717251506959194)	(150, 29.910370244148815)
